facility_id,facility_name,facility_type,host_site,health_zone,health_zone_matched,province,date_first_mentioned,sitrep_first_mentioned,date_first_planned_or_building,date_opened,date_opened_basis,date_opening_reported,status_latest,status_latest_date,status_latest_note,beds_latest,beds_latest_date,date_last_mentioned,sitrep_last_mentioned,n_mentions,n_sitreps,aliases,evidence_sitreps,notes
cte-rwampara,CTE Rwampara (HGR),CTE,HGR Rwampara,Rwampara,TRUE,Ituri,2026-05-24,10,2026-05-24,2026-06-07,first_reported_in_service,2026-06-07,strained,2026-08-11,Saturated for confirmed cases,100,2026-07-25,2026-08-11,89,41,22,CTE de Rwampara; CTE Rwampara; CTE RWAMPARA; CTE/HGR,10; 24; 27; 28; 31; 33; 37; 40; 41; 46; 48; 49; 50; 51; 52; 54; 55; 58; 69; 72; 74; 85; 89,Host from 'travaux d'aménagement aux CTE HGR/Bunia et HGR/Rwampara' Single context: CTE/HGR de la zone de santé de Rwampara
cte-cme-bunia,CTE CME Bunia,CTE,CME Bunia,Rwampara,TRUE,Ituri,2026-05-26,12,2026-05-26,2026-05-31,first_reported_in_service,2026-05-31,strained,2026-09-04,Saturated for confirmed cases,,,2026-09-04,113,58,30,CTC CME; CTE CME; CTE du CME; CTE-CME; CTE/CME-Bunia; CTE/CME-BUNIA,12; 17; 24; 25; 27; 28; 30; 31; 33; 35; 36; 37; 39; 40; 46; 47; 48; 49; 50; 51; 52; 53; 55; 57; 58; 60; 62; 77; 78; 82; 104; 113,Bunia site of the Centre Médical Evangélique Nyankunde: SitRep 012 gives Centre Médical Evangélique Nyakunde (CME) de Bunia au Q/Hoho; SitRep 039 gives CTE CME Nyankunde dans la ZS de Rwampara; SitRep 025 gives CTE CME de la ZS de Rwampara Written CTC once (SitRep 060) in a list of Ituri CTEs Ituri context (SitRep 113)
ct-heal-africa,CT HEAL Africa,CT,,,,Ituri,2026-05-27,13,,,not_reported_in_service,,,,,,,2026-05-27,13,1,1,CT HEAL,13,"Garbled table header in SitRep 013 ('CT HEAL' and 'AFRICA' on the same line, beside HGR Bunia, CME, Rwampara, Mongbwalu); low confidence"
cte-nyankunde,CTE Nyankunde (HGR),CTE,HGR Nyankunde,Nyankunde,TRUE,Ituri,2026-06-05,22,2026-06-15,2026-06-05,first_reported_in_service,,operating,2026-09-13,A validated suspected case was transferred to the facility,,,2026-09-13,122,24,14,CTE de Nyankunde; CTE HGR Nyankunde; CTE Nyakunde; CTE Nyankunde,22; 32; 35; 44; 46; 50; 51; 52; 54; 55; 60; 110; 112; 118; 122,"Spelling variant Referral destination in ZS Nyankunde (SitReps 112-122); host not stated, could also be the ISTM site"
cte-elikya,CTE Elikya,CTE,,Bunia,TRUE,Ituri,2026-06-10,27,,2026-06-10,first_reported_in_service,,operating,2026-08-26,Alerts from a point of control referred to the facility,,,2026-08-26,104,31,17,centre de traitement Elikya; CT Elikia; CTE Elikya; CTE Elykia,27; 32; 36; 37; 41; 42; 44; 46; 47; 48; 49; 51; 52; 57; 58; 60; 104,Context gives CTE Elikya (ZS Bunia) Spelling variant Written CT Elikia once (SitRep 104) beside CT Bunia for alerts from ZS Bunia Written out in full (SitRep 032)
cte-istm,CTE ISTM,CTE,ISTM,,,Ituri,2026-06-16,33,,2026-06-16,first_reported_in_service,2026-06-16,expanded,2026-08-15,Extension works to be completed,,,2026-08-15,93,30,17,CTE IST; CTE ISTE; CTE ISTM,33; 44; 46; 47; 48; 50; 53; 54; 56; 57; 58; 60; 62; 77; 78; 79; 80; 82; 85; 93,Zone conflicts between contexts: CTE ISTM/ZS Rwampara (SitReps 044-045) and ISTM/Nyankunde (SitRep 042; CTE IST Nyankunde in 033). May be two ISTM sites; left unassigned Likely typo for ISTM in a list of Ituri CTEs (SitRep 060) Context: Opérationnalisation du CTE IST Nyankunde (SitRep 033)
cte-komanda,CTE Komanda,CTE,,Komanda,TRUE,Ituri,2026-06-27,44,,2026-06-27,first_reported_in_service,,operating,2026-07-04,Two patients recovered at the facility,,,2026-07-04,51,5,2,CTE Komanda,44; 51,""
ct-bambu,CT Bambu,CT,,Bambu,TRUE,Ituri,2026-06-30,47,,2026-06-30,first_reported_in_service,,expanded,2026-09-04,Extension delayed,,,2026-09-04,113,21,14,CT Bambu; CT de Bambu; CTE de Bambu,47; 49; 50; 52; 62; 82; 85; 89; 93; 94; 99; 101; 102; 104; 108; 109; 110; 112; 113,"Written CTE from SitRep 085 ('extension des CTE de Bambu, Nizi et Logo'); same place, kept as one facility"
cte-juhudi,CTE Juhudi,CTE,,Nia-Nia,TRUE,Ituri,2026-06-30,47,,2026-06-30,first_reported_in_service,,operating,2026-06-30,Safe burial and IPC support for deaths at the facility,,,2026-06-30,47,1,1,CTE de Juhudi,47,Context: CTE de Juhudi dans la ZS Nia-Nia; relation to the HGR Nia-Nia CT not stated
cte-aru,CTE Aru (HGR),CTE,HGR Aru,Aru,TRUE,Ituri,2026-07-03,50,,2026-07-03,first_reported_in_service,,strained,2026-08-15,Saturated for suspected cases,,,2026-08-15,93,1,1,CTE Aru,50; 79; 93,Host from the list of HGR-hosted CTEs (HGR/Aru)
ct-sota,CT Sota,CT,CSR Sota,Nyankunde,TRUE,Ituri,2026-07-05,52,,2026-07-05,first_reported_in_service,,operating,2026-08-15,Staff training continues,,,2026-08-15,93,18,8,CT Sota; CT SOTA; CTE de Sota; CTE Sota,52; 53; 54; 55; 57; 58; 62; 93,Host and zone from 'CSR SOTA/ZS Nyankunde' Written CTE once (SitRep 058) Written CTE in SitRep 093
ct-logo,CT Logo,CT,,Logo,TRUE,Ituri,2026-07-06,53,,2026-07-06,first_reported_in_service,,strained,2026-09-04,Saturated for suspected cases,,,2026-09-04,113,2,1,CT Logo,53; 77; 78; 82; 85; 93; 94; 99; 113,""
ct-nizi,CT Nizi,CT,,Nizi,TRUE,Ituri,2026-07-07,54,,2026-07-07,first_reported_in_service,,strained,2026-09-10,Saturated for suspected cases,,,2026-09-10,119,18,13,CT Nizi; CTE de Nizi; CTE Nizi,54; 55; 57; 60; 77; 78; 79; 80; 82; 85; 89; 93; 94; 99; 108; 109; 110; 111; 112; 113; 114; 116; 117; 118; 119,Written CTE once (SitRep 060) Written CTE in SitReps 077-078 occupancy lists
ct-kigonze,CT Kigonze (IDP site),CT,Kigonze displaced persons site,Bunia,TRUE,Ituri,2026-07-10,57,,2026-07-10,first_reported_in_service,2026-07-10,operating,2026-09-08,Six patients transferred out of this transit centre,,,2026-09-08,117,8,6,CT de Kigonze; CT du camp de déplacés de Kigonze; CT du camp de déplacés de Kingoze; CT du camp de déplacés de Kingozi; CT Kigonze,57; 77; 78; 93; 94; 99; 101; 104; 108; 109; 110; 117,Inaugurated with the HGR Bunia CTE extension (SitRep 057). Zone from SitRep 021: 'site Kigonze/ ZS Bunia'. Spelled Kigonze; Kingoze; Kingozi
ct-nia-nia,CT Nia-Nia (HGR),CT,HGR Nia-Nia,Nia-Nia,TRUE,Ituri,2026-07-11,58,2026-07-17,2026-07-11,first_reported_in_service,,strained,2026-08-17,Saturated for suspected cases,,,2026-08-17,94,8,6,CT HGR Nia-Nia; CTE de Nia-Nia,58; 64; 77; 78; 81; 94,Written CTE once (SitRep 064; tents being installed)
cte-rwankole,CTE Rwankole,CTE,,,,Ituri,2026-07-17,64,2026-07-17,2026-08-01,first_reported_in_service,2026-08-04,operating,2026-08-26,Nine recovered patients discharged,120,2026-08-04,2026-08-26,104,7,6,CTE de Rwankole; CTE Rwankole,64; 77; 79; 81; 82; 104,Province from SitRep 082: 'Inauguration du CTE Rwankole par le gouverneur militaire de l’Ituri'; zone not given Inaugurated by the military governor of Ituri (SitRep 082)
cte-foner,CTE Foner,CTE,,Mambasa,TRUE,Ituri,2026-07-26,73,,2026-07-26,first_reported_in_service,,operating,2026-07-26,One validated alert was referred to the facility,,,2026-07-26,73,1,1,CTE de Foner,73,Context: CTE de Foner Mambasa in the Ituri points-of-entry section
ct-kilo,CT Kilo (HGR),CT,HGR Kilo,Kilo,TRUE,Ituri,2026-07-30,77,,2026-07-30,first_reported_in_service,,strained,2026-09-10,Saturated for suspected cases,,,2026-09-10,119,0,0,"",77; 78; 93; 94; 99; 101; 102; 116; 117; 118; 119,"Named in a list of saturated transit centres (SitReps 077-078: 'trois CT sont saturés pour les suspects : Logo, Kigonze et HGR Kilo'); later written CTE de Kilo (SitRep 102)"
cte-fataki,CTE Fataki,CTE,,Fataki,TRUE,Ituri,2026-07-30,77,,2026-07-30,first_reported_in_service,,strained,2026-08-17,Saturated for suspected cases,,,2026-08-17,94,2,2,CTE Fataki,77; 78; 79; 93; 94,Ituri occupancy list (SitReps 077-078)
cte-lita,CTE Lita,CTE,,Lita,TRUE,Ituri,2026-07-30,77,,2026-07-30,first_reported_in_service,,strained,2026-09-04,Saturated for suspected cases,,,2026-09-04,113,4,3,CTE de Lita; CTE Lita,77; 78; 112; 113,Ituri occupancy list (SitReps 077-078)
ct-lolwa,CT Lolwa,CT,,Lolwa,TRUE,Ituri,2026-08-30,108,,2026-08-30,first_reported_in_service,,strained,2026-09-10,Saturated for suspected cases,,,2026-09-10,119,0,0,"",108; 109; 110; 116; 117; 118; 119,Named in a list of saturated transit centres in Ituri: 'les CT de Kigonze et de Lolwa (suspects) sont saturés' (SitReps 108-110)
cte-mangala,CTE Mangala,CTE,,Mangala,TRUE,Ituri,2026-09-02,111,2026-09-02,,not_reported_in_service,,under_construction,2026-09-03,Site levelling continues,,,2026-09-03,112,2,2,CTE de Mangala,111; 112,Site levelling begun (SitRep 111); not confirmed to be the CT de Mangala
ct-mambasa,CT Mambasa,CT,,Mambasa,TRUE,Ituri,2026-09-04,113,,2026-09-04,first_reported_in_service,,strained,2026-09-10,Saturated for suspected cases,,,2026-09-10,119,0,0,"",113; 116; 117; 118; 119,"Named in lists of saturated Ituri centres: 'Les CTE/CT saturés du côté des suspects : Nizi, Mambasa Lolwa, Kilo, Mangala et Mandima' (SitReps 113-119)"
ct-mandima,CT Mandima,CT,,Mandima,TRUE,Ituri,2026-09-08,117,,2026-09-08,first_reported_in_service,,strained,2026-09-10,Saturated for suspected cases,,,2026-09-10,119,0,0,"",117; 118; 119,Named in lists of saturated Ituri centres (SitReps 117-119)
ct-mangala,CT Mangala,CT,,Mangala,TRUE,Ituri,2026-09-08,117,,2026-09-08,first_reported_in_service,,strained,2026-09-10,Saturated for suspected cases,,,2026-09-10,119,1,1,CT de Mangala,117; 118; 119,Transfer from this CT to CTE Nizi (SitRep 117); not confirmed to be the planned CTE de Mangala
cte-beni,CTE Beni,CTE,,Beni,TRUE,Nord-Kivu,2026-05-20,6,2026-05-20,2026-06-29,first_reported_in_service,2026-07-04,operating,2026-09-08,One unstable confirmed patient on a specific diet,20,2026-07-04,2026-09-08,117,20,14,CTE Beni; CTE de Beni; CTE-Beni,6; 7; 8; 46; 47; 48; 49; 51; 53; 74; 99; 110; 111; 115; 116; 117,SitReps 006-008 recommend making the CT and CTE of Beni; Butembo and Goma operational
cte-katwa,CTE Katwa (HGR),CTE,HGR Katwa,Katwa,TRUE,Nord-Kivu,2026-06-03,20,2026-06-03,2026-06-07,first_reported_in_service,,operating,2026-08-24,Three patients recovered at the facility gave community testimony,,,2026-09-02,111,33,21,CTE à l’HGR Katwa; CTE de Katwa; CTE Katwa,20; 23; 24; 41; 46; 47; 48; 49; 50; 51; 52; 53; 56; 65; 66; 93; 94; 96; 101; 110; 111,Rehabilitation of the CTE at HGR Katwa (SitReps 023-024)
cte-matanda,CTE Matanda,CTE,,,,Nord-Kivu,2026-06-17,34,2026-06-17,,not_reported_in_service,,under_construction,2026-08-28,Roofing and partitioning continue,,,2026-09-02,111,3,3,CT de Matanda; CTE de Matanda; CTE MATANDA,34; 101; 106; 111,"Under construction by IMC (SitRep 034); context lists Beni; Butembo and Katwa zones without placing it Roofing and partitioning under way (SitRep 106) Written CT once (SitRep 101); the only Matanda site, under construction in every mention"
cte-kalunguta,CTE Kalunguta,CTE,,Kalunguta,TRUE,Nord-Kivu,2026-06-29,46,,2026-06-29,first_reported_in_service,,operating,2026-06-29,One patient recovered at the facility,,,2026-06-29,46,1,1,CTE Kalunguta,46,""
ct-musienene,CT Musienene,CT,,Musienene,TRUE,Nord-Kivu,2026-07-01,48,2026-08-03,2026-07-01,first_reported_in_service,,under_construction,2026-08-17,Rehabilitation continues,,,2026-08-17,94,5,5,CT de Musienene; CT Musienene,48; 51; 52; 81; 82; 94,Construction or rehabilitation by MSF France (SitReps 081-082)
cte-butembo,CTE Butembo,CTE,,Butembo,TRUE,Nord-Kivu,2026-07-06,53,,2026-07-06,first_reported_in_service,,operating,2026-07-11,One death among patients at the facility,,,2026-07-11,58,3,2,CTE Butembo,53; 58,""
cte-kitatumba,CTE Kitatumba,CTE,,Butembo,TRUE,Nord-Kivu,2026-07-06,53,,2026-08-07,first_reported_in_service,,operating,2026-08-20,Two recoveries,,,2026-08-20,97,7,6,CTE de Kitatumba; CTE Kitatumba,53; 56; 85; 93; 94; 96; 97,"Zone from SitRep 085: 'CTE de Kitatumba, Butembo' Context: 'CTE de Kitatumba, Butembo' (SitRep 085)"
ct-beni,CT Beni,CT,,Beni,TRUE,Nord-Kivu,2026-08-03,81,2026-08-03,2026-08-19,first_reported_in_service,,operating,2026-08-19,Two confirmed admissions,,,2026-08-19,96,1,1,CT de Beni,81; 82; 96,Built by MSF Holland (SitRep 081); admits confirmed patients (SitRep 096). Separate from CTE Beni
cte-musienene,CTE Musienene,CTE,,Musienene,TRUE,Nord-Kivu,2026-08-04,82,2026-08-28,2026-08-04,first_reported_in_service,,planned,2026-09-02,"Land prospected for a future treatment centre, with WHO, WFP and UNICEF",,,2026-09-02,111,3,3,centre de traitement de Musienene; CTE de Musienene,82; 106; 111,Erection works finished (SitRep 106); not confirmed to be the CT Musienene Land prospected for a 'futur centre de traitement de Musienene' (SitRep 111); may be a further new site rather than the CTE whose erection finished in SitRep 106
cte-itav,CTE ITAV,CTE,ITAV,,,Nord-Kivu,2026-08-17,94,2026-08-17,,not_reported_in_service,,planned,2026-08-17,Site evaluated for a future CTE,,,2026-08-17,94,1,1,CTE à l’ITAV,94,Site evaluated for a future CTE (SitRep 094)
ct-vuhovi,CT Vuhovi,CT,,Vuhovi,TRUE,Nord-Kivu,2026-08-19,96,,2026-08-19,first_reported_in_service,,operating,2026-08-19,One recovery,,,2026-08-19,96,1,1,CT de Vuhovi,96,North Kivu admissions list (SitRep 096)
cte-lwiro,CTE Lwiro,CTE,,Miti-Murhesa,TRUE,Sud-Kivu,2026-06-01,18,,2026-06-01,first_reported_in_service,,operating,2026-06-20,Official discharge ceremony for two recovered patients,,,2026-06-20,37,4,3,CTE Lwiro; CTE LWIRO,18; 20; 37,Context: CTE Lwiro; ZS de Miti-Murhesa; province du Sud-Kivu
cte-hc-kisangani,CTE HC Kisangani,CTE,HC Kisangani,,,Tshopo,2026-07-18,65,,2026-07-18,first_reported_in_service,,operating,2026-08-22,Four patients isolated for 14 beds after one admission and one recovery,14,2026-08-22,2026-08-22,99,8,7,CTE HC; CTE HC Kisangani; CTE HCKis,65; 69; 70; 93; 96; 97; 99,Abbreviation in the Tshopo section (SitRep 069) Single context continues 'Kisangani'
cte-bafwasende,CTE Bafwasende,CTE,,Bafwasende,TRUE,Tshopo,2026-09-07,116,2026-09-07,,not_reported_in_service,,under_construction,2026-09-10,Construction followed up,,,2026-09-10,119,2,2,CTE de Bafwasende,116; 117; 118; 119,Under construction (SitReps 118-119)
cte-meteo,CTE Météo,CTE,,,,Tshopo,2026-09-07,116,2026-09-07,2026-09-10,first_reported_in_service,2026-09-10,opened,2026-09-10,Official launch by the Minister of Public Health; handed over by logistics to the case management pillar,,,2026-09-13,122,6,4,CTE de Météo; CTE Météo,116; 117; 119; 122,Kisangani area (SitReps 116-122); zone not given
cte-munigi,CTE Munigi,CTE,,,,,2026-06-21,38,,2026-06-21,first_reported_in_service,,operating,2026-06-21,Two escapes from the facility,,,2026-06-21,38,1,1,CTE Munigi,38,Context gives no zone or province
cte-cinquantenaire,CTE Cinquantenaire,CTE,,,,,2026-07-18,65,,2026-07-18,first_reported_in_service,,operating,2026-07-18,A suspected case was transported to the facility,,,2026-07-18,65,1,1,CTE Cinquantenaire,65,Context gives no zone or province
