rank,cluster,facility_id,facility_name,site_kind,n_sitreps,n_events,place_key,province,date_first_in_service,status_latest,beds_latest,flags,aliases,host_zone,events_in_cluster,settled
1,site-csr-bunia-cite,hosp-bunia-sofepadi,BUNIA SOFEPADI,hospital_isolation,2,2,bunia,Ituri,2026-05-20,operating,4,possible_name_subset,BUNIA SOFEPADI,,170,""
1,site-csr-bunia-cite,hosp-ch-elikya,CH Elikya,hospital_isolation,2,2,bunia,Ituri,2026-05-24,operating,,possible_host_variant;possible_name_subset,CH Elikya; CH ELIKYA,,170,""
1,site-csr-bunia-cite,hosp-elikya,Elikya,hospital_isolation,2,2,elikya,Ituri,2026-06-08,operating,,possible_host_variant;possible_same_site,Elikya,,170,""
1,site-csr-bunia-cite,hosp-sofepadi,SOFEPADI,hospital_isolation,2,2,bunia,Ituri,2026-05-23,operating,,possible_name_subset,SOFEPADI,,170,""
1,site-csr-bunia-cite,ci-hgr-bunia,bâtiment d'isolement de l’HGR-Bunia,isolation_centre,1,1,bunia,Ituri,,mention_only,,possible_same_site,bâtiment d'isolement de l’HGR-Bunia,,170,""
1,site-csr-bunia-cite,ct-hgr-bunia,CT HGR Bunia,transit_centre,1,1,bunia,Ituri,2026-07-14,operating,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,CT HGR Bunia,Bunia,170,""
1,site-csr-bunia-cite,cte-elikya-bunia,CTE Elikya/Bunia,treatment_centre,1,1,bunia,Ituri,,under_construction,,possible_name_subset,CTE Elikya/Bunia,,170,""
1,site-csr-bunia-cite,cte-elikya-zs-bunia,CTE Elikya/ZS Bunia,treatment_centre,1,1,bunia,Ituri,2026-06-27,operating,,possible_name_subset,CTE Elikya/ZS Bunia,,170,""
1,site-csr-bunia-cite,cte-istm-nyankunde-bunia,CTE de L'ISTM NYANKUNDE A BUNIA,treatment_centre,1,1,bunia,Ituri,2026-07-21,operating,,possible_missing_place;possible_name_subset,CTE de L'ISTM NYANKUNDE A BUNIA,,170,""
1,site-csr-bunia-cite,hosp-centre-medical-evangelique-bunia,Centre Médical Évangélique de Bunia,hospital_isolation,1,1,bunia,Ituri,2026-05-31,operating,,possible_host_variant,Centre Médical Évangélique de Bunia,,170,""
1,site-csr-bunia-cite,site-bunia-cite,Bunia-Cite,other,1,1,bunia,Ituri,,mention_only,,possible_host_variant;possible_name_subset,Bunia-Cite,,170,""
1,site-csr-bunia-cite,site-centre-medical-evangelique-nyakunde-cme-bunia,Centre Médical Evangélique Nyakunde (CME) de Bunia,other,1,1,bunia,Ituri,2026-05-26,incident,,possible_host_variant;possible_name_subset,Centre Médical Evangélique Nyakunde (CME) de Bunia,,170,""
1,site-csr-bunia-cite,site-ch-bunia-cite,CH Bunia cité,other,1,1,bunia,Ituri,,mention_only,,possible_host_variant;possible_name_subset;possible_spelling_variant,CH Bunia cité,,170,""
1,site-csr-bunia-cite,site-cme-nyakunde-bunia,CME Nyakunde Bunia,other,1,1,bunia,Ituri,,mention_only,,possible_host_variant;possible_name_subset,CME Nyakunde Bunia,,170,""
1,site-csr-bunia-cite,site-cs-bunia-cite,CS Bunia Cité,other,1,1,bunia,Ituri,,mention_only,,possible_host_variant;possible_name_subset;possible_spelling_variant,CS Bunia Cité,,170,""
1,site-csr-bunia-cite,site-csr-bunia-cite,CSR Bunia-cité,other,1,1,bunia,Ituri,,mention_only,,possible_name_subset;possible_spelling_variant,CSR Bunia-cité,,170,""
2,ct-rwampara,cte-rwampara,CTE Rwampara,treatment_centre,35,38,rwampara,Ituri,2026-05-27,strained,100,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,Centre de Traitement Ebola (CTE) de la zone de santé de Rwampara; CTE de Rwampara; CTE Rwampara; CTE RWAMPARA; Rwampara,Rwampara,129,""
2,ct-rwampara,cte-cme,CTE CME,treatment_centre,28,29,rwampara,Ituri,2026-05-27,operating,27,possible_missing_place;possible_name_subset,CME; CTC CME; CTE CME; CTE du CME; CTE-CME,,129,""
2,ct-rwampara,hosp-hgr-rwampara,HGR Rwampara,hospital_isolation,16,20,rwampara,Ituri,2026-05-24,under_construction,18,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site;possible_word_order,HGR Rwampara; HGR RWAMPARA; HGR zone de santé de Rwampara; l’HGR Rwampara,Rwampara,129,""
2,ct-rwampara,hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,hospital_isolation,9,9,rwampara,Ituri,2026-05-19,operating,,possible_host_variant,Centre médical Evangélique de Rwampara,,129,""
2,ct-rwampara,ci-rwampara,bloc d'isolement de Rwampara,isolation_centre,5,5,rwampara,Ituri,2026-05-27,strained,,possible_same_site,bloc d'isolement de Rwampara; salle d'isolement à l'HGR/Rwampara,,129,""
2,ct-rwampara,cte-hgr-rwampara,CTE HGR/Rwampara,treatment_centre,3,4,rwampara,Ituri,,opened,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,CTE au HGR Rwampara; CTE HGR/Rwampara; HGR Rwampara (CTE),Rwampara,129,""
2,ct-rwampara,cte-cme-rwampara,Centre de Traitement Ebola (CTE) normé de CME Rwampara,treatment_centre,3,3,rwampara,Ituri,2026-07-15,strained,,possible_host_variant;possible_missing_place;possible_name_subset,Centre de Traitement Ebola (CTE) normé de CME Rwampara; CTE CME de Rwampara; CTE normé CME Rwampara,,129,""
2,ct-rwampara,hosp-ch-salama,CH SALAMA,hospital_isolation,3,3,salama,Ituri,2026-05-24,operating,,possible_name_subset,CH Salama; CH SALAMA,,129,""
2,ct-rwampara,site-cs-rwampara,CS Rwampara,other,3,3,rwampara,Ituri,,mention_only,,possible_host_variant;possible_spelling_variant,CS Rwampara,,129,""
2,ct-rwampara,site-hgr-rwampara,HGR/Rwampara,other,3,3,rwampara,Ituri,,under_construction,,possible_host_variant;possible_same_site,HGR-Rwampara; HGR/Rwampara,,129,""
2,ct-rwampara,ct-rwampara,CT de Rwampara,transit_centre,2,2,rwampara,Ituri,2026-05-24,incident,,possible_same_site,CT de Rwampara,,129,""
2,ct-rwampara,hosp-rwampara-ch-salama,RWAMPARA CH SALAMA,hospital_isolation,2,2,rwampara,Ituri,2026-05-20,operating,10,possible_name_subset,RWAMPARA CH SALAMA,,129,""
2,ct-rwampara,hosp-rwampara-cme,RWAMPARA CME,hospital_isolation,2,2,rwampara,Ituri,2026-05-20,operating,100,possible_host_variant;possible_name_subset,RWAMPARA CME,,129,""
2,ct-rwampara,hosp-rwampara-hgr,RWAMPARA HGR,hospital_isolation,2,2,rwampara,Ituri,2026-05-20,operating,16,possible_host_variant;possible_name_subset;possible_same_host;possible_word_order,RWAMPARA HGR,Rwampara,129,""
2,ct-rwampara,site-cs-rwamapara,CS Rwamapara,other,2,2,rwamapara,Ituri,,mention_only,,possible_spelling_variant,CS Rwamapara,,129,""
2,ct-rwampara,cte-istm-zs-rwampara,CTE ISTM/ZS Rwampara,treatment_centre,1,1,rwampara,Ituri,2026-06-27,operating,,possible_missing_place;possible_name_subset,CTE ISTM/ZS Rwampara,,129,""
2,ct-rwampara,hosp-cme-zs-rwampara,CME/Zs Rwampara,hospital_isolation,1,1,rwampara,Ituri,2026-05-31,operating,,possible_name_subset,CME/Zs Rwampara,,129,""
3,site-hgr-nyankunde,cte-istm,CTE ISTM,treatment_centre,28,28,nyankunde,Ituri,2026-06-29,under_construction,,possible_missing_place;possible_name_subset,CTE de ISTM; CTE ISTM; ISTM,,85,""
3,site-hgr-nyankunde,cte-nyankunde,CTE Nyankunde,treatment_centre,16,16,nyankunde,Ituri,2026-06-05,operating,,possible_host_variant;possible_name_subset;possible_same_host,CTE de Nyankunde; CTE Nyakunde; CTE Nyankunde; Nyankunde,Nyankunde,85,""
3,site-hgr-nyankunde,hosp-hgr-nyankunde,HGR Nyankunde,hospital_isolation,9,9,nyankunde,Ituri,2026-05-20,operating,11,possible_host_variant;possible_name_subset;possible_same_site;possible_spelling_variant,HGR Nyankunde; HGR NYANKUNDE,,85,""
3,site-hgr-nyankunde,cte-istm-nyankunde,ISTM Nyankunde,treatment_centre,7,7,nyankunde,Ituri,2026-07-11,operating,,possible_host_variant;possible_missing_place;possible_name_subset;possible_same_host,CTE IST Nyankunde; CTE ISTM Nyankunde; CTE ISTM/Nyankunde; ISTM Nyankunde; ISTM/Nyakunde; ISTM/Nyankunde,Nyankunde,85,""
3,site-hgr-nyankunde,site-cme-nyakunde,CME Nyakunde,other,5,5,nyakunde,Ituri,,mention_only,,possible_host_variant;possible_spelling_variant,CME Nyakunde,,85,""
3,site-hgr-nyankunde,hosp-hgr-nyakunde,HGR NYAKUNDE,hospital_isolation,4,4,nyakunde,Ituri,2026-05-27,operating,,possible_spelling_variant,HGR Nyakunde; HGR NYAKUNDE,,85,""
3,site-hgr-nyankunde,site-cs-nyakunde,CS Nyakunde,other,4,4,nyakunde,Nord-Kivu,,mention_only,,possible_host_variant,CS Nyakunde,,85,""
3,site-hgr-nyankunde,cte-hgr-nyankunde,CTE HGR Nyankunde,treatment_centre,3,3,nyankunde,Ituri,2026-06-18,opened,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,CTE HGR Nyankunde; CTE HGR/Nyankunde,Nyankunde,85,""
3,site-hgr-nyankunde,hosp-cme-nyankunde,CME Nyankunde,hospital_isolation,3,3,nyankunde,Ituri,2026-05-19,operating,,possible_host_variant;possible_same_site,CME Nyankunde,,85,""
3,site-hgr-nyankunde,cte-cme-nyankunde,CTE CME Nyankunde,treatment_centre,2,2,nyankunde,Ituri,2026-06-14,operating,,possible_host_variant;possible_missing_place;possible_name_subset;possible_same_site,CTE CME Nyankunde; CTE/CME Nyankunde,,85,""
3,site-hgr-nyankunde,hosp-hgr-zs-nyankunde,HGR de la ZS de Nyankunde,hospital_isolation,1,1,nyankunde,Ituri,2026-06-07,operating,,possible_name_subset,HGR de la ZS de Nyankunde,,85,""
3,site-hgr-nyankunde,site-cem-nyankunde,CEM Nyankunde,other,1,1,nyankunde,Ituri,,mention_only,,possible_spelling_variant,CEM Nyankunde,,85,""
3,site-hgr-nyankunde,site-cme-nyankunde,CME/Nyankunde,other,1,1,nyankunde,Ituri,,mention_only,,possible_host_variant;possible_same_site;possible_spelling_variant,CME/Nyankunde,,85,""
3,site-hgr-nyankunde,site-hgr-nyankunde,HGR/Nyankunde,other,1,1,nyankunde,Ituri,,mention_only,,possible_host_variant;possible_same_site,HGR/Nyankunde,,85,""
4,cte-nizi,cte-nizi,CTE de Nizi,treatment_centre,39,47,nizi,Ituri,2026-07-13,strained,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,CTE de Nizi; CTE Nizi; CTE/CT de Nizi; Nizi,Nizi,54,apart
4,cte-nizi,ct-nizi,CT Nizi,transit_centre,4,4,nizi,Ituri,2026-07-07,operating,,possible_same_site,CT Nizi,,54,""
4,cte-nizi,cte-hgr-nizi,CTE HGR de Nizi,treatment_centre,3,3,nizi,Ituri,2026-07-15,operating,,possible_host_variant;possible_name_subset;possible_same_host,CTE HGR de Nizi; HGR Nizi; HGR NIZI,Nizi,54,apart
5,site-hgr-mongwalu,cte-mongbwalu,CTE de Mongbwalu,treatment_centre,24,25,mongbwalu,Ituri,2026-05-19,operating,60,possible_host_variant;possible_name_subset;possible_same_host,CTE à Mongbwalu; CTE de Mongbwalu; CTE Mongbwalu; CTE Mongwalu; Mongbwalu,Mongbwalu,53,""
5,site-hgr-mongwalu,hosp-hgr-mongbwalu,HGR Mongbwalu,hospital_isolation,15,17,mongbwalu,Ituri,2026-05-14,under_construction,12,possible_host_variant;possible_same_host;possible_same_site;possible_spelling_variant,HGR Mongbwalu; HGR MONGBWALU,Mongbwalu,53,""
5,site-hgr-mongwalu,hosp-hgr-mungbwalu,HGR MUNGBWALU,hospital_isolation,3,3,mungbwalu,Ituri,2026-05-27,operating,40,possible_spelling_variant,HGR Mungbwalu; HGR MUNGBWALU,,53,""
5,site-hgr-mongwalu,site-hgr-mongwalu,HGR-Mongwalu,other,3,3,mongwalu,Ituri,,mention_only,,possible_spelling_variant,HGR Mongwalu; HGR-Mongwalu,,53,""
5,site-hgr-mongwalu,cte-hgr-mongbwalu,CTE de l’HGR Mongbwalu,treatment_centre,2,2,mongbwalu,Ituri,2026-06-19,operating,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,CTE de l’HGR Mongbwalu,Mongbwalu,53,""
5,site-hgr-mongwalu,hosp-hopital-mongbwalu,hôpital Mongbwalu,hospital_isolation,1,1,mongbwalu,Ituri,,mention_only,,possible_host_variant;possible_same_host,hôpital Mongbwalu,Mongbwalu,53,""
5,site-hgr-mongwalu,site-hgr-mogbwalu,HGR Mogbwalu,other,1,1,mongbwalu,Ituri,,mention_only,,possible_spelling_variant,HGR Mogbwalu,,53,""
5,site-hgr-mongwalu,site-hgr-mongbwalu,HGR de Mongbwalu,other,1,1,mongbwalu,Ituri,,mention_only,,possible_same_site;possible_spelling_variant,HGR de Mongbwalu,,53,""
6,cte-katwa,cte-katwa,CTE de Katwa,treatment_centre,32,35,katwa,Nord-Kivu,2026-06-07,strained,,possible_host_variant;possible_name_subset;possible_same_host,CTE à Katwa; CTE de Katwa; CTE en construction à Katwa; CTE Katwa; Katwa,Katwa,42,""
6,cte-katwa,cte-hgr-katwa,HGR Katwa,treatment_centre,6,7,katwa,Nord-Kivu,,under_construction,,possible_host_variant;possible_name_subset;possible_same_host,CTE à l’HGR Katwa; HGR de Katwa; HGR Katwa,Katwa,42,""
7,cte-bambu,cte-bambu,CTE de Bambu,treatment_centre,27,33,bambu,Ituri,2026-06-08,under_construction,,possible_same_site,Bambu; CTE de Bambu,,42,""
7,cte-bambu,ct-bambu,CT Bambu,transit_centre,9,9,bambu,Ituri,2026-05-27,strained,,possible_same_site,CT Bambu; CT BAMBU; CT de Bambu,,42,""
8,site-hgr-isiro,cte-isiro,CTE d'Isiro,treatment_centre,19,25,isiro,Haut-Uele,2026-07-30,operating,,possible_name_subset;possible_same_site,celui d’Isiro; CT/CTE d'Isiro; CTE d'Isiro; CTE d’Isiro; CTE de l’HGR d’Isiro; Isiro,,36,""
8,site-hgr-isiro,site-hgr-isiro,HGR d’Isiro,other,6,6,isiro,Haut-Uele,2026-08-18,operating,,possible_host_variant;possible_same_site,HGR d’Isiro; HGR Isiro,,36,""
8,site-hgr-isiro,site-clinique-universitaire,clinique universitaire,other,2,2,isiro,Haut-Uele,,mention_only,,possible_name_subset,clinique universitaire; Clinique universitaire,,36,""
8,site-hgr-isiro,ci-hgr-isiro,centre d’isolement de l’HGR d’Isiro,isolation_centre,1,1,isiro,Haut-Uele,,mention_only,,possible_same_site,centre d’isolement de l’HGR d’Isiro,,36,""
8,site-hgr-isiro,cte-cth-isiro,CTH d’Isiro,treatment_centre,1,1,isiro,Haut-Uele,2026-08-12,operating,,possible_name_subset,CTH d’Isiro,,36,""
8,site-hgr-isiro,site-clinique-universitaire-isiro,Clinique universitaire d’Isiro,other,1,1,isiro,Haut-Uele,,mention_only,,possible_host_variant;possible_name_subset,Clinique universitaire d’Isiro,,36,""
9,site-che-beni,cte-beni,CTE Beni,treatment_centre,15,15,beni,Nord-Kivu,2026-06-29,operating,20,possible_same_site,CTE Beni; CTE de Beni; CTE de l'HGR Beni; CTE de l'HGR de Beni; CTE de l’HGR de Beni; CTE-Beni,,33,""
9,site-che-beni,site-hgr-beni,HGR de Beni,other,10,10,beni,Nord-Kivu,2026-07-02,operating,,possible_host_variant;possible_same_site,HGR Beni; HGR de Beni,,33,""
9,site-che-beni,ct-beni,CT de Beni,transit_centre,6,6,beni,Nord-Kivu,2026-07-02,operating,,possible_same_site,Beni; CT de Beni; CT de l’HGR de Beni,,33,""
9,site-che-beni,site-ch-beni,CH beni,other,1,1,beni,Nord-Kivu,,mention_only,,possible_host_variant;possible_spelling_variant,CH beni,,33,""
9,site-che-beni,site-che-beni,CHE Beni,other,1,1,beni,Nord-Kivu,,mention_only,,possible_spelling_variant,CHE Beni,,33,""
10,site-pavillon-militaire-hgr-makiso-kisangani,site-hgr-makiso-kisangani,HGR Makiso-Kisangani,other,17,17,makiso kisangani,Tshopo,2026-09-12,operating,,possible_name_subset;possible_same_host;possible_same_site,HGR Makiso-Kisangani,Makiso Kisangani,25,""
10,site-pavillon-militaire-hgr-makiso-kisangani,ct-hgr-makiso-kisangani,centre de transit de l'HGR Makiso-Kisangani,transit_centre,4,4,makiso kisangani,Tshopo,2026-09-09,operating,,possible_same_site,centre de transit de l'HGR Makiso-Kisangani; CT de l’HGR Makiso-Kisangani,,25,""
10,site-pavillon-militaire-hgr-makiso-kisangani,site-hgr-makiso,HGR Makiso,other,3,3,makiso,Tshopo,,mention_only,,possible_same_host,HGR Makiso,Makiso Kisangani,25,""
10,site-pavillon-militaire-hgr-makiso-kisangani,site-pavillon-militaire-hgr-makiso-kisangani,pavillon militaire de l’HGR Makiso-Kisangani,other,1,1,makiso kisangani,Tshopo,,mention_only,,possible_name_subset,pavillon militaire de l’HGR Makiso-Kisangani,,25,""
11,cte-musienene,ct-hgr-musienene,CT de l’HGR de Musienene,transit_centre,14,14,musienene,Nord-Kivu,2026-07-01,under_construction,,possible_same_site,CT de l’HGR de Musienene; CT de l'HGR Musienene; CT de Musienene; CT Musienene,,20,""
11,cte-musienene,cte-musienene,CTE de Musienene,treatment_centre,4,4,musienene,Nord-Kivu,2026-08-04,planned,,possible_same_site,CTE de Musienene; futur centre de traitement de Musienene,,20,""
11,cte-musienene,ci-hgr-musienene,centre d'isolement à l'HGR de Musienene,isolation_centre,1,1,musienene,Nord-Kivu,,under_construction,,possible_same_site,centre d'isolement à l'HGR de Musienene,,20,""
11,cte-musienene,hosp-hgr-musienene,HGR MUSIENENE,hospital_isolation,1,1,musienene,Nord-Kivu,2026-07-05,operating,,possible_same_site,HGR MUSIENENE,,20,""
12,site-hc-kisangani,cte-hc-kisangani,CTE HC Kisangani,treatment_centre,13,13,kisangani,Tshopo,2026-07-18,operating,14,possible_same_site,CTE de l'HC Kisangani; CTE HC de Kisangani; CTE HC Kisangani,,18,""
12,site-hc-kisangani,site-hc-kisangani,HC de Kisangani,other,3,3,kisangani,Tshopo,,mention_only,,possible_same_site,HC de Kisangani; HC Kisangani,,18,""
12,site-hc-kisangani,ct-hc-kisangani,CT de l'HC Kisangani,transit_centre,2,2,kisangani,Tshopo,2026-08-03,operating,20,possible_same_site,CT de l'HC Kisangani,,18,""
13,cte-kigonze,cte-kigonze,Kigonze,treatment_centre,9,9,kigonze,Ituri,2026-07-30,strained,,possible_same_site,CTE de Kigonze; Kigonze,,15,""
13,cte-kigonze,ct-kigonze,CT de Kigonze,transit_centre,6,6,kigonze,Ituri,2026-08-26,operating,,possible_same_site,CT de Kigonze; CT Kigonze,,15,""
14,site-hsr-matanda,hosp-hopital-matanda,Hôpital Matanda,hospital_isolation,5,5,matanda,Nord-Kivu,2026-05-20,operating,,possible_same_site,Hôpital Matanda,,15,""
14,site-hsr-matanda,cte-matanda,CTE de Matanda,treatment_centre,4,4,matanda,Nord-Kivu,,under_construction,,possible_same_site,CTE de l’hôpital Matanda; CTE de Matanda; CTE MATANDA,,15,""
14,site-hsr-matanda,site-matanda,Matanda,other,2,2,matanda,Nord-Kivu,2026-09-02,operating,,possible_host_variant;possible_name_subset;possible_same_site,Matanda,,15,""
14,site-hsr-matanda,ct-matanda,CT de Matanda,transit_centre,1,1,matanda,Nord-Kivu,,under_construction,,possible_same_site,CT de Matanda,,15,""
14,site-hsr-matanda,site-hgr-matanda,HGR Matanda,other,1,1,matanda,"",,mention_only,,possible_host_variant;possible_name_subset;possible_spelling_variant,HGR Matanda,,15,""
14,site-hsr-matanda,site-hopital-matanda,hôpital Matanda,other,1,1,matanda,Nord-Kivu,,mention_only,,possible_host_variant;possible_name_subset;possible_same_site,hôpital Matanda,,15,""
14,site-hsr-matanda,site-hsr-matanda,HSR Matanda,other,1,1,matanda,Nord-Kivu,,mention_only,,possible_name_subset;possible_spelling_variant,HSR Matanda,,15,""
15,cte-nia-nia,cte-nia-nia,CTE de Nia-Nia,treatment_centre,9,11,nia nia,Ituri,2026-07-17,strained,,possible_same_site,CTE de Nia Nia; CTE de Nia-Nia; Nia-Nia,,14,""
15,cte-nia-nia,ct-hgr-nia-nia,CT de Nia-Nia,transit_centre,2,2,nia nia,Ituri,2026-07-11,strained,,possible_same_site,CT de Nia-Nia; CT HGR Nia-Nia,,14,""
15,cte-nia-nia,hosp-hgr-nia-nia,HGR de Nia-Nia,hospital_isolation,1,1,nia nia,Ituri,2026-07-10,operating,,possible_same_site,HGR de Nia-Nia,,14,""
16,site-hgr-aru,cte-aru,Aru,treatment_centre,8,8,aru,Ituri,2026-06-24,strained,,possible_same_site,Aru; CTE Aru; CTE d'Aru; CTE HGR/Aru,,14,""
16,site-hgr-aru,hosp-hgr-aru,HGR Aru,hospital_isolation,4,4,aru,Ituri,2026-05-24,operating,,possible_same_site,HGR Aru; HGR ARU,,14,""
16,site-hgr-aru,site-ch-aru,CH Aru,other,1,1,aru,Ituri,,mention_only,,possible_host_variant,CH Aru,,14,""
16,site-hgr-aru,site-hgr-aru,HGR/Aru,other,1,1,aru,Ituri,,mention_only,,possible_host_variant;possible_same_site,HGR/Aru,,14,""
17,cte-logo,cte-logo,Logo,treatment_centre,11,11,logo,Ituri,2026-07-30,strained,,possible_same_site,CTE de Logo; Logo,,12,""
17,cte-logo,ct-logo,CT Logo,transit_centre,1,1,logo,Ituri,2026-07-06,operating,,possible_same_site,CT Logo,,12,""
18,cte-sota,ct-sota,CT Sota,transit_centre,7,7,sota,Ituri,2026-07-05,operating,,possible_name_subset;possible_same_site,CT Sota; CT SOTA,,10,""
18,cte-sota,cte-sota,CTE de Sota,treatment_centre,2,2,sota,Ituri,2026-07-11,operating,,possible_same_site,CTE de Sota; CTE Sota,,10,""
18,cte-sota,ct-1ct-sota,1CT SOTA,transit_centre,1,1,sota,Ituri,2026-07-03,operating,,possible_name_subset,1CT SOTA,,10,""
19,cte-fataki,cte-fataki,CTE de Fataki,treatment_centre,8,8,fataki,Ituri,2026-07-30,strained,,possible_same_site,CTE de Fataki; CTE Fataki; Fataki,,9,""
19,cte-fataki,ct-fataki,CT Fataki,transit_centre,1,1,fataki,Ituri,2026-07-14,operating,,possible_same_site,CT Fataki,,9,""
20,cte-mangala,cte-mangala,Mangala,treatment_centre,8,8,mangala,Ituri,2026-08-16,strained,,possible_same_site,CTE de Mangala; Mangala,,9,""
20,cte-mangala,ct-mangala,CT de Mangala,transit_centre,1,1,mangala,Ituri,2026-09-08,operating,,possible_same_site,CT de Mangala,,9,""
21,site-clinique-unibu,site-ch-unibu,CH UNIBU,other,6,6,unibu,Ituri,,mention_only,,possible_host_variant,CH Unibu; CH UNIBU; CH-UNIBU,,8,""
21,site-clinique-unibu,site-centre-hospitalier-unibu,Centre Hospitalier UNIBU,other,1,1,lumumba,"",,mention_only,,possible_host_variant,Centre Hospitalier UNIBU,,8,""
21,site-clinique-unibu,site-clinique-unibu,clinique Unibu,other,1,1,bunia,Ituri,,mention_only,,possible_host_variant,clinique Unibu,,8,""
22,hosp-katana,hosp-hgr-katana,HGR Katana,hospital_isolation,3,3,katana,Sud-Kivu,2026-06-04,operating,,possible_host_variant;possible_name_subset;possible_same_host,HGR Katana; HGR KATANA,Katana,8,""
22,hosp-katana,hosp-hgr-fomulac-katana,HGR FOMULAC Katana,hospital_isolation,2,2,katana,Sud-Kivu,2026-06-03,operating,,possible_missing_place;possible_name_subset,HGR FOMULAC Katana; HGR FOMULAC KATANA,,8,""
22,hosp-katana,ct-fomulac,FOMULAC,transit_centre,1,1,fomulac,Sud-Kivu,2026-08-27,operating,,possible_same_site,FOMULAC,,8,""
22,hosp-katana,hosp-fomulac,Fomulac,hospital_isolation,1,1,fomulac,Sud-Kivu,2026-07-12,operating,,possible_missing_place;possible_same_host;possible_same_site,Fomulac,Katana,8,""
22,hosp-katana,hosp-katana,Katana,hospital_isolation,1,1,katana,Sud-Kivu,2026-08-02,operating,,possible_host_variant;possible_name_subset;possible_same_host,Katana,Katana,8,""
23,cte-lolwa,cte-lolwa,Lolwa,treatment_centre,4,4,lolwa,Ituri,2026-09-07,strained,,possible_same_site,Lolwa,,7,""
23,cte-lolwa,ct-lolwa,CT de Lolwa,transit_centre,3,3,lolwa,Ituri,2026-08-30,strained,,possible_same_site,CT de Lolwa,,7,""
24,hosp-lwiro,cte-lwiro,CTE Lwiro,treatment_centre,4,4,lwiro,Sud-Kivu,2026-06-01,strained,,possible_same_site,CTE de Lwiro; CTE Lwiro; CTE LWIRO,,7,""
24,hosp-lwiro,hosp-lwiro,Lwiro,hospital_isolation,2,2,lwiro,Sud-Kivu,2026-07-12,operating,,possible_same_site,Lwiro,,7,""
