facility_id,facility_name,site_kind,place_key,health_zone,province,n_sitreps,n_events,confirmed_in_zone,name_known,place_known,grid3_type,flags
site-jiba,Jiba,other,jiba,Jiba,Ituri,1,1,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,""
site-linga,Linga,other,linga,Linga,Ituri,1,1,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,""
site-mahagi,Mahagi,other,mahagi,Mahagi,Ituri,1,1,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé de Référence; Hôpital Général de Référence,""
site-nyarambe,Nyarambe,other,nyarambe,Nyarambe,Ituri,1,1,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,""
site-pnc,PNC,other,bunia,Bunia,Ituri,1,1,TRUE,TRUE,TRUE,Centre Hopitalier,""
site-rimba,Rimba,other,rimba,Rimba,Ituri,1,1,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé de Référence,""
site-rwambuzi,Rwambuzi,other,bunia,Bunia,Ituri,1,1,TRUE,TRUE,TRUE,Centre de Santé,possible_host_variant
site-simbiliabo,Simbiliabo,other,simbiliabo,Bunia,Ituri,1,1,TRUE,TRUE,TRUE,Centre de Santé,possible_spelling_variant
site-thwamahavuka,Thwamahavuka,other,thwamahavuka,Beni,Nord-Kivu,1,1,TRUE,TRUE,TRUE,Dispensaire,""
cte-nizi,CTE de Nizi,treatment_centre,nizi,Nizi,Ituri,39,47,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
cte-rwampara,CTE Rwampara,treatment_centre,rwampara,Rwampara,Ituri,35,38,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
cte-katwa,CTE de Katwa,treatment_centre,katwa,Katwa,Nord-Kivu,32,35,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host
hosp-hgr-bunia,HGR Bunia,hospital_isolation,bunia,Bunia,Ituri,32,35,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site;possible_word_order
cte-bambu,CTE de Bambu,treatment_centre,bambu,Bambu,Ituri,27,33,FALSE,FALSE,TRUE,,possible_same_site
cte-cme,CTE CME,treatment_centre,rwampara,Rwampara,Ituri,28,29,FALSE,FALSE,TRUE,,possible_missing_place;possible_name_subset
cte-hgr-bunia,CTE à l’HGR Bunia,treatment_centre,bunia,Bunia,Ituri,24,29,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
cte-istm,CTE ISTM,treatment_centre,nyankunde,Nyankunde,Ituri,28,28,FALSE,FALSE,TRUE,,possible_missing_place;possible_name_subset
cte-isiro,CTE d'Isiro,treatment_centre,isiro,Isiro,Haut-Uele,19,25,FALSE,FALSE,TRUE,,possible_name_subset;possible_same_site
cte-mongbwalu,CTE de Mongbwalu,treatment_centre,mongbwalu,Mongbwalu,Ituri,24,25,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host
cte-bunia,CTE Bunia,treatment_centre,bunia,Bunia,Ituri,23,24,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
cte-elikya,CTE Elikya,treatment_centre,elikya,Bunia,Ituri,22,23,FALSE,FALSE,TRUE,,possible_same_site
cte-cme-bunia,CTE CME Bunia,treatment_centre,bunia,Bunia,Ituri,19,20,FALSE,FALSE,TRUE,,possible_host_variant;possible_missing_place;possible_name_subset;possible_same_site
hosp-hgr-rwampara,HGR Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,16,20,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site;possible_word_order
hosp-hgr-mongbwalu,HGR Mongbwalu,hospital_isolation,mongbwalu,Mongbwalu,Ituri,15,17,FALSE,FALSE,TRUE,,possible_host_variant;possible_same_host;possible_same_site;possible_spelling_variant
site-hgr-makiso-kisangani,HGR Makiso-Kisangani,other,makiso kisangani,Makiso Kisangani,Tshopo,17,17,FALSE,FALSE,TRUE,,possible_name_subset;possible_same_host;possible_same_site
ci-madula,unités d’isolement de Madula,isolation_centre,madula,Wanierukula,Tshopo,16,16,FALSE,FALSE,TRUE,,""
cte-nyankunde,CTE Nyankunde,treatment_centre,nyankunde,Nyankunde,Ituri,16,16,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host
cte-beni,CTE Beni,treatment_centre,beni,Beni,Nord-Kivu,15,15,FALSE,FALSE,TRUE,,possible_same_site
ct-hgr-musienene,CT de l’HGR de Musienene,transit_centre,musienene,Musienene,Nord-Kivu,14,14,FALSE,FALSE,TRUE,,possible_same_site
cte-hc-kisangani,CTE HC Kisangani,treatment_centre,kisangani,Makiso Kisangani,Tshopo,13,13,FALSE,FALSE,TRUE,,possible_same_site
cte-kitatumba,CTE de Kitatumba,treatment_centre,kitatumba,Butembo,Nord-Kivu,11,12,FALSE,FALSE,TRUE,,possible_same_host
cte-nia-nia,CTE de Nia-Nia,treatment_centre,nia nia,Nia Nia,Ituri,9,11,FALSE,FALSE,TRUE,,possible_same_site
cte-wamba,CTE de Wamba,treatment_centre,wamba,Wamba,Haut-Uele,11,11,FALSE,FALSE,TRUE,,""
hosp-hgr-vuhovi,HGR de Vuhovi,hospital_isolation,vuhovi,Vuhovi,Nord-Kivu,11,11,FALSE,FALSE,TRUE,,""
site-hgr-virunga,HGR Virunga,other,virunga,Karisimbi,Nord-Kivu,11,11,FALSE,FALSE,TRUE,,""
cte-rwankole,CTE de Rwankole,treatment_centre,rwankole,Bunia,Ituri,10,10,FALSE,FALSE,TRUE,,""
site-hgr-beni,HGR de Beni,other,beni,Beni,Nord-Kivu,10,10,FALSE,FALSE,TRUE,,possible_host_variant;possible_same_site
ct-bambu,CT Bambu,transit_centre,bambu,Bambu,Ituri,9,9,FALSE,FALSE,TRUE,,possible_same_site
cte-pawa,CTE de Pawa,treatment_centre,pawa,Pawa,Haut-Uele,9,9,FALSE,FALSE,TRUE,,""
hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,9,9,FALSE,FALSE,TRUE,,possible_host_variant
hosp-hgr-nyankunde,HGR Nyankunde,hospital_isolation,nyankunde,Nyankunde,Ituri,9,9,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_site;possible_spelling_variant
cte-fataki,CTE de Fataki,treatment_centre,fataki,Fataki,Ituri,8,8,FALSE,FALSE,TRUE,,possible_same_site
hosp-hgr-ganga,HGR de Ganga,hospital_isolation,ganga,Ganga,Bas-Uele,8,8,FALSE,FALSE,TRUE,,""
ct-hgr-buta,HGR de Buta,transit_centre,buta,Buta,Bas-Uele,7,7,FALSE,FALSE,TRUE,,""
ct-sota,CT Sota,transit_centre,sota,Nyankunde,Ituri,7,7,FALSE,FALSE,TRUE,,possible_name_subset;possible_same_site
cte-hgr-katwa,HGR Katwa,treatment_centre,katwa,Katwa,Nord-Kivu,6,7,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host
cte-istm-nyankunde,ISTM Nyankunde,treatment_centre,nyankunde,Nyankunde,Ituri,7,7,FALSE,FALSE,TRUE,,possible_host_variant;possible_missing_place;possible_name_subset;possible_same_host
cte-lita,CTE de Lita,treatment_centre,lita,Lita,Ituri,7,7,FALSE,FALSE,TRUE,,""
site-hgr-bunia,HGR-Bunia,other,bunia,Bunia,Ituri,7,7,FALSE,FALSE,TRUE,,possible_host_variant;possible_same_site
ct-beni,CT de Beni,transit_centre,beni,Beni,Nord-Kivu,6,6,FALSE,FALSE,TRUE,,possible_same_site
ct-kigonze,CT de Kigonze,transit_centre,kigonze,Bunia,Ituri,6,6,FALSE,FALSE,TRUE,,possible_same_site
cte-bafwasende,CTE de Bafwasende,treatment_centre,bafwasende,Bafwasende,Tshopo,6,6,FALSE,FALSE,TRUE,,""
cte-komanda,CTE Komanda,treatment_centre,komanda,Komanda,Ituri,6,6,FALSE,FALSE,TRUE,,""
hosp-hgr-bambu,HGR Bambu,hospital_isolation,bambu,Bambu,Ituri,6,6,FALSE,FALSE,TRUE,,""
site-ch-unibu,CH UNIBU,other,unibu,Bunia,Ituri,6,6,FALSE,FALSE,TRUE,,possible_host_variant
site-hgr-isiro,HGR d’Isiro,other,isiro,Isiro,Haut-Uele,6,6,FALSE,FALSE,TRUE,,possible_host_variant;possible_same_site
ci-rwampara,bloc d'isolement de Rwampara,isolation_centre,rwampara,Rwampara,Ituri,5,5,FALSE,FALSE,TRUE,,possible_same_site
ct-hgr-kilo,HGR Kilo,transit_centre,kilo,Kilo,Ituri,5,5,FALSE,FALSE,TRUE,,""
cte-buta,CTE de Buta,treatment_centre,buta,Buta,Bas-Uele,4,5,FALSE,FALSE,TRUE,,""
cte-meteo,CTE Météo,treatment_centre,meteo,"",Tshopo,5,5,FALSE,FALSE,FALSE,,""
hosp-ch-verite,CH La Vérité,hospital_isolation,verite,Butembo,Nord-Kivu,5,5,FALSE,FALSE,FALSE,,""
hosp-hopital-matanda,Hôpital Matanda,hospital_isolation,matanda,Katwa,Nord-Kivu,5,5,FALSE,FALSE,TRUE,,possible_same_site
site-ch-don-divin,CH Don Divin,other,don divin,Katwa,Nord-Kivu,5,5,FALSE,FALSE,TRUE,,""
site-cliniques-universitaires,Cliniques universitaires,other,s universitaires,Isiro,Haut-Uele,5,5,FALSE,FALSE,FALSE,,""
site-cme-nyakunde,CME Nyakunde,other,nyakunde,Rwampara,Ituri,5,5,FALSE,FALSE,TRUE,,possible_host_variant;possible_spelling_variant
ct-hgr-makiso-kisangani,centre de transit de l'HGR Makiso-Kisangani,transit_centre,makiso kisangani,Makiso Kisangani,Tshopo,4,4,FALSE,FALSE,TRUE,,possible_same_site
ct-nizi,CT Nizi,transit_centre,nizi,Nizi,Ituri,4,4,FALSE,FALSE,TRUE,,possible_same_site
cte-butembo,CTE Butembo,treatment_centre,butembo,Butembo,Nord-Kivu,4,4,FALSE,FALSE,TRUE,,possible_same_host
cte-hgr-rwampara,CTE HGR/Rwampara,treatment_centre,rwampara,Rwampara,Ituri,3,4,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
cte-kasenyi,CTE de Kasenyi,treatment_centre,kasenyi,Tchomia,Ituri,4,4,FALSE,FALSE,TRUE,,""
cte-lwiro,CTE Lwiro,treatment_centre,lwiro,Miti Murhesa,Sud-Kivu,4,4,FALSE,FALSE,TRUE,,possible_same_site
cte-matanda,CTE de Matanda,treatment_centre,matanda,"",Nord-Kivu,4,4,FALSE,FALSE,TRUE,,possible_same_site
cte-musienene,CTE de Musienene,treatment_centre,musienene,Musienene,Nord-Kivu,4,4,FALSE,FALSE,TRUE,,possible_same_site
hosp-cs-fedi,CS FEDI,hospital_isolation,fedi,Mangobo,Tshopo,4,4,FALSE,FALSE,TRUE,,possible_name_subset
hosp-hgr-aru,HGR Aru,hospital_isolation,aru,Aru,Ituri,4,4,FALSE,FALSE,TRUE,,possible_same_site
hosp-hgr-kitatumba,HGR Kitatumba,hospital_isolation,kitatumba,Butembo,Nord-Kivu,4,4,FALSE,FALSE,TRUE,,""
hosp-hgr-nyakunde,HGR NYAKUNDE,hospital_isolation,nyakunde,Nyakunde,Ituri,4,4,FALSE,FALSE,TRUE,,possible_spelling_variant
hosp-hgr-wamba,HGR de Wamba,hospital_isolation,wamba,Wamba,Haut-Uele,2,4,FALSE,FALSE,TRUE,,""
site-ch-peregrin,CH Peregrin,other,peregrin,Katwa,Nord-Kivu,4,4,FALSE,FALSE,TRUE,,""
site-ch-rwankole,CH Rwankole,other,rwankole,Bunia,Ituri,4,4,FALSE,FALSE,TRUE,,possible_host_variant;possible_spelling_variant
site-cs-bigo,CS Bigo,other,bigo,Bunia,Ituri,4,4,FALSE,FALSE,TRUE,,""
site-cs-kahungu,CS Kahungu,other,kahungu,Miti Murhesa,Sud-Kivu,4,4,FALSE,FALSE,TRUE,,""
site-cs-nyakunde,CS Nyakunde,other,nyakunde,Beni,Nord-Kivu,4,4,FALSE,FALSE,TRUE,,possible_host_variant
site-cs-tchunga,CS Tchunga,other,tchunga,Mongbwalu,Ituri,4,4,FALSE,FALSE,TRUE,,""
ci-transitoire-wamba,centre d’isolement transitoire de Wamba,isolation_centre,wamba,Wamba,Haut-Uele,3,3,FALSE,FALSE,TRUE,,""
ct-heal-africa,CT HEAL AFRICA,transit_centre,heal africa,Goma,Nord-Kivu,3,3,FALSE,FALSE,TRUE,,""
ct-lolwa,CT de Lolwa,transit_centre,lolwa,Lolwa,Ituri,3,3,FALSE,FALSE,TRUE,,possible_same_site
ct-oicha,CT d’Oicha,transit_centre,oicha,Oicha,Nord-Kivu,3,3,FALSE,FALSE,TRUE,,possible_same_site
cte-boma-mangbetu,CTE de Boma Mangbetu,treatment_centre,boma mangbetu,Boma Mangbetu,Haut-Uele,3,3,FALSE,FALSE,TRUE,,""
cte-cinquantenaire,CTE Cinquantenaire,treatment_centre,cinquantenaire,Makiso Kisangani,Tshopo,3,3,FALSE,FALSE,TRUE,,""
cte-cme-rwampara,Centre de Traitement Ebola (CTE) normé de CME Rwampara,treatment_centre,rwampara,Rwampara,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_missing_place;possible_name_subset
cte-ctmi,CTMI,treatment_centre,ctmi,"",Tshopo,3,3,FALSE,FALSE,FALSE,,""
cte-hgr-nizi,CTE HGR de Nizi,treatment_centre,nizi,Nizi,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host
cte-hgr-nyankunde,CTE HGR Nyankunde,treatment_centre,nyankunde,Nyankunde,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
cte-itav,CTE à l’ITAV,treatment_centre,itav,"",Nord-Kivu,3,3,FALSE,FALSE,FALSE,,""
hosp-ch-mutiri,CH MUTIRI,hospital_isolation,mutiri,Katwa,Nord-Kivu,3,3,FALSE,FALSE,TRUE,,""
hosp-cme-bunia,CME/BUNIA,hospital_isolation,bunia,Bunia,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_same_site
hosp-cme-nyankunde,CME Nyankunde,hospital_isolation,nyankunde,Rwampara,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_same_site
hosp-cs-bundji,CS Bundji,hospital_isolation,bundji,Beni,Nord-Kivu,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_spelling_variant
hosp-cs-hoho,CS Hoho,hospital_isolation,hoho,Rwampara,Ituri,3,3,FALSE,FALSE,TRUE,,""
hosp-hgr-katana,HGR Katana,hospital_isolation,katana,Katana,Sud-Kivu,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host
hosp-hgr-mungbwalu,HGR MUNGBWALU,hospital_isolation,mungbwalu,Mongbwalu,Ituri,3,3,FALSE,FALSE,TRUE,,possible_spelling_variant
site-ch-jerusalem,CH JERUSALEM,other,jerusalem,Katwa,Nord-Kivu,3,3,FALSE,FALSE,TRUE,,""
site-clinique-william,Clinique William,other,william,Mangobo,Tshopo,3,3,FALSE,FALSE,TRUE,,possible_spelling_variant
site-cme-bunia,CME/Bunia,other,bunia,Bunia,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_site
site-cs-aero,CS Aero,other,aero,Bunia,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant
site-cs-boyoma,CS Boyoma,other,boyoma,Makiso Kisangani,Tshopo,3,3,FALSE,FALSE,TRUE,,""
site-cs-jamaa,CS Jamaa,other,jamaa,Makiso Kisangani,Tshopo,3,3,FALSE,FALSE,TRUE,,""
site-cs-komanda,CS Komanda,other,komanda,Komanda,Ituri,3,3,FALSE,FALSE,TRUE,,""
site-cs-madula,CS Madula,other,madula,Wanie-Rukula,Tshopo,3,3,FALSE,FALSE,TRUE,,""
site-cs-papa-freddy,CS Papa Freddy,other,papa freddy,Tshopo,Tshopo,3,3,FALSE,FALSE,FALSE,,""
site-cs-rwampara,CS Rwampara,other,rwampara,Mongbwalu,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_spelling_variant
site-cs-tuluba,CS Tuluba,other,tuluba,Isiro,Haut-Uele,3,3,FALSE,FALSE,TRUE,,""
site-cs-uponyaji,CS Uponyaji,other,uponyaji,Mongbwalu,Ituri,3,3,FALSE,FALSE,TRUE,,""
site-csr-lembabo,CSR Lembabo,other,lembabo,Bunia,Ituri,3,3,FALSE,FALSE,TRUE,,possible_spelling_variant
site-csr-sota,CSR de SOTA,other,sota,Nyankunde,Ituri,3,3,FALSE,FALSE,TRUE,,""
site-hc-kisangani,HC de Kisangani,other,kisangani,Makiso Kisangani,Tshopo,3,3,FALSE,FALSE,TRUE,,possible_same_site
site-hgr-bafwasende,HGR Bafwasende,other,bafwasende,Bafwasende,Tshopo,3,3,FALSE,FALSE,TRUE,,""
site-hgr-makiso,HGR Makiso,other,makiso,Makiso Kisangani,Tshopo,3,3,FALSE,FALSE,TRUE,,possible_same_host
site-hgr-mongwalu,HGR-Mongwalu,other,mongwalu,Mongbwalu,Ituri,3,3,FALSE,FALSE,TRUE,,possible_spelling_variant
site-hgr-rwampara,HGR/Rwampara,other,rwampara,Rwampara,Ituri,3,3,FALSE,FALSE,TRUE,,possible_host_variant;possible_same_site
site-hgr-tshopo,HGR Tshopo,other,tshopo,Tshopo,Tshopo,3,3,FALSE,FALSE,TRUE,,""
site-hgr-viadana,HGR de Viadana,other,viadana,Viadana,Bas-Uele,3,3,FALSE,FALSE,TRUE,,""
site-polyclinique-art,Polyclinique ART,other,poly art,"",Tshopo,3,3,FALSE,FALSE,FALSE,,""
site-polyclinique-rekapi,Polyclinique Rekapi,other,poly rekapi,Kabondo,Tshopo,3,3,FALSE,FALSE,FALSE,,""
site-poste-sante-amani,Poste de santé Amani,other,amani,Mongbwalu,Ituri,3,3,FALSE,FALSE,TRUE,,""
ci-cs-boikene,CS Boikene,isolation_centre,boikene,Beni,Nord-Kivu,2,2,FALSE,FALSE,TRUE,,possible_same_site
ci-cs-lengabo,CS Lengabo,isolation_centre,lengabo,Rwampara,Ituri,2,2,FALSE,FALSE,TRUE,,""
ci-cs-shari,CS Shari,isolation_centre,shari,Rwampara,Ituri,2,2,FALSE,FALSE,TRUE,,""
ci-isolement-zs-katana-fomulac,isolement de la ZS de Katana (FOMULAC),isolation_centre,katana,Katana,Sud-Kivu,2,2,FALSE,FALSE,TRUE,,possible_name_subset
ci-isolements-hgr-beni,isolements de l'HGR de Beni,isolation_centre,beni,Beni,Nord-Kivu,2,2,FALSE,FALSE,TRUE,,""
ct-bunia,CT Bunia,transit_centre,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
ct-elikia,CT Elikia,transit_centre,elikia,Bunia,Ituri,2,2,FALSE,FALSE,FALSE,,""
ct-hc-kisangani,CT de l'HC Kisangani,transit_centre,kisangani,Makiso Kisangani,Tshopo,2,2,FALSE,FALSE,TRUE,,possible_same_site
ct-hgr-nia-nia,CT de Nia-Nia,transit_centre,nia nia,Nia Nia,Ituri,2,2,FALSE,FALSE,TRUE,,possible_same_site
ct-rwampara,CT de Rwampara,transit_centre,rwampara,Rwampara,Ituri,2,2,FALSE,FALSE,TRUE,,possible_same_site
cte-cme-nyankunde,CTE CME Nyankunde,treatment_centre,nyankunde,Nyankunde,Ituri,2,2,FALSE,FALSE,TRUE,,possible_host_variant;possible_missing_place;possible_name_subset;possible_same_site
cte-hckis,CTE HCKis,treatment_centre,hckis,"",Tshopo,2,2,FALSE,FALSE,FALSE,,possible_same_site
cte-hgr-mongbwalu,CTE de l’HGR Mongbwalu,treatment_centre,mongbwalu,Mongbwalu,Ituri,2,2,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site
cte-oicha,CTE d'Oicha,treatment_centre,oicha,Oicha,Nord-Kivu,2,2,FALSE,FALSE,TRUE,,possible_same_site
cte-sota,CTE de Sota,treatment_centre,sota,Nyankunde,Ituri,2,2,FALSE,FALSE,TRUE,,possible_same_site
hosp-bunia-ch-elikya,BUNIA CH ELIKYA,hospital_isolation,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,possible_name_subset
hosp-bunia-clibnique-benedicte,BUNIA Clibnique Bénedicte,hospital_isolation,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,""
hosp-bunia-hgr,BUNIA HGR,hospital_isolation,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_word_order
hosp-bunia-rwaole,BUNIA RWAOLE,hospital_isolation,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,""
hosp-bunia-sofepadi,BUNIA SOFEPADI,hospital_isolation,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,possible_name_subset
hosp-ch-cme,CH CME,hospital_isolation,"","","",2,2,FALSE,FALSE,FALSE,,""
hosp-ch-elikya,CH Elikya,hospital_isolation,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset
hosp-dispensaire-maman-regine,dispensaire Maman Régine,hospital_isolation,dispensaire maman regine,Lubunga,Tshopo,2,2,FALSE,FALSE,FALSE,,""
hosp-hgr-fomulac-katana,HGR FOMULAC Katana,hospital_isolation,katana,Katana,Sud-Kivu,2,2,FALSE,FALSE,TRUE,,possible_missing_place;possible_name_subset
hosp-hgr-mambasa,HGR Mambasa,hospital_isolation,mambasa,Mambasa,Ituri,2,2,FALSE,FALSE,TRUE,,""
hosp-rwampara-ch-salama,RWAMPARA CH SALAMA,hospital_isolation,rwampara,Rwampara,Ituri,2,2,FALSE,FALSE,TRUE,,possible_name_subset
hosp-rwampara-cme,RWAMPARA CME,hospital_isolation,rwampara,Rwampara,Ituri,2,2,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset
hosp-rwampara-cs-hoho,RWAMPARA CS HOHO,hospital_isolation,rwampara,Rwampara,Ituri,2,2,FALSE,FALSE,TRUE,,""
hosp-rwampara-hgr,RWAMPARA HGR,hospital_isolation,rwampara,Rwampara,Ituri,2,2,FALSE,FALSE,TRUE,,possible_host_variant;possible_name_subset;possible_same_host;possible_word_order
hosp-sofepadi,SOFEPADI,hospital_isolation,bunia,Bunia,Ituri,2,2,FALSE,FALSE,TRUE,,possible_name_subset
site-ch-fepsi,CH Fepsi,other,fepsi,Butembo,Nord-Kivu,2,2,FALSE,FALSE,TRUE,,""
site-ch-mayogo,CH Mayogo,other,isiro,Isiro,Haut-Uele,2,2,FALSE,FALSE,TRUE,,""
