facility_id,facility_name,site_kind,place_key,health_zone,province,opened_after,opened_by,opened_midpoint,interval_days,basis,censoring,explanation,date_first_mentioned,first_mention_after_gap,date_last_mentioned,status_latest,beds_latest,n_sitreps,n_events,flags,aliases,first_service,announced,last_not_open
hosp-hgr-fomulac-katana,HGR FOMULAC Katana,hospital_isolation,katana,Katana,Sud-Kivu,,2026-06-03,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-03. No report shows it being built, so it may have opened much earlier.",2026-06-03,FALSE,2026-06-07,operating,,2,2,"",HGR FOMULAC Katana; HGR FOMULAC KATANA,2026-06-03,,
hosp-hgr-katana,HGR Katana,hospital_isolation,katana,Katana,Sud-Kivu,,2026-06-04,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-04. No report shows it being built, so it may have opened much earlier.",2026-06-04,FALSE,2026-06-08,operating,,3,3,possible_host_variant;possible_same_host,HGR Katana; HGR KATANA,2026-06-04,,
hosp-hopital-heal-africa,hopital Heal Africa,hospital_isolation,goma,Goma,Nord-Kivu,,2026-06-04,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-04. No report shows it being built, so it may have opened much earlier.",2026-06-04,FALSE,2026-06-04,operating,,1,1,"",hopital Heal Africa,2026-06-04,,
hosp-hgr-zs-nyankunde,HGR de la ZS de Nyankunde,hospital_isolation,nyankunde,Nyankunde,Ituri,,2026-06-07,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-07. No report shows it being built, so it may have opened much earlier.",2026-06-07,FALSE,2026-06-07,operating,,1,1,"",HGR de la ZS de Nyankunde,2026-06-07,,
hosp-elikya,Elikya,hospital_isolation,elikya,Bunia,Ituri,,2026-06-08,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-08. No report shows it being built, so it may have opened much earlier.",2026-06-08,FALSE,2026-08-26,operating,,2,2,possible_host_variant;possible_same_site,Elikya,2026-06-08,,
hosp-ch-verite,CH La Vérité,hospital_isolation,verite,Butembo,Nord-Kivu,,2026-06-14,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-14. No report shows it being built, so it may have opened much earlier.",2026-06-11,FALSE,2026-07-10,operating,,5,5,"",CH la VERITE; CH LA VERITE; CH La vérité; CH La Vérité,2026-06-14,,
hosp-ch-felicite,CH Félicité,hospital_isolation,felicite,Butembo,Nord-Kivu,,2026-06-16,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-16. No report shows it being built, so it may have opened much earlier.",2026-06-16,FALSE,2026-06-16,operating,,1,1,"",CH Félicité,2026-06-16,,
hosp-hgr-kitatumba,HGR Kitatumba,hospital_isolation,kitatumba,Butembo,Nord-Kivu,,2026-06-17,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-17. No report shows it being built, so it may have opened much earlier.",2026-06-15,FALSE,2026-07-24,operating,,4,4,"",HGR Kitatumba; HGR KITATUMBA,2026-06-17,,
hosp-cme-bunia,CME/BUNIA,hospital_isolation,bunia,Bunia,Ituri,2026-05-28,2026-06-18,2026-06-07,21,bounded both sides,bounded,"Reported still building on 2026-05-28 and holding patients by 2026-06-18, so it opened in the 21 days between.",2026-05-27,FALSE,2026-06-18,operating,,3,3,possible_host_variant;possible_same_site,CME de Bunia; CME/BUNIA,2026-06-18,,2026-05-28
hosp-cs-makerere,CS Makerere,hospital_isolation,makerere,"","",,2026-06-19,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-19. No report shows it being built, so it may have opened much earlier.",2026-06-19,FALSE,2026-06-19,operating,,1,1,"",CS Makerere,2026-06-19,,
hosp-csr-kyavonyonge,CSR Kyavonyonge,hospital_isolation,kyavonyonge,Kyondo,Nord-Kivu,,2026-06-21,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-21. No report shows it being built, so it may have opened much earlier.",2026-06-21,FALSE,2026-06-21,operating,,1,1,"",CSR Kyavonyonge,2026-06-21,,
hosp-cs-bunji,CS Bunji,hospital_isolation,bunji,"",Nord-Kivu,,2026-06-27,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-06-27. No report shows it being built, so it may have opened much earlier.",2026-06-27,TRUE,2026-06-27,operating,,1,1,possible_spelling_variant,CS Bunji,2026-06-27,,
hosp-ch-mutiri,CH MUTIRI,hospital_isolation,mutiri,Katwa,Nord-Kivu,,2026-07-01,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-01. No report shows it being built, so it may have opened much earlier.",2026-06-21,FALSE,2026-07-01,operating,,3,3,"",CH Mutiri; CH MUTIRI,2026-07-01,,
hosp-ps-divine,PS Divine,hospital_isolation,divine,"","",,2026-07-01,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-01. No report shows it being built, so it may have opened much earlier.",2026-07-01,FALSE,2026-07-01,operating,,1,1,"",PS Divine,2026-07-01,,
hosp-bundji,Bundji,hospital_isolation,bundji,Beni,Nord-Kivu,,2026-07-02,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-02. No report shows it being built, so it may have opened much earlier.",2026-07-02,FALSE,2026-07-02,operating,,1,1,possible_host_variant;possible_same_site,Bundji,2026-07-02,,
hosp-hgr-mambasa,HGR Mambasa,hospital_isolation,mambasa,Mambasa,Ituri,,2026-07-02,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-02. No report shows it being built, so it may have opened much earlier.",2026-07-02,FALSE,2026-08-28,operating,,2,2,"",HGR Mambasa,2026-07-02,,
hosp-malepe,Malepe,hospital_isolation,malepe,Beni,Nord-Kivu,,2026-07-02,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-02. No report shows it being built, so it may have opened much earlier.",2026-07-02,FALSE,2026-07-02,operating,,1,1,"",Malepe,2026-07-02,,
hosp-ch-sainte-rita,CH SAINTE RITA,hospital_isolation,sainte rita,"",Nord-Kivu,,2026-07-05,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-05. No report shows it being built, so it may have opened much earlier.",2026-07-05,FALSE,2026-07-05,operating,,1,1,"",CH SAINTE RITA,2026-07-05,,
hosp-hgr-musienene,HGR MUSIENENE,hospital_isolation,musienene,Musienene,Nord-Kivu,,2026-07-05,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-05. No report shows it being built, so it may have opened much earlier.",2026-07-05,FALSE,2026-07-05,operating,,1,1,possible_same_site,HGR MUSIENENE,2026-07-05,,
hosp-hgr-mabalako,HGR Mabalako,hospital_isolation,mabalako,Mabalako,Nord-Kivu,,2026-07-08,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-08. No report shows it being built, so it may have opened much earlier.",2026-07-08,FALSE,2026-07-08,operating,,1,1,"",HGR Mabalako,2026-07-08,,
hosp-hgr-oicha,HGR Oicha,hospital_isolation,oicha,Oicha,Nord-Kivu,,2026-07-08,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-08. No report shows it being built, so it may have opened much earlier.",2026-07-08,FALSE,2026-07-08,operating,,1,1,possible_same_site,HGR Oicha,2026-07-08,,
hosp-cug-butembo,CUG de Butembo,hospital_isolation,butembo,Butembo,Nord-Kivu,,2026-07-10,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-10. No report shows it being built, so it may have opened much earlier.",2026-07-10,FALSE,2026-07-10,operating,,1,1,"",CUG de Butembo,2026-07-10,,
hosp-hgr-nia-nia,HGR de Nia-Nia,hospital_isolation,nia nia,Nia-Nia,Ituri,,2026-07-10,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-10. No report shows it being built, so it may have opened much earlier.",2026-07-10,FALSE,2026-07-10,operating,,1,1,possible_same_site,HGR de Nia-Nia,2026-07-10,,
hosp-cs-bundji,CS Bundji,hospital_isolation,bundji,Beni,Nord-Kivu,,2026-07-11,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-11. No report shows it being built, so it may have opened much earlier.",2026-07-11,FALSE,2026-07-31,operating,,3,3,possible_host_variant;possible_spelling_variant,CS Bundji,2026-07-11,,
hosp-hopital-mambangu,Hôpital de Mambangu,hospital_isolation,mambangu,"","",,2026-07-11,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-11. No report shows it being built, so it may have opened much earlier.",2026-07-11,FALSE,2026-07-11,operating,,1,1,"",Hôpital de Mambangu,2026-07-11,,
hosp-fomulac,Fomulac,hospital_isolation,fomulac,Katana,Sud-Kivu,,2026-07-12,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-12. No report shows it being built, so it may have opened much earlier.",2026-07-12,FALSE,2026-07-12,operating,,1,1,possible_same_host;possible_same_site,Fomulac,2026-07-12,,
hosp-lwiro,Lwiro,hospital_isolation,lwiro,Miti Murhesa,Sud-Kivu,,2026-07-12,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-12. No report shows it being built, so it may have opened much earlier.",2026-07-12,FALSE,2026-08-02,operating,,2,2,possible_same_site,Lwiro,2026-07-12,,
hosp-cs-fedi,CS FEDI,hospital_isolation,fedi,Mangobo,Tshopo,,2026-07-18,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-18. No report shows it being built, so it may have opened much earlier.",2026-07-18,FALSE,2026-09-13,operating,,4,4,"",CS Fedi; CS FEDI,2026-07-18,,
hosp-hckis,HCKis,hospital_isolation,kis,"",Tshopo,,2026-07-18,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-18. No report shows it being built, so it may have opened much earlier.",2026-07-18,FALSE,2026-07-18,operating,,1,1,possible_same_site,HCKis,2026-07-18,,
hosp-cs-fedi-mangobo,CS FEDI de Mangobo,hospital_isolation,mangobo,Mangobo,Tshopo,,2026-07-26,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-26. No report shows it being built, so it may have opened much earlier.",2026-07-26,FALSE,2026-07-26,operating,,1,1,"",CS FEDI de Mangobo,2026-07-26,,
hosp-centre-hospitalier-pnc,centre hospitalier de la PNC,hospital_isolation,pnc,"","",,2026-07-30,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-07-30. No report shows it being built, so it may have opened much earlier.",2026-07-30,TRUE,2026-07-30,operating,,1,1,"",centre hospitalier de la PNC,2026-07-30,,
hosp-cliniques-universitaires-bukavu,Cliniques universitaires de Bukavu,hospital_isolation,bukavu,"",Sud-Kivu,,2026-08-02,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-02. No report shows it being built, so it may have opened much earlier.",2026-08-02,FALSE,2026-08-02,operating,,1,1,"",Cliniques universitaires de Bukavu,2026-08-02,,
hosp-katana,Katana,hospital_isolation,katana,Katana,Sud-Kivu,,2026-08-02,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-02. No report shows it being built, so it may have opened much earlier.",2026-08-02,FALSE,2026-08-02,operating,,1,1,possible_host_variant;possible_same_host,Katana,2026-08-02,,
hosp-ch-joie,CH La Joie,hospital_isolation,kanzulinzuli,Beni,Nord-Kivu,,2026-08-03,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-03. No report shows it being built, so it may have opened much earlier.",2026-08-03,FALSE,2026-08-03,operating,,1,1,"",CH La Joie,2026-08-03,,
hosp-clinique-est,Clinique de l'Est,hospital_isolation,est,"",Haut-Uele,,2026-08-03,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-03. No report shows it being built, so it may have opened much earlier.",2026-08-03,FALSE,2026-08-03,operating,,1,1,"",Clinique de l'Est,2026-08-03,,
hosp-dispensaire-maman-regine,dispensaire Maman Régine,hospital_isolation,dispensaire maman regine,Lubunga,Tshopo,,2026-08-03,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-03. No report shows it being built, so it may have opened much earlier.",2026-08-03,FALSE,2026-08-05,operating,,2,2,"",dispensaire Maman Régine,2026-08-03,,
hosp-hgr-pawa,HGR de Pawa,hospital_isolation,pawa,Pawa,Haut-Uele,,2026-08-03,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-03. No report shows it being built, so it may have opened much earlier.",2026-08-03,FALSE,2026-08-03,operating,,1,1,"",HGR de Pawa,2026-08-03,,
hosp-cliniques-universitaires-uele,cliniques universitaires de l'Uélé,hospital_isolation,s universitaires uele,"","",,2026-08-05,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-05. No report shows it being built, so it may have opened much earlier.",2026-08-05,FALSE,2026-08-05,operating,,1,1,"",cliniques universitaires de l'Uélé,2026-08-05,,
hosp-hopital-militaire-makiso-kisangani,hôpital militaire de Makiso-Kisangani,hospital_isolation,makiso kisangani,Makiso Kisangani,Tshopo,,2026-08-12,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-12. No report shows it being built, so it may have opened much earlier.",2026-08-12,FALSE,2026-08-12,operating,,1,1,"",hôpital militaire de Makiso-Kisangani,2026-08-12,,
hosp-hgr-tchomia,HGR de Tchomia,hospital_isolation,tchomia,Tchomia,Ituri,,2026-08-13,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-13. No report shows it being built, so it may have opened much earlier.",2026-08-13,FALSE,2026-08-13,operating,,1,1,"",HGR de Tchomia,2026-08-13,,
hosp-hgr-wamba,HGR de Wamba,hospital_isolation,wamba,Wamba,Haut-Uele,,2026-08-18,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-08-18. No report shows it being built, so it may have opened much earlier.",2026-08-18,FALSE,2026-08-19,under_construction,,2,4,"",HGR de Wamba,2026-08-18,,
