label_key,role,topic,topic_suggested,kind,n_appearances,n_reports,first_sitrep,last_sitrep,has_series,still_reported,cluster,n_in_cluster,first_date,last_date,example_caption,example_raw
global,dimension,"","",column,71,71,37,122,TRUE,TRUE,global,1,2026-06-20,2026-09-13,"Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 20 juin 2026",Global
n°,dimension,"","",column,61,61,17,83,TRUE,FALSE,n0,1,2026-05-31,2026-08-05,"",N°
haut-uélé,dimension,"","",column,56,46,59,122,TRUE,TRUE,haut uele,2,2026-07-12,2026-09-13,TABLEAU 3 — GESTION DES ALERTES EPIDEMIOLOGIQUES (NORD-KIVU AU 13/07 ; AUTRES REPORTEES DU 12/07),Haut-Uélé
ensemble,dimension,"","",column,53,52,18,79,TRUE,FALSE,ensemble,1,2026-06-01,2026-08-01,"Tableau 4. Mouvement des patients dans les établissements de soins, 17e épidémie de maladie à virus Ebola (Bundibugyo), République Démocratique du Congo, au 1er juin 2026",Ensemble
dps,dimension,"","",column,39,39,84,122,TRUE,TRUE,dps,1,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",DPS
indicateurs cles,dimension,"","",column,35,35,21,58,TRUE,FALSE,indicateurs cles,2,2026-06-04,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,INDICATEURS CLES
zone de santé,dimension,"","",column,34,31,6,87,TRUE,FALSE,zone de sante,3,2026-05-20,2026-08-09,Tableau 2. Répartition des cas et décès confirmés de la maladie à virus Ebola par province et ZS (01 juillet 2026),Zone de santé
zones de santé,dimension,"","",column,21,11,4,15,TRUE,FALSE,zone de sante,3,2026-05-19,2026-05-29,"Tableau IV. Répartition des cas, décès suspects et confirmés de maladie à virus Ebola dans les zones de santé de la DPS Ituri, Nord-Kivu et Sud Kivu au 22 mai 2026*",Zones de santé
bas-uélé,dimension,"","",column,18,18,100,117,TRUE,TRUE,bas uele,1,2026-08-22,2026-09-08,"Tableau 4. Situation indicateurs clés des PoC/PoE par province, en date du 01 Septembre 2026",Bas-Uélé
haut-uele,dimension,"","",column,15,15,61,79,TRUE,FALSE,haut uele,2,2026-07-14,2026-08-01,"TABLEAU 6 — OCCUPATION DES STRUCTURES DE SOINS (CTE/CT/CI), AU 17/07/2026",Haut-Uele
provinces,dimension,"","",column,11,11,4,15,TRUE,FALSE,province,2,2026-05-19,2026-05-29,"Tableau IV. Répartition des cas, décès suspects et confirmés de maladie à virus Ebola dans les zones de santé de la DPS Ituri, Nord-Kivu et Sud Kivu au 22 mai 2026*",Provinces
provinces touchées,dimension,"","",column,8,8,4,10,TRUE,FALSE,provinces touchees,1,2026-05-19,2026-05-24,Tableau I. Répartition des cas et décès confirmés par zone de santé dans les provinces touchées en date du 23/05/2026,Provinces touchées
date,dimension,"","",column,8,3,7,9,FALSE,FALSE,date,1,2026-05-21,2026-05-23,REPARTITION DES ECHANTILLONS TESTES AU LABO BUNIA PAR NATURE,Date
poe/poc,dimension,"","",column,6,6,6,10,TRUE,FALSE,poe poc,1,2026-05-20,2026-05-24,Tableau III. Synthèse de données au PoE/PoC du 24/05/2026,PoE/PoC
indicateurs clés,dimension,"","",column,3,3,13,15,FALSE,FALSE,indicateurs cles,2,2026-05-27,2026-05-29,Tableau IV. Point sur la situation de laboratoire cumul en date du 28/05/2026,Indicateurs clés
zone de sante,dimension,"","",column,3,3,48,51,FALSE,FALSE,zone de sante,3,2026-07-01,2026-07-04,Tableau 1 : Analyse des décès communautaires et de la létalité hospitalière lors de l'épidémie de maladie à virus Ebola Bundibugyo en RDC au 03 juillet 2026,Zone de sante
nord-kivu*,dimension,"","",column,2,2,41,44,FALSE,FALSE,nord kivu,3,2026-06-24,2026-06-27,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 24 juin 2026,Nord-Kivu*
indicateurs 1,dimension,"","",column,1,1,7,7,FALSE,FALSE,indicateurs,3,2026-05-21,2026-05-21,Tableau VI. Mouvement des malades dans les établissements de soins en date du 21 mai 2026,Indicateurs 1
indicateurs 2,dimension,"","",column,1,1,7,7,FALSE,FALSE,indicateurs,3,2026-05-21,2026-05-21,Tableau VI. Mouvement des malades dans les établissements de soins en date du 21 mai 2026,Indicateurs 2
kinshasa,dimension,"","",column,1,1,37,37,FALSE,FALSE,kinshasa,1,2026-06-20,2026-06-20,"Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 20 juin 2026",Kinshasa
ituri1,dimension,"","",column,1,1,46,46,FALSE,FALSE,ituri1,1,2026-06-29,2026-06-29,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 29 juin 2026,Ituri1
cas confirmés,indicator,"",cases,column+row_label,126,103,1,122,TRUE,TRUE,cas confirmes,2,2026-05-14,2026-09-13,Tableau 1 : Répartition des cas et décès confirmés par province touchée en date du 01 juillet 2026.,Cas Confirmés
létalité,indicator,"",cases,column,100,98,18,122,TRUE,TRUE,letalite,2,2026-06-01,2026-09-13,Tableau 1. Répartition des cas et décès confirmés par province touchée en date du 02 juillet 2026.,Létalité
% des voyageurs screenés,indicator,"",points_of_entry,row_label,84,84,22,122,TRUE,TRUE,des voyageurs screenes,1,2026-06-05,2026-09-13,"Tableau 4. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 11 juin 2026",% des voyageurs screenés
% des voyageurs sensibilisés,indicator,"",points_of_entry,row_label,80,80,22,122,TRUE,TRUE,des voyageurs sensibilises,2,2026-06-05,2026-09-13,"Tableau 4. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 13 juin 2026",% des voyageurs sensibilisés
% des voyageurs ayant lavé les mains,indicator,"",points_of_entry,row_label,79,79,25,122,TRUE,TRUE,des voyageurs ayant lave les mains,4,2026-06-08,2026-09-13,"Tableau 4. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 13 juin 2026",% des voyageurs ayant lavé les mains
décès (confirmés),indicator,"",cases,column,76,76,17,122,TRUE,TRUE,deces  confirmes,3,2026-05-31,2026-09-13,Tableau 1. Répartition des cas et décès confirmés par province touchée en date du 02 juillet 2026.,Décès (confirmés)
alertes investiguées,indicator,"",alerts,column+row_label,69,67,2,83,TRUE,FALSE,alertes investiguees,1,2026-05-17,2026-08-05,"Tableau 2. Gestion des alertes épidémiologiques (24h), 17e épidémie MVE Bundibugyo, par province, au 1er juin 2026",Alertes investiguées
nombre de personnes passées aux poe/poc,indicator,"",points_of_entry,row_label,63,63,46,122,TRUE,TRUE,nombre de personnes passees aux poe poc,2,2026-06-29,2026-09-13,"Tableau 3 : Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC), en date du 01 juillet 2026",Nombre de personnes passées aux PoE/PoC
nombre d’alertes notifiées,indicator,"",alerts,row_label,62,62,22,122,TRUE,TRUE,nombre dalertes notifiees,2,2026-06-05,2026-09-13,"Tableau 4. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 11 juin 2026",Nombre d’alertes notifiées
nombre cumulatif cas (n),indicator,"",cases,column,56,56,59,122,TRUE,TRUE,nombre cumulatif cas  n,1,2026-07-12,2026-09-13,"Tableau 2. Répartition des cas et décès confirmés par province et zone de santé, au 01 septembre 2026",Nombre cumulatif Cas (n)
nombre cumulatif décès (n),indicator,"",cases,column,56,56,59,122,TRUE,TRUE,nombre cumulatif deces  n,1,2026-07-12,2026-09-13,"Tableau 2. Répartition des cas et décès confirmés par province et zone de santé, au 01 septembre 2026",Nombre cumulatif Décès (n)
nombre cumulatif létalité,indicator,"",cases,column,56,56,59,122,TRUE,TRUE,nombre cumulatif letalite,1,2026-07-12,2026-09-13,"Tableau 2. Répartition des cas et décès confirmés par province et zone de santé, au 01 septembre 2026",Nombre cumulatif Létalité
patients au lit (j-1),indicator,"",treatment,row_label,52,52,19,80,TRUE,FALSE,patients au lit  j 1,1,2026-06-02,2026-08-02,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,Patients au lit (J-1)
patients en isolement (fin j),indicator,"",treatment,row_label,52,52,19,80,TRUE,FALSE,patients en isolement  fin j,1,2026-06-02,2026-08-02,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,Patients en isolement (Fin J)
proportion de poc activés et poe renforcés,indicator,"",points_of_entry,row_label,47,47,37,99,TRUE,FALSE,proportion de poc actives et poe renforces,1,2026-06-20,2026-08-21,"Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 20 juin 2026",Proportion de PoC activés et PoE renforcés
dont suspects,indicator,"","",row_label,46,46,19,80,TRUE,FALSE,dont suspects,1,2026-06-02,2026-08-02,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,dont suspects
nombre de corps sans vie interceptés ce jour,indicator,"",death_surveil,row_label,46,46,59,122,TRUE,TRUE,nombre de corps sans vie interceptes ce jour,2,2026-07-12,2026-09-13,"TABLEAU 6 — SUIVI DES INDICATEURS AUX POINTS D'ENTREE ET POINTS DE CONTROLE (POE/POC), AU 12 JUILLET 2026",Nombre de corps sans vie interceptés ce jour
décès,indicator,"",cases,column,44,22,59,83,TRUE,FALSE,deces,1,2026-07-12,2026-08-05,"TABLEAU 9 — PERSONNEL DE PREMIERE LIGNE (PPL) INFECTE PAR LA MVE (CUMUL AU 12 JUILLET 2026, ITURI)",Décès
% des corps sans vie swabés,indicator,"",death_surveil,row_label,43,43,41,99,TRUE,FALSE,des corps sans vie swabes,2,2026-06-24,2026-08-21,"Tableau 3 : Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC), en date du 01 juillet 2026",% des corps sans vie swabés
nombre de résultat positif des cas suspects référés,indicator,"",cases,row_label,39,39,37,93,TRUE,FALSE,nombre de resultat positif des cas suspects referes,1,2026-06-20,2026-08-15,"Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 20 juin 2026",Nombre de résultat positif des cas suspects référés
report (j-1),indicator,"","",row_label,39,39,40,83,TRUE,FALSE,report  j 1,1,2026-06-23,2026-08-05,TABLEAU 3 — GESTION DES ALERTES EPIDEMIOLOGIQUES (NORD-KIVU AU 13/07 ; AUTRES REPORTEES DU 12/07),Report (J-1)
total alertes du jour,indicator,"",alerts,row_label,39,39,40,83,TRUE,FALSE,total alertes du jour,1,2026-06-23,2026-08-05,TABLEAU 3 — GESTION DES ALERTES EPIDEMIOLOGIQUES (NORD-KIVU AU 13/07 ; AUTRES REPORTEES DU 12/07),Total Alertes du jour
total alertes,indicator,"",alerts,column,39,39,84,122,TRUE,TRUE,total alertes,2,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Total alertes
nombre de suspects investigués,indicator,"",surveillance,column,39,39,84,122,TRUE,TRUE,nombre de suspects investigues,1,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Nombre de suspects investigués
contacts sous suivi (n),indicator,"",contacts,column,38,38,18,58,TRUE,FALSE,contacts sous suivi  n,1,2026-06-01,2026-07-11,"Tableau 3. Suivi des contacts des cas confirmés MVE Bundibugyo par province, République Démocratique du Congo, au 1er juin 2026",Contacts sous suivi (n)
taux de suivi (%),indicator,"",contacts,column,38,38,18,58,TRUE,FALSE,taux de suivi,3,2026-06-01,2026-07-11,"Tableau 3. Suivi des contacts des cas confirmés MVE Bundibugyo par province, République Démocratique du Congo, au 1er juin 2026",Taux de suivi (%)
situation du jour (24h) nouv. cas,indicator,"",cases,column,38,38,81,122,TRUE,TRUE,situation du jour  24h  nouv  cas,2,2026-08-03,2026-09-13,"Tableau 2. Répartition des cas et décès confirmés par province et zone de santé, au 01 septembre 2026",Situation du jour (24h) Nouv. cas
situation du jour (24h) décès communautaires (swab+),indicator,"",cases,column,38,38,81,122,TRUE,TRUE,situation du jour  24h  deces communautaires  swab,2,2026-08-03,2026-09-13,"Tableau 2. Répartition des cas et décès confirmés par province et zone de santé, au 01 septembre 2026",Situation du jour (24h) Décès communautaires (Swab+)
situation du jour (24h) décès confirmés intra-cte,indicator,"",cases,column,38,38,81,122,TRUE,TRUE,situation du jour  24h  deces confirmes intra cte,2,2026-08-03,2026-09-13,"Tableau 2. Répartition des cas et décès confirmés par province et zone de santé, au 01 septembre 2026",Situation du jour (24h) Décès confirmés intra-CTE
situation du jour (24h) total décès confirmés,indicator,"",cases,column,38,38,81,122,TRUE,TRUE,situation du jour  24h  total deces confirmes,2,2026-08-03,2026-09-13,"Tableau 2. Répartition des cas et décès confirmés par province et zone de santé, au 01 septembre 2026",Situation du jour (24h) Total décès confirmés
nouveaux cas confirmés(24h),indicator,"",cases,column,38,38,84,122,TRUE,TRUE,nouveaux cas confirmes 24h,2,2026-08-06,2026-09-13,"Tableau 1. Répartition des cas et décès confirmés par province touchée, au 01 septembre 2026.",Nouveaux cas confirmés(24h)
taux d'investigation,indicator,"",surveillance,row_label,37,37,18,58,TRUE,FALSE,taux dinvestigation,1,2026-06-01,2026-07-11,"Tableau 2. Gestion des alertes épidémiologiques (24h), 17e épidémie MVE Bundibugyo, par province, au 1er juin 2026",Taux d'investigation
alertes vérifiées et validées (cas suspect) vivants,indicator,"",alerts,column,37,37,84,122,TRUE,TRUE,alertes verifiees et validees  cas suspect  vivants,1,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Alertes vérifiées et validées (cas suspect) Vivants
alertes vérifiées et validées (cas suspect) décédés,indicator,"",alerts,column,37,37,84,122,TRUE,TRUE,alertes verifiees et validees  cas suspect  decedes,1,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Alertes vérifiées et validées (cas suspect) Décédés
alertes vérifiées et invalidées (non-cas suspect) vivants,indicator,"",alerts,column,37,37,84,122,TRUE,TRUE,alertes verifiees et invalidees  non cas suspect  vivants,1,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Alertes vérifiées et invalidées (non-cas suspect) Vivants
alertes vérifiées et invalidées (non-cas suspect) décédés,indicator,"",alerts,column,37,37,84,122,TRUE,TRUE,alertes verifiees et invalidees  non cas suspect  decedes,1,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Alertes vérifiées et invalidées (non-cas suspect) Décédés
nombre de suspects investigués et transférés au ct/cte (du jour),indicator,"",surveillance,column,37,37,84,122,TRUE,TRUE,nombre de suspects investigues et transferes au ct cte  du jour,1,2026-08-06,2026-09-13,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Nombre de suspects investigués et transférés au CT/CTE (du jour)
cas confirmés cumulés (n),indicator,"",cases,column,36,36,18,58,TRUE,FALSE,cas confirmes cumules  n,1,2026-06-01,2026-07-11,"Tableau 1. Répartition des cas confirmés et des décès de la MVE Bundibugyo par zone de santé et par province, République Démocratique du Congo, au 1er juin 2026 (en cours de consolidation)",Cas confirmés cumulés (n)
contacts vus (n),indicator,"",contacts,column,36,36,18,58,TRUE,FALSE,contacts vus  n,1,2026-06-01,2026-07-11,"Tableau 3. Suivi des contacts des cas confirmés MVE Bundibugyo par province, République Démocratique du Congo, au 1er juin 2026",Contacts vus (n)
nouveaux cas confirmés (24h),indicator,"",cases,column,35,35,21,98,TRUE,FALSE,nouveaux cas confirmes 24h,2,2026-06-04,2026-08-20,Tableau 1. Répartition des cas et décès confirmés par province touchée en date du 02 juillet 2026.,Nouveaux cas confirmés (24h)
nb accompagnants au cte ayant bénéficié d'interventions smsps,indicator,"",treatment,row_label,35,35,21,58,TRUE,FALSE,nb accompagnants au cte ayant beneficie dinterventions smsps,1,2026-06-04,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS
nb ppl ayant bénéficié d'interventions smsps,indicator,"",psychosocial,row_label,35,35,21,58,TRUE,FALSE,nb ppl ayant beneficie dinterventions smsps,1,2026-06-04,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nb PPL ayant bénéficié d'interventions SMSPS
décès confirmés cumulés (n),indicator,"",cases,column,34,34,18,58,TRUE,FALSE,deces confirmes cumules  n,1,2026-06-01,2026-07-11,"Tableau 1. Répartition des cas confirmés et des décès de la MVE Bundibugyo par zone de santé et par province, République Démocratique du Congo, au 1er juin 2026 (en cours de consolidation)",Décès confirmés cumulés (n)
total admissions (24h),indicator,"",treatment,row_label,33,33,19,58,TRUE,FALSE,total admissions  24h,2,2026-06-02,2026-07-11,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,Total admissions (24h)
dont positifs,indicator,"",laboratory,row_label,33,33,21,58,TRUE,FALSE,dont positifs,1,2026-06-04,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Dont positifs
alertes validées vivantes,indicator,"",alerts,row_label,32,32,24,58,TRUE,FALSE,alertes validees vivantes,2,2026-06-07,2026-07-11,Tableau 3. Gestion des alertes épidémiologiques (24h) au 02 juillet 2026,Alertes validées Vivantes
alertes validées décédées,indicator,"",alerts,row_label,32,32,24,58,TRUE,FALSE,alertes validees decedees,1,2026-06-07,2026-07-11,Tableau 3. Gestion des alertes épidémiologiques (24h) au 02 juillet 2026,Alertes validées Décédées
total des cas suspects du jour,indicator,"",cases,row_label,32,32,24,58,TRUE,FALSE,total des cas suspects du jour,1,2026-06-07,2026-07-11,Tableau 3. Gestion des alertes épidémiologiques (24h) au 02 juillet 2026,Total des cas suspects du jour
sorties (24h) évadés (suspects/conf.),indicator,"",treatment,row_label,31,31,19,58,TRUE,FALSE,sorties  24h  evades  suspects conf,2,2026-06-02,2026-07-11,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,Sorties (24h) Évadés (Suspects/Conf.)
nouveaux cas suspects,indicator,"",cases,column+row_label,30,30,5,83,TRUE,FALSE,nouveaux cas suspects,1,2026-05-19,2026-08-05,Tableau I. Répartition des cas et décès confirmés par zone de santé dans les provinces touchées en date du 23/05/2026,Nouveaux cas suspects
sorties (24h) décédés (suspects/conf.),indicator,"",treatment,row_label,30,30,19,58,TRUE,FALSE,sorties  24h  decedes  suspects conf,3,2026-06-02,2026-07-11,Tableau 7. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 05 juillet 2026,Sorties (24h) Décédés (Suspects/Conf.)
dont confirmés (nc+ac),indicator,"","",row_label,30,30,19,58,TRUE,FALSE,dont confirmes  nc ac,2,2026-06-02,2026-07-11,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,dont confirmés (NC+AC)
nouveaux cas confirmés admis au cte ayant bénéficié d'interventions smsps,indicator,"",cases,row_label,30,30,26,58,TRUE,FALSE,nouveaux cas confirmes admis au cte ayant beneficie dinterventions smsps,1,2026-06-09,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS
cas confirmés en cours de suivi ayant bénéficié d'interventions smsps,indicator,"",cases,row_label,30,30,26,58,TRUE,FALSE,cas confirmes en cours de suivi ayant beneficie dinterventions smsps,1,2026-06-09,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS
nouveaux cas suspects ayant bénéficié d'interventions smsps,indicator,"",cases,row_label,30,30,26,58,TRUE,FALSE,nouveaux cas suspects ayant beneficie dinterventions smsps,1,2026-06-09,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nouveaux cas suspects ayant bénéficié d'interventions SMSPS
cas suspects en cours de suivi ayant bénéficié d'interventions smsps,indicator,"",cases,row_label,30,30,26,58,TRUE,FALSE,cas suspects en cours de suivi ayant beneficie dinterventions smsps,1,2026-06-09,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS
nb enfants séparés en crèche ayant bénéficié d'interventions smsps,indicator,"",psychosocial,row_label,30,30,26,58,TRUE,FALSE,nb enfants separes en creche ayant beneficie dinterventions smsps,1,2026-06-09,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS
nb enfants séparés en communauté ayant bénéficié d'interventions smsps,indicator,"",psychosocial,row_label,30,30,26,58,TRUE,FALSE,nb enfants separes en communaute ayant beneficie dinterventions smsps,1,2026-06-09,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS
nb membres des ménages et communautés ayant bénéficié d'interventions smsps,indicator,"",psychosocial,row_label,30,30,26,58,TRUE,FALSE,nb membres des menages et communautes ayant beneficie dinterventions smsps,1,2026-06-09,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS
nbre d'eds appuyés,indicator,"",death_surveil,row_label,29,29,27,58,TRUE,FALSE,nbre deds appuyes,1,2026-06-10,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Nbre d'EDS appuyés
nouvelles alertes reçues vivants,indicator,"",alerts,column,29,29,84,112,TRUE,FALSE,nouvelles alertes recues vivants,1,2026-08-06,2026-09-03,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Nouvelles Alertes Reçues Vivants
nouvelles alertes reçues décédés,indicator,"",alerts,column,29,29,84,112,TRUE,FALSE,nouvelles alertes recues decedes,1,2026-08-06,2026-09-03,"Tableau 3. Situation des alertes notifiées par province, au 01 Septembre 2026",Nouvelles Alertes Reçues Décédés
alertes remontées,indicator,"",alerts,row_label,28,26,13,39,TRUE,FALSE,alertes remontees,1,2026-05-27,2026-06-22,"Tableau 2. Gestion des alertes épidémiologiques (24h), 17e épidémie MVE Bundibugyo, par province, au 1er juin 2026",Alertes remontées
sorties (24h) transférés à l'hgr,indicator,"",treatment,row_label,28,28,24,58,TRUE,FALSE,sorties  24h  transferes a lhgr,1,2026-06-07,2026-07-11,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,Sorties (24h) Transférés à l'HGR
taux de suivi,indicator,"",contacts,column,27,27,5,83,TRUE,FALSE,taux de suivi,3,2026-05-19,2026-08-05,Tableau III. Récapitulatif de l’identification et suivi de contacts à la date du 20 mai 2026,Taux de suivi
nouvelles alertes,indicator,"",alerts,column+row_label,26,24,4,58,TRUE,FALSE,nouvelles alertes,1,2026-05-19,2026-07-11,Tableau II. Mise à jour de la situation épidémiologique de MVE dans la province d’ITURI au 20/ 05 /2026,Nouvelles alertes (18/05)
taux d'occupation global,indicator,"",treatment,row_label,26,26,26,58,TRUE,FALSE,taux doccupation global,1,2026-06-09,2026-07-11,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 02 juillet 2026,Taux d'occupation global
nombre d’alertes vivantes validées,indicator,"",alerts,row_label,26,26,37,100,TRUE,FALSE,nombre dalertes vivantes validees,2,2026-06-20,2026-08-22,"Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 20 juin 2026",Nombre d’alertes vivantes validées
guéris,indicator,"",treatment,column,25,25,1,83,TRUE,FALSE,gueris,1,2026-05-14,2026-08-05,Tableau I. Les indicateurs clés de la surveillance épidémiologique dans les trois provinces en date du 29 mai 2026,Guéris
% d’alertes vivantes validées référées au ct/cte,indicator,"",alerts,row_label,25,25,37,99,TRUE,FALSE,dalertes vivantes validees referees au ct cte,2,2026-06-20,2026-08-21,"Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 20 juin 2026",% d’alertes vivantes validées référées au CT/CTE
résultats de laboratoire ayant été annoncés,indicator,"",laboratory,row_label,24,24,33,58,TRUE,FALSE,resultats de laboratoire ayant ete annonces,2,2026-06-16,2026-07-11,Tableau 6 : Indicateurs clés des activités de santé mentale et soutien psychosocial au 01 juillet 2026,Résultats de laboratoire ayant été annoncés
