source,doc_id,report_date,publisher,licence,url,facility_raw,site_kind,name_status,place_raw,health_zone,province,event,beds,status_note,evidence_quote,confidence,facility_id,match_kind
who_afro,afro-04,2026-06-07,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386364,Ebola Treatment Centre,treatment_centre,named,Bunia,"","",under_construction,24,Construction of a 24-bed extension for suspect cases was ongoing.,"the Ebola Treatment Centre in Bunia became fully operational, including completion of patient transfers from the former isolation facility, while construction of a 24-bed extension",high,,place_only
who_afro,afro-04,2026-06-07,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386364,Mulago Ebola Treatment Unit,treatment_centre,named,Kampala,"","",operating,"",Five confirmed cases were under treatment at the facility.,five confirmed cases remained under treatment at the Mulago Ebola Treatment Unit in Kampala.,high,,unmatched
who_afro,afro-04,2026-06-07,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386364,isolation facility,isolation_centre,unnamed,"","","",operating,"",Patients were transferred out of the facility.,patient transfers from the former isolation facility,high,,place_only
who_afro,afro-05,2026-06-14,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386445,Bunia BVD Treatment Centre,treatment_centre,named,Bunia,"","",expanded,"",Eight additional tents were installed to support surge capacity.,Eight additional tents installed at the Bunia BVD Treatment Centre are expected to become operational on 15 June 2026 to support surge capacity.,high,,place_only
who_afro,afro-05,2026-06-14,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386445,Ebola Treatment Centre,treatment_centre,named,Bunia,"","",operating,"",The facility remained operational amidst increasing bed occupancy.,"The Ebola Treatment Centre in Bunia remained operational, while additional treatment and isolation capacity continued to be expanded",high,,place_only
who_afro,afro-05,2026-06-14,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386445,Entebbe isolation facility,isolation_centre,named,Entebbe,"","",mention_only,56,"The facility has a capacity of 56 beds, including four for critical care.","56 beds, including four critical care beds, at the Entebbe isolation facility;",high,,unmatched
who_afro,afro-05,2026-06-14,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386445,Mulago Field Isolation Facility,isolation_centre,named,"","","",mention_only,32,The facility provides an additional capacity of 32 beds.,and an additional 32 beds at the Mulago Field Isolation Facility.,high,,unmatched
who_afro,afro-05,2026-06-14,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386445,Mulago isolation facility,isolation_centre,named,Kampala,"","",mention_only,84,"The facility has a capacity of 84 beds, including 10 for critical care.","treatment capacity included 84 beds, including 10 critical care beds, at the Mulago isolation facility in Kampala;",high,,unmatched
who_afro,afro-06,2026-06-21,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386544,Entebbe isolation facility,isolation_centre,named,"","","",mention_only,56,The document notes that the facility has a capacity of 56 beds.,"56 beds, including four critical care beds, at the Entebbe isolation facility;",high,,unmatched
who_afro,afro-06,2026-06-21,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386544,Mulago Field Isolation Facility,isolation_centre,named,"","","",mention_only,32,The document indicates that the facility has a capacity of 32 beds.,and an additional 32 beds at the Mulago Field Isolation Facility.,high,,unmatched
who_afro,afro-06,2026-06-21,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386544,Mulago isolation facility,isolation_centre,named,Kampala,"","",mention_only,84,The document states that the facility has a capacity of 84 beds.,"84 beds, including 10 critical care beds, at the Mulago isolation facility in Kampala;",high,,unmatched
who_afro,afro-07,2026-06-28,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386596,Entebbe isolation facility,isolation_centre,named,Entebbe,"","",mention_only,56,The facility is stated to have a capacity of 56 beds.,"56 beds at the Entebbe isolation facility,",high,,unmatched
who_afro,afro-07,2026-06-28,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386596,Mulago Ebola Treatment Unit,treatment_centre,named,"","","",operating,"",A patient was isolated at this unit.,was isolated on 20 June 2026 at the Mulago Ebola Treatment Unit.,high,,unmatched
who_afro,afro-07,2026-06-28,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386596,Mulago Field Isolation Facility,isolation_centre,named,"","","",mention_only,32,The facility is stated to have a capacity of 32 beds.,and an additional 32 beds at the Mulago Field Isolation Facility.,high,,unmatched
who_afro,afro-07,2026-06-28,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386596,Mulago isolation facility,isolation_centre,named,Kampala,"","",mention_only,84,The facility is stated to have a treatment capacity of 84 beds.,"treatment capacity includes 84 beds at the Mulago isolation facility in Kampala,",high,,unmatched
who_afro,afro-07,2026-06-28,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386596,designated high-containment healthcare facility,hospital_isolation,unnamed,"","","",operating,"",A patient with symptoms was immediately isolated and referred to this facility.,prompting immediate isolation and referral to a designated high-containment healthcare facility.,high,,unmatched
who_afro,afro-08,2026-07-05,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386672,Ebola Treatment Centres (CTEs) in Elikya and Rwampara,treatment_centre,named,Elikya,"","",under_construction,"","Construction and site development continued at this treatment centre, including the installation of tents.",continued construction and site development at the Ebola Treatment Centres (CTEs) in Elikya and Rwampara,high,cte-elikya,place_kind
who_afro,afro-08,2026-07-05,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386672,Ebola Treatment Centres (CTEs) in Elikya and Rwampara,treatment_centre,named,Rwampara,"","",under_construction,"","Construction and site development continued at this treatment centre, including the installation of tents.",continued construction and site development at the Ebola Treatment Centres (CTEs) in Elikya and Rwampara,high,,place_only
who_afro,afro-08,2026-07-05,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386672,designated high-containment treatment facility,treatment_centre,unnamed,"","","",operating,"",A physician returning from the DRC was transferred here for immediate isolation.,prompting his immediate isolation and transfer to a designated high-containment treatment facility.,high,,unmatched
who_afro,afro-08,2026-07-05,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386672,hospital,hospital_isolation,unnamed,"","","",operating,"",An imported case was discharged from this facility after recovering.,has recovered and was discharged from hospital on 4 July after obtaining two consecutive negative,high,hosp-ch-cme,place_kind
who_afro,afro-08,2026-07-05,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386672,treatment unit,treatment_centre,unnamed,"","","",operating,"",A confirmed case from the DRC was admitted to this unit for isolation.,and was admitted to the treatment unit for isolation on 20 June 2026.,high,,place_only
who_afro,afro-09,2026-07-12,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386714,a specialized high-level isolation unit at Frankfurt University Hospital,isolation_centre,named,Germany,"","",operating,"",A humanitarian worker who contracted the disease was medically evacuated and admitted here.,"was medically evacuated to a specialized high-level isolation unit at Frankfurt University Hospital, Germany.",high,,unmatched
who_afro,afro-09,2026-07-12,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386714,a treatment facility,treatment_centre,unnamed,"","","",operating,"",One confirmed patient remains currently admitted to this facility.,leaving one confirmed patient currently admitted to a treatment facility.,high,,unmatched
who_afro,afro-11,2026-07-26,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386797,Rwampara Ebola Treatment Centre,treatment_centre,named,"","","",mention_only,"","The facility hosted orientation sessions for preventing and responding to sexual exploitation, abuse, and harassment.",as well as at the Rwampara Ebola Treatment Centre,high,cte-hgr-rwampara,id
who_afro,afro-11,2026-07-26,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386797,a treatment centre,treatment_centre,unnamed,"","","",operating,"",A suspected case from a point of entry was referred to an unnamed treatment centre.,One (20.0%) was referred to a treatment centre,high,,unmatched
who_afro,afro-13,2026-08-09,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386915,Bambu transit centre,transit_centre,named,"","","",strained,"",The transit centre remained saturated.,"Nizi Ebola treatment centres and the Bambu transit centre, highlighting geographic disparities in bed availability and continued pressure on case management services.",high,ct-bambu,id
who_afro,afro-13,2026-08-09,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386915,Ebola Treatment Centre in Rwankole,treatment_centre,named,"Rwankole, near Bunia","",Ituri Province,opened,100,A new 100-bed Ebola treatment centre was inaugurated.,"inauguration of a new 100-bed Ebola Treatment Centre in Rwankole, near Bunia, Ituri Province, on 4 August 2026.",high,cte-rwankole,id
who_afro,afro-13,2026-08-09,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386915,Nizi Ebola treatment centre,treatment_centre,named,"","","",strained,"",The treatment centre remained saturated.,"several treatment facilities in Ituri and North Kivu provinces remained saturated, including the Rwampara, Institut Supérieur des Techniques Médicales (ISTM) and Nizi Ebola treatment centres",high,cte-hgr-nizi,id
who_afro,afro-13,2026-08-09,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386915,treatment and isolation facilities,treatment_centre,unnamed,Musienene,"",North Kivu,under_construction,"",Rehabilitation and operationalization of facilities continued.,Rehabilitation and operationalization of treatment and isolation facilities continued in Musienene and Vuhovi in North Kivu.,low,cte-musienene,place_kind
who_afro,afro-13,2026-08-09,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386915,treatment and isolation facilities,treatment_centre,unnamed,Vuhovi,"",North Kivu,under_construction,"",Rehabilitation and operationalization of facilities continued.,Rehabilitation and operationalization of treatment and isolation facilities continued in Musienene and Vuhovi in North Kivu.,low,,place_only
who_afro,afro-15,2026-08-23,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386996,PK24 treatment centre,treatment_centre,named,"","","",mention_only,"",Ministers and delegations conducted a field visit to the facility.,"conducted field visits to the PK24 treatment centre,",high,,unmatched
who_afro,afro-15,2026-08-23,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386996,community health centre,other,unnamed,"","","",mention_only,"",Ministers and delegations conducted a field visit to the facility.,"conducted field visits to the PK24 treatment centre, Mongoumba border port, laboratory and community health centre.",high,,unmatched
who_afro,afro-17,2026-09-06,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/387440,the treatment centre,treatment_centre,unnamed,Isiro,"",Haut Uélé,operating,"",A patient refused to return to the treatment centre.,"a patient in Isiro, Haut Uélé, refused to return to the treatment centre.",high,,place_only
who_afro,afro-18,2026-09-13,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/387547,a treatment centre,treatment_centre,unnamed,"","",Ituri,operating,"",A suspected case detected in Ituri was transferred to this facility.,"One alert was detected in Ituri, validated as a suspected case, investigated and transferred to a treatment centre.",high,,unmatched
who_afro,afro-19,2026-09-20,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/387652,the Nia-Nia Ebola treatment centre,treatment_centre,named,Nia-Nia,Nia-Nia,Ituri,mention_only,"",Local leaders visited the facility.,"In Ituri, 47 local leaders visited the Nia-Nia Ebola treatment centre",high,cte-nia-nia,id
