sitrep,report_date,facility_id,facility_raw,name_status,site_kind,place_key,place_raw,event,event_date,beds,health_zone,province,status_note,evidence_quote,confidence,model
007,2026-05-21,"",RWAMPARA,ambiguous,hospital_isolation,rwampara,Rwampara,operating,,,Rwampara,Ituri,The facility is isolating and treating patients.,| Indicateurs 1 | Indicateurs 2 | HGR Bunia | RWAMPARA | RWAMPARA | Mongbwalu | Mongbwalu | Nyankunde | Total Général |,high,agy:gemini-3.1-pro-low
007,2026-05-21,"","CT et CTE de Beni, Butembo et Goma",unnamed,treatment_centre,et beni butembo et goma,"",planned,,,"",Nord-Kivu,A recommendation was made to rehabilitate and operationalize the treatment and transit centers.,"Rendre opérationnel les CT et CTE de Beni, Butembo et Goma (réhabilitation et révision du circuit)",high,agy:gemini-3.1-pro-low
007,2026-05-21,ci-hgr-bunia,bâtiment d'isolement de l’HGR-Bunia,named,isolation_centre,bunia,Bunia,mention_only,,,Bunia,Ituri,The hospital's isolation building was decontaminated.,Décontamination du bâtiment d'isolement de l’HGR-Bunia.,high,agy:gemini-3.1-pro-low
007,2026-05-21,ci-rwampara,salle d'isolement à l'HGR/Rwampara,named,isolation_centre,rwampara,Rwampara,mention_only,,,Rwampara,Ituri,The hospital's isolation room was decontaminated.,Décontamination de la salle d'isolement à l'HGR/Rwampara.,high,agy:gemini-3.1-pro-low
007,2026-05-21,hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,named,hospital_isolation,rwampara,Rwampara,operating,,,Rwampara,Ituri,Suspected hemorrhagic fever deaths were reported among patients admitted to the facility.,décès suspects de fièvre hémorragique virale chez des malades internés au Centre médical Evangélique de Rwampara,high,agy:gemini-3.1-pro-low
007,2026-05-21,hosp-hgr-bunia,HGR Bunia,named,hospital_isolation,bunia,Bunia,operating,,,Bunia,Ituri,"The facility is isolating and treating patients, with admissions, deaths, and escapes reported.",| Indicateurs 1 | Indicateurs 2 | HGR Bunia | RWAMPARA | RWAMPARA | Mongbwalu | Mongbwalu | Nyankunde | Total Général |,high,agy:gemini-3.1-pro-low
007,2026-05-21,hosp-hgr-bunia,HGR Bunia,named,hospital_isolation,bunia,Bunia,under_construction,,,Bunia,Ituri,Two isolation tents are currently being set up at the hospital.,Montage de deux tentes d’isolement en cours à l’HGR Bunia ;,high,agy:gemini-3.1-pro-low
007,2026-05-21,hosp-hopital-matanda,Hôpital Matanda,named,hospital_isolation,matanda,Matanda,operating,,,Katwa,Nord-Kivu,The hospital is hosting a confirmed case and was decontaminated.,Decontamination de l’Hôpital Matanda où séjourne le cas confirmé de la ZS de Katwa;,high,agy:gemini-3.1-pro-low
007,2026-05-21,site-cme-nyakunde,CME Nyakunde,named,other,nyankunde,Nyankunde,mention_only,,,Nyankunde,Ituri,Healthcare providers at the facility were briefed on biomedical waste management.,Médecins et Sage-femmes de CME Nyakunde) sur la gestion des déchets biomédicaux.,high,agy:gemini-3.1-pro-low
007,2026-05-21,site-cs-rwampara,CS Rwampara,named,other,rwampara,Rwampara,mention_only,,,Mongbwalu,Ituri,A formative supervision visit was conducted at the health structure.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga",high,agy:gemini-3.1-pro-low
007,2026-05-21,site-cs-tchunga,CS Tchunga,named,other,tchunga,"",mention_only,,,Mongbwalu,Ituri,A formative supervision visit was conducted at the health structure.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga",high,agy:gemini-3.1-pro-low
007,2026-05-21,site-cs-uponyaji,CS Uponyaji,named,other,uponyaji,"",mention_only,,,Mongbwalu,Ituri,A formative supervision visit was conducted at the health structure.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga",high,agy:gemini-3.1-pro-low
007,2026-05-21,site-poste-sante-amani,Poste de santé Amani,named,other,amani,"",mention_only,,,Mongbwalu,Ituri,A formative supervision visit was conducted at the health structure.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga",high,agy:gemini-3.1-pro-low
008,2026-05-22,"",CTE,unnamed,treatment_centre,"","",mention_only,,,"",Nord-Kivu,An assessment was conducted to determine the facility's infection control needs.,"• État de lieu du CTE pour le dégagement des besoins en intrants PCI (Epi, approvisionnement en eau, gestion des déchets, circuit du malade).",high,agy:gemini-3.1-pro-low
008,2026-05-22,"",CME,ambiguous,hospital_isolation,"","",under_construction,,,"","",Renovation work is continuing on the building.,Poursuite de l’aménagement du bâtiment de CME,high,agy:gemini-3.1-pro-low
008,2026-05-22,cte-mongbwalu,CTE à Mongbwalu,named,treatment_centre,mongbwalu,Mongbwalu,under_construction,,,Mongbwalu,Ituri,Installation work on the treatment centre by MSF is ongoing.,❖ Suivi des travaux d’installation de tentes de prise en charge à l’HGR Bunia (ALIMA et OMS) et d’installation du CTE à Mongbwalu par MSF,high,agy:gemini-3.1-pro-low
