facility_id,facility_name,site_kind,place_key,health_zone,province,date_first_mentioned,sitrep_first_mentioned,first_mention_after_gap,date_first_planned,date_opening_announced,sitrep_opening_announced,date_opening_stated,date_first_in_service,status_latest,status_latest_date,beds_latest,beds_latest_date,date_last_mentioned,n_sitreps,n_events,aliases,flags
hosp-rwampara-ch-salama,RWAMPARA CH SALAMA,hospital_isolation,rwampara,Rwampara,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,10,2026-05-20,2026-05-20,2,2,RWAMPARA CH SALAMA,""
hosp-rwampara-cme,RWAMPARA CME,hospital_isolation,rwampara,Rwampara,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,100,2026-05-20,2026-05-20,2,2,RWAMPARA CME,possible_host_variant
hosp-rwampara-cs-hoho,RWAMPARA CS HOHO,hospital_isolation,rwampara,Rwampara,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,0,2026-05-20,2026-05-20,2,2,RWAMPARA CS HOHO,""
hosp-rwampara-hgr,RWAMPARA HGR,hospital_isolation,rwampara,Rwampara,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,16,2026-05-20,2026-05-20,2,2,RWAMPARA HGR,possible_host_variant;possible_same_host;possible_word_order
hosp-sofepadi,SOFEPADI,hospital_isolation,bunia,Bunia,Ituri,2026-05-23,009,FALSE,,,,,2026-05-23,operating,2026-05-24,,,2026-05-24,2,2,SOFEPADI,""
hosp-unibu,UNIBU,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-05-24,1,1,UNIBU,""
ci-cs-boikene,CS Boikene,isolation_centre,boikene,Beni,Nord-Kivu,2026-07-30,077,TRUE,,,,,,mention_only,,,,2026-07-31,2,2,CS Boikene,possible_same_site
ci-cs-lengabo,CS Lengabo,isolation_centre,lengabo,Rwampara,Ituri,2026-06-03,020,FALSE,2026-06-03,,,,,under_construction,2026-06-03,,,2026-07-01,2,2,CS Lengabo,""
ci-cs-makabo,CS Makabo,isolation_centre,makabo,Rwampara,Ituri,2026-06-03,020,FALSE,2026-06-03,,,,,under_construction,2026-06-03,,,2026-06-03,1,1,CS Makabo,""
ci-cs-shari,CS Shari,isolation_centre,shari,Rwampara,Ituri,2026-05-19,005,FALSE,2026-06-03,,,,,under_construction,2026-06-03,,,2026-06-03,2,2,CS Shari; CS SHARI,""
ci-hgr-bunia,bâtiment d'isolement de l’HGR-Bunia,isolation_centre,bunia,Bunia,Ituri,2026-05-21,007,FALSE,,,,,,mention_only,,,,2026-05-21,1,1,bâtiment d'isolement de l’HGR-Bunia,possible_same_site
ci-hgr-isiro,centre d’isolement de l’HGR d’Isiro,isolation_centre,isiro,Isiro,Haut-Uele,2026-08-12,090,FALSE,,,,,,mention_only,,,,2026-08-12,1,1,centre d’isolement de l’HGR d’Isiro,possible_same_site
ci-hgr-musienene,centre d'isolement à l'HGR de Musienene,isolation_centre,musienene,Musienene,Nord-Kivu,2026-08-03,081,FALSE,2026-08-03,,,,,under_construction,2026-08-03,,,2026-08-03,1,1,centre d'isolement à l'HGR de Musienene,possible_same_site
ci-isolement-hgr-vuhovi,isolement de l'HGR Vuhovi,isolation_centre,vuhovi,Vuhovi,Nord-Kivu,2026-08-07,085,FALSE,2026-08-07,,,,,under_construction,2026-08-07,,,2026-08-07,1,1,isolement de l'HGR Vuhovi,""
ci-isolement-madula,isolement de Madula,isolation_centre,madula,Wanierukula,Tshopo,2026-08-15,093,FALSE,2026-09-01,,,,,under_construction,2026-09-12,,,2026-09-12,4,4,isolement de Madula; isolements de Madula,""
ci-isolement-musienene,isolement de Musienene,isolation_centre,musienene,Musienene,Nord-Kivu,2026-08-17,095,FALSE,,,,,2026-08-17,strained,2026-08-17,,,2026-08-17,1,1,isolement de Musienene,""
ci-isolement-zs-katana,isolement de la ZS de Katana,isolation_centre,katana,Katana,Sud-Kivu,2026-08-13,091,FALSE,,,,,2026-08-13,operating,2026-08-13,,,2026-08-13,1,1,isolement de la ZS de Katana,""
ci-isolement-zs-katana-fomulac,isolement de la ZS de Katana (FOMULAC),isolation_centre,katana,Katana,Sud-Kivu,2026-08-14,092,FALSE,,,,,2026-08-14,operating,2026-08-15,,,2026-08-15,2,2,isolement de la ZS de Katana (FOMULAC),""
ci-isolements-hgr-beni,isolements de l'HGR de Beni,isolation_centre,beni,Beni,Nord-Kivu,2026-07-30,077,TRUE,,,,,,mention_only,,,,2026-07-31,2,2,isolements de l'HGR de Beni,""
ci-isolements-konga-konga,isolements (KONGA KONGA),isolation_centre,konga konga,Makiso Kisangani,Tshopo,2026-08-27,105,FALSE,2026-08-27,,,,,under_construction,2026-08-27,,,2026-08-27,1,1,isolements (KONGA KONGA),""
ci-kabondo,Kabondo,isolation_centre,kabondo,Kabondo,Tshopo,2026-08-12,090,FALSE,2026-08-12,,,,,under_construction,2026-09-04,,,2026-09-04,9,9,chantier d’isolement de Kabondo; Kabondo; unités d’isolement de Kabondo,""
ci-konga-konga,Konga-Konga,isolation_centre,konga konga,Makiso Kisangani,Tshopo,2026-08-29,107,FALSE,2026-08-29,,,,,under_construction,2026-09-04,,,2026-09-04,3,3,Konga-Konga; sites d’isolement de Kongakonga,""
ci-madula,unités d’isolement de Madula,isolation_centre,madula,Wanierukula,Tshopo,2026-08-12,090,FALSE,2026-08-12,,,,,under_construction,2026-09-04,,,2026-09-04,12,12,chantier d’isolement de Madula; Madula; site d’isolement de Madula; sites d’isolement de Madula; unités d’isolement de Madula,""
ci-rwampara,bloc d'isolement de Rwampara,isolation_centre,rwampara,Rwampara,Ituri,2026-05-21,007,FALSE,,,,,2026-05-27,strained,2026-05-30,,,2026-05-30,5,5,bloc d'isolement de Rwampara; salle d'isolement à l'HGR/Rwampara,possible_same_site
ci-sites-lita,sites de Lita,isolation_centre,lita,Lita,Ituri,2026-09-04,113,FALSE,,,,,2026-09-04,strained,2026-09-04,,,2026-09-04,1,1,sites de Lita,""
ci-sites-logo,sites de Logo,isolation_centre,logo,Logo,Ituri,2026-09-04,113,FALSE,,,,,2026-09-04,strained,2026-09-04,,,2026-09-04,1,1,sites de Logo,""
ci-sites-mambasa,sites de Mambasa,isolation_centre,mambasa,Mambasa,Ituri,2026-09-04,113,FALSE,,,,,2026-09-04,strained,2026-09-04,,,2026-09-04,1,1,sites de Mambasa,""
ci-sites-nizi,sites de Nizi,isolation_centre,nizi,Nizi,Ituri,2026-09-04,113,FALSE,,,,,2026-09-04,strained,2026-09-04,,,2026-09-04,1,1,sites de Nizi,""
ci-transitoire-wamba,centre d’isolement transitoire de Wamba,isolation_centre,wamba,Wamba,Haut-Uele,2026-08-12,090,FALSE,,,,,2026-08-12,strained,2026-08-14,,,2026-08-14,3,3,centre d’isolement transitoire de Wamba,""
site-abelkozo,Abelkozo,other,abelkozo,"","",2026-06-08,025,FALSE,,,,,,mention_only,,,,2026-06-08,1,1,Abelkozo,possible_host_variant
site-aero,Aéro,other,bunia,Bunia,Ituri,2026-08-04,082,FALSE,,,,,,mention_only,,,,2026-08-04,1,1,Aéro,possible_host_variant
site-as-birinyama,AS Birinyama,other,birinyama,Nyankunde,Ituri,2026-06-01,018,FALSE,,,,,,mention_only,,,,2026-06-01,1,1,AS Birinyama,""
site-bcz-bunia,Bcz/Bunia,other,bunia,Bunia,Ituri,2026-05-25,011,FALSE,,,,,,mention_only,,,,2026-05-25,1,1,Bcz/Bunia,""
site-bethsaida,Bethsaïda,other,bethsaida,Beni,Nord-Kivu,2026-09-05,114,FALSE,,,,,,mention_only,,,,2026-09-05,1,1,Bethsaïda,""
site-bundji,BUNDJI,other,beni,Beni,Nord-Kivu,2026-07-07,054,FALSE,,,,,,mention_only,,,,2026-07-07,1,1,BUNDJI,possible_same_site
site-bunia-cite,Bunia-Cite,other,bunia,Bunia,Ituri,2026-05-22,008,FALSE,,,,,,mention_only,,,,2026-05-22,1,1,Bunia-Cite,possible_host_variant
site-c-m-banalisasa,C.M Banalisasa,other,c m banalisasa,"",Nord-Kivu,2026-09-09,118,FALSE,,,,,,mention_only,,,,2026-09-09,1,1,C.M Banalisasa,""
site-c-m-emmanuel,C.M Emmanuel,other,c m emmanuel,"",Nord-Kivu,2026-09-09,118,FALSE,,,,,,mention_only,,,,2026-09-09,1,1,C.M Emmanuel,""
site-c-m-furaha,C.M Furaha,other,c m furaha,"",Nord-Kivu,2026-09-09,118,FALSE,,,,,,mention_only,,,,2026-09-09,1,1,C.M Furaha,""
site-carl-becker,Carl Becker,other,beni,Beni,Nord-Kivu,2026-06-13,030,TRUE,,,,,,mention_only,,,,2026-06-13,1,1,Carl Becker,""
site-cecca-20,CECCA-20,other,cecca 20,"","",2026-06-08,025,FALSE,,,,,,mention_only,,,,2026-06-08,1,1,CECCA-20,""
site-cem-nyankunde,CEM Nyankunde,other,nyankunde,Bunia,Ituri,2026-05-19,004,TRUE,,,,,,mention_only,,,,2026-05-19,1,1,CEM Nyankunde,possible_spelling_variant
site-central-soleniama,Central soleniama,other,central soleniama,"","",2026-06-18,035,FALSE,,,,,,mention_only,,,,2026-06-18,1,1,Central soleniama,""
site-centre-hospitalier-bugarula,Centre hospitalier Bugarula,other,bugarula,Idjwi,Sud-Kivu,2026-06-18,035,FALSE,,,,,,mention_only,,,,2026-06-18,1,1,Centre hospitalier Bugarula,""
site-centre-hospitalier-famille,Centre hospitalier La Famille,other,6 transversale,Kabondo,Tshopo,2026-08-20,098,FALSE,,,,,,mention_only,,,,2026-08-20,1,1,Centre hospitalier La Famille,possible_host_variant
site-centre-hospitalier-kavale,Centre Hospitalier Kavale,other,kavale,Musienene,"",2026-07-10,057,FALSE,,,,,,mention_only,,,,2026-07-10,1,1,Centre Hospitalier Kavale,""
