report_date,sitrep,version,level,place_id,place_name,basis,admissions_24h,beds_total,exits_24h,occupancy_rate,patients_confirmed,patients_isolated,patients_start_day,patients_suspect,occupancy_rate_derived,rate_gap,flags
2026-06-09,26,1,province,sud-kivu,Sud-Kivu,table,0,,0,,1,6,6,5,,,""
2026-06-10,27,1,national,ensemble,Ensemble,table,26,,26,,132,,262,130,,,""
2026-06-10,27,1,province,ituri,Ituri,table,26,,26,,126,,239,113,,,""
2026-06-10,27,1,province,nord-kivu,Nord-Kivu,table,0,,0,,5,,17,12,,,""
2026-06-10,27,1,province,sud-kivu,Sud-Kivu,table,0,,0,,1,,6,5,,,""
2026-06-11,28,1,national,ensemble,Ensemble,table,75,,27,69.7,138,315,267,177,,,""
2026-06-11,28,1,province,ituri,Ituri,table,47,,22,77.9,131,272,247,141,,,""
2026-06-11,28,1,province,nord-kivu,Nord-Kivu,table,18,,0,43.7,6,31,13,25,,,""
2026-06-11,28,1,province,sud-kivu,Sud-Kivu,table,10,,5,37.5,1,12,7,11,,,""
2026-06-13,30,1,national,ensemble,Ensemble,table,68,,36,82.9,147,359,327,212,,,""
2026-06-13,30,1,province,ituri,Ituri,table,60,,30,93.9,140,310,280,170,,,""
2026-06-13,30,1,province,nord-kivu,Nord-Kivu,table,6,,0,59.2,6,42,36,36,,,""
2026-06-13,30,1,province,sud-kivu,Sud-Kivu,table,2,,6,21.9,1,7,11,6,,,""
2026-06-14,31,1,national,ensemble,Ensemble,table,54,,52,83.8,155,,361,208,,,""
2026-06-14,31,1,province,ituri,Ituri,table,44,,43,94.8,140,,312,173,,,""
2026-06-14,31,1,province,nord-kivu,Nord-Kivu,table,8,,6,62,14,,42,30,,,""
2026-06-14,31,1,province,sud-kivu,Sud-Kivu,table,2,,3,18.8,1,,7,5,,,""
2026-06-15,32,1,national,ensemble,Ensemble,table,61,,47,86.8,168,376,362,208,,,""
2026-06-15,32,1,province,ituri,Ituri,table,47,,38,97.3,152,321,312,169,,,""
2026-06-15,32,1,province,nord-kivu,Nord-Kivu,table,7,,6,63.4,15,45,44,30,,,""
2026-06-15,32,1,province,sud-kivu,Sud-Kivu,table,7,,3,31.3,1,10,6,9,,,""
2026-06-16,33,1,national,ensemble,Ensemble,table,67,,64,87.5,152,379,376,227,,,""
2026-06-16,33,1,province,ituri,Ituri,table,47,,50,96.4,138,318,321,180,,,""
2026-06-16,33,1,province,nord-kivu,Nord-Kivu,table,11,,10,64.8,13,46,45,33,,,""
2026-06-16,33,1,province,sud-kivu,Sud-Kivu,table,9,,4,46.9,1,15,10,14,,,""
2026-06-17,34,1,national,ensemble,Ensemble,table,67,,40,93.6,161,383,356,222,,,""
2026-06-17,34,1,province,ituri,Ituri,table,61,,36,99.1,143,335,310,192,,,""
2026-06-17,34,1,province,nord-kivu,Nord-Kivu,table,6,,4,67.6,18,48,46,30,,,""
2026-06-17,34,1,province,sud-kivu,Sud-Kivu,table,,,,,,,,,,,""
2026-06-18,35,1,national,ensemble,Ensemble,table,70,,52,94.3,162,416,398,254,,,""
2026-06-18,35,1,province,ituri,Ituri,table,53,,39,103.3,139,349,335,210,,,""
2026-06-18,35,1,province,nord-kivu,Nord-Kivu,table,8,,0,78.9,22,56,48,34,,,""
2026-06-18,35,1,province,sud-kivu,Sud-Kivu,table,9,,13,34.4,1,11,15,10,,,""
2026-06-19,36,1,national,ensemble,Ensemble,table,65,,46,88.3,148,361,342,213,,,""
2026-06-19,36,1,province,ituri,Ituri,table,59,,38,90.8,124,307,286,183,,,""
2026-06-19,36,1,province,nord-kivu,Nord-Kivu,table,6,,8,76.1,24,54,56,30,,,""
2026-06-19,36,1,province,sud-kivu,Sud-Kivu,table,,,,,,,,,,,""
2026-06-20,37,1,national,ensemble,Ensemble,table,67,,75,82.8,163,365,373,202,,,""
2026-06-20,37,1,province,ituri,Ituri,table,62,,67,89.3,139,302,307,163,,,""
2026-06-20,37,1,province,nord-kivu,Nord-Kivu,table,4,,6,73.2,24,52,54,28,,,""
2026-06-20,37,1,province,sud-kivu,Sud-Kivu,table,1,,2,34.4,0,11,12,11,,,""
2026-06-21,38,1,national,ensemble,Ensemble,table,70,,59,84.1,196,371,360,175,,,""
2026-06-21,38,1,province,ituri,Ituri,table,60,,56,88.2,169,298,294,129,,,""
2026-06-21,38,1,province,nord-kivu,Nord-Kivu,table,7,,3,88.7,27,63,59,36,,,""
2026-06-21,38,1,province,sud-kivu,Sud-Kivu,table,3,,0,31.3,0,10,7,10,,,""
2026-06-22,39,1,national,ensemble,Ensemble,table,93,,41,76.8,190,387,335,197,,,""
2026-06-22,39,1,province,ituri,Ituri,table,57,,34,87,173,321,298,148,,,""
2026-06-22,39,1,province,nord-kivu,Nord-Kivu,table,36,,7,54.4,17,56,27,39,,,""
2026-06-22,39,1,province,sud-kivu,Sud-Kivu,table,0,,0,31.3,0,10,10,10,,,""
2026-06-23,40,1,national,ensemble,Ensemble,table,61,,40,81,192,408,387,216,,,""
2026-06-23,40,1,province,ituri,Ituri,table,46,,30,91.3,175,337,321,162,,,""
2026-06-23,40,1,province,nord-kivu,Nord-Kivu,table,8,,5,57.3,17,59,56,42,,,""
2026-06-23,40,1,province,sud-kivu,Sud-Kivu,table,7,,5,37.5,0,12,10,12,,,""
2026-06-24,41,1,national,ensemble,Ensemble,table,73,,78,74.9,205,385,390,180,,,""
2026-06-24,41,1,province,ituri,Ituri,table,59,,68,85.3,188,313,322,125,,,""
2026-06-24,41,1,province,nord-kivu,Nord-Kivu,table,8,,5,57.3,17,59,56,42,,,""
2026-06-24,41,1,province,sud-kivu,Sud-Kivu,table,6,,5,29.5,0,13,12,13,,,""
2026-06-25,42,1,national,ensemble,Ensemble,table,76,,39,80.7,220,419,382,199,,,""
2026-06-25,42,1,province,ituri,Ituri,table,60,,39,89.8,193,334,313,141,,,""
2026-06-25,42,1,province,nord-kivu,Nord-Kivu,table,12,,0,66,27,68,56,41,,,""
2026-06-25,42,1,province,sud-kivu,Sud-Kivu,table,4,,0,38.6,0,17,13,17,,,""
2026-06-27,44,1,national,ensemble,Ensemble,table,74,,56,96.7,208,502,484,294,,,""
2026-06-27,44,1,province,ituri,Ituri,table,50,,45,90.9,192,338,333,146,,,""
2026-06-27,44,1,province,nord-kivu,Nord-Kivu,table,20,,11,138.8,16,143,134,127,,,""
2026-06-27,44,1,province,sud-kivu,Sud-Kivu,table,4,,0,47.7,0,21,17,21,,,""
2026-06-29,46,1,national,ensemble,Ensemble,table,82,,63,92.7,216,609,610,396,,,""
2026-06-29,46,1,province,ituri,Ituri,table,68,,50,102,200,451,449,254,,,""
2026-06-29,46,1,province,nord-kivu,Nord-Kivu,table,11,,7,125,16,135,138,119,,,""
2026-06-29,46,1,province,sud-kivu,Sud-Kivu,table,3,,6,51.1,0,23,23,23,,,""
2026-07-02,49,1,national,ensemble,Ensemble,table,72,,88,89.4,215,628,644,413,,,""
2026-07-02,49,1,province,ituri,Ituri,table,51,,76,90,201,462,487,261,,,""
2026-07-02,49,1,province,nord-kivu,Nord-Kivu,table,21,,9,136,14,147,135,133,,,""
2026-07-02,49,1,province,sud-kivu,Sud-Kivu,table,0,,3,42.2,0,19,22,19,,,""
2026-07-05,52,1,national,ensemble,Ensemble,table,104,,88,94.2,205,646,630,441,,,""
2026-07-05,52,1,province,ituri,Ituri,table,79,,64,89.3,191,477,462,286,,,""
2026-07-05,52,1,province,nord-kivu,Nord-Kivu,table,19,,18,137,14,148,147,134,,,""
2026-07-05,52,1,province,sud-kivu,Sud-Kivu,table,6,,6,47.7,0,21,21,21,,,""
2026-07-06,53,1,national,ensemble,Ensemble,table,102,,102,84.1,218,680,688,470,,,""
2026-07-06,53,1,province,ituri,Ituri,table,69,,46,84,200,508,485,308,,,""
2026-07-06,53,1,province,nord-kivu,Nord-Kivu,table,30,,56,115,18,148,182,138,,,""
2026-07-06,53,1,province,sud-kivu,Sud-Kivu,table,3,,0,53.3,0,24,21,24,,,""
2026-07-07,54,1,national,ensemble,Ensemble,table,118,,62,94,232,750,694,518,,,""
2026-07-07,54,1,province,ituri,Ituri,table,71,,58,85,212,518,505,306,,,""
2026-07-07,54,1,province,nord-kivu,Nord-Kivu,table,32,,4,137,20,193,165,173,,,""
2026-07-07,54,1,province,sud-kivu,Sud-Kivu,table,15,,0,86.6,0,39,24,39,,,""
2026-07-08,55,1,national,ensemble,Ensemble,table,151,,138,95.3,236,764,751,528,,,""
2026-07-08,55,1,province,ituri,Ituri,table,103,,82,87,216,540,519,324,,,""
2026-07-08,55,1,province,nord-kivu,Nord-Kivu,table,44,,40,133,20,197,193,177,,,""
2026-07-08,55,1,province,sud-kivu,Sud-Kivu,table,4,,16,60,0,27,39,27,,,""
2026-07-09,56,1,national,ensemble,Ensemble,table,89,,62,100.3,238,780,755,542,,,""
2026-07-09,56,1,province,ituri,Ituri,table,43,,47,89.9,218,536,540,318,,,""
2026-07-09,56,1,province,nord-kivu,Nord-Kivu,table,44,,7,160,20,225,188,205,,,""
2026-07-09,56,1,province,sud-kivu,Sud-Kivu,table,2,,8,42.2,0,19,27,19,,,""
2026-07-10,57,1,national,ensemble,Ensemble,table,110,,126,95.1,259,763,779,504,,,""
2026-07-10,57,1,province,ituri,Ituri,table,69,,61,88,237,543,535,306,,,""
2026-07-10,57,1,province,nord-kivu,Nord-Kivu,table,36,,65,135.2,22,196,225,174,,,""
2026-07-10,57,1,province,sud-kivu,Sud-Kivu,table,5,,0,53.3,0,24,19,24,,,""
2026-07-11,58,1,national,ensemble,Ensemble,table,94,,110,93.9,248,753,769,539,,,""
2026-07-11,58,1,province,ituri,Ituri,table,67,,76,87,227,535,544,308,,,""
2026-07-11,58,1,province,nord-kivu,Nord-Kivu,table,21,,34,129.6,21,188,201,201,,,""
2026-07-11,58,1,province,sud-kivu,Sud-Kivu,table,6,,0,66.6,0,30,24,30,,,""
2026-07-13,60,1,national,ensemble,Ensemble,table,103,,92,87.4,246,753,742,507,,,""
2026-07-13,60,1,province,haut-uele,Haut-Uélé,table,2,,0,100,0,3,1,3,,,""
2026-07-13,60,1,province,ituri,Ituri,table,85,,70,82.7,229,553,538,324,,,""
2026-07-13,60,1,province,nord-kivu,Nord-Kivu,table,12,,15,120.6,17,170,173,153,,,""
2026-07-13,60,1,province,sud-kivu,Sud-Kivu,table,4,,7,60,0,27,30,27,,,""
2026-07-15,62,1,national,ensemble,Ensemble,table,124,846,117,85.6,281,725,718,444,85.7,0.100000000000009,""
2026-07-15,62,1,province,ituri,Ituri,table,84,693,79,79,259,549,544,290,79.2,0.200000000000003,""
2026-07-15,62,1,province,nord-kivu,Nord-Kivu,table,39,141,38,118.8,20,171,170,151,121.3,2.5,rate_disagrees
2026-07-15,62,1,province,tshopo,Tshopo,table,1,12,0,41.7,2,5,4,3,41.7,0,""
2026-07-17,64,1,national,ensemble,Ensemble,table,119,841,118,,,722,721,,85.9,,""
2026-07-17,64,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-17,64,1,province,ituri,Ituri,table,86,700,80,,,548,542,,78.3,,""
2026-07-17,64,1,province,nord-kivu,Nord-Kivu,table,33,141,38,,,174,179,,123.4,,""
2026-07-17,64,1,province,tshopo,Tshopo,table,,,,,,,,,,,""
2026-07-18,65,1,national,ensemble,Ensemble,table,121,857,104,84.5,272,724,707,452,84.5,0,""
2026-07-18,65,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-18,65,1,province,ituri,Ituri,table,71,706,72,76.3,257,539,540,282,76.3,0,""
2026-07-18,65,1,province,nord-kivu,Nord-Kivu,table,47,141,32,123.1,15,181,166,166,128.4,5.30000000000001,rate_disagrees
2026-07-18,65,1,province,tshopo,Tshopo,table,3,10,0,40,0,4,1,4,40,0,""
2026-07-19,66,1,national,ensemble,Ensemble,table,108,939,94,78.2,295,734,720,439,78.2,0,""
2026-07-19,66,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-19,66,1,province,ituri,Ituri,table,70,798,60,69.3,275,553,543,278,69.3,0,""
2026-07-19,66,1,province,nord-kivu,Nord-Kivu,table,38,141,34,128.4,20,181,177,161,128.4,0,carry_forward
2026-07-19,66,1,province,tshopo,Tshopo,table,,,,,,,,,,,""
2026-07-20,67,1,national,ensemble,Ensemble,table,180,850,143,86.7,286,737,700,451,86.7,0,""
2026-07-20,67,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-20,67,1,province,ituri,Ituri,table,118,709,98,78.4,270,556,536,286,78.4,0,""
2026-07-20,67,1,province,nord-kivu,Nord-Kivu,table,62,141,45,128.4,16,181,164,165,128.4,0,carry_forward
2026-07-20,67,1,province,tshopo,Tshopo,table,,,,,,,,,,,""
2026-07-22,69,1,national,ensemble,Ensemble,table,126,858,146,84.1,285,722,742,437,84.1,0,""
2026-07-22,69,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-22,69,1,province,ituri,Ituri,table,90,709,96,77.7,268,551,557,283,77.7,0,""
2026-07-22,69,1,province,nord-kivu,Nord-Kivu,table,36,141,50,119.1,17,168,182,151,119.1,0,""
2026-07-22,69,1,province,tshopo,Tshopo,table,0,8,0,37.5,0,3,3,3,37.5,0,""
2026-07-23,70,1,national,ensemble,Ensemble,table,169,860,127,,278,766,724,,89.1,,""
2026-07-23,70,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-23,70,1,province,ituri,Ituri,table,107,709,88,,258,570,551,,80.4,,""
2026-07-23,70,1,province,nord-kivu,Nord-Kivu,table,61,141,39,,20,192,170,,136.2,,""
2026-07-23,70,1,province,tshopo,Tshopo,table,1,10,0,,0,4,3,,40,,""
2026-07-25,72,1,national,ensemble,Ensemble,table,151,941,121,82.1,307,773,743,466,82.1,0,""
2026-07-25,72,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-25,72,1,province,ituri,Ituri,table,102,800,76,75.3,287,602,576,315,75.2,0.0999999999999943,""
2026-07-25,72,1,province,nord-kivu,Nord-Kivu,table,49,141,45,121.3,20,171,167,151,121.3,0,""
2026-07-25,72,1,province,tshopo,Tshopo,table,,,,,,,,,,,""
2026-07-26,73,1,national,ensemble,Ensemble,table,126,941,84,76.8,325,723,681,398,76.8,0,""
2026-07-26,73,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-26,73,1,province,ituri,Ituri,table,96,800,63,66.4,304,531,498,227,66.4,0,""
2026-07-26,73,1,province,nord-kivu,Nord-Kivu,table,30,141,21,136.2,21,192,183,171,136.2,0,""
2026-07-26,73,1,province,tshopo,Tshopo,table,,,,,,,,,,,""
2026-07-27,74,1,national,ensemble,Ensemble,table,140,949,126,77.3,313,733,719,420,77.2,0.0999999999999943,""
2026-07-27,74,1,province,haut-uele,Haut-Uélé,table,,,,,,,,,,,""
2026-07-27,74,1,province,ituri,Ituri,table,92,808,86,67.3,290,544,538,254,67.3,0,""
2026-07-27,74,1,province,nord-kivu,Nord-Kivu,table,48,141,40,134,23,189,181,166,134,0,""
2026-07-27,74,1,province,tshopo,Tshopo,table,,,,,,,,,,,""
2026-07-30,77,1,national,ensemble,Ensemble,table,118,1049,158,71.3,337,748,799,411,71.3,0,""
2026-07-30,77,1,province,haut-uele,Haut-Uélé,table,7,68,0,32.4,10,22,25,12,32.4,0,""
2026-07-30,77,1,province,ituri,Ituri,table,58,820,88,63.8,301,523,553,222,63.8,0,""
2026-07-30,77,1,province,nord-kivu,Nord-Kivu,table,53,141,70,143.3,25,202,220,177,143.3,0,""
2026-07-30,77,1,province,tshopo,Tshopo,table,0,20,0,5,1,1,1,0,5,0,""
2026-07-31,78,1,national,ensemble,Ensemble,table,121,1050,106,72.4,348,760,731,412,72.4,0,""
2026-07-31,78,1,province,haut-uele,Haut-Uélé,table,,68,,54.4,16,37,22,21,54.4,0,""
2026-07-31,78,1,province,ituri,Ituri,table,73,821,66,63.9,304,525,518,221,63.9,0,""
2026-07-31,78,1,province,nord-kivu,Nord-Kivu,table,47,141,40,139,27,196,190,169,139,0,""
2026-07-31,78,1,province,tshopo,Tshopo,table,1,20,0,10,1,2,1,1,10,0,""
2026-08-01,79,1,national,ensemble,Ensemble,table,122,1050,158,65.7,333,690,740,357,65.7,0,""
2026-08-01,79,1,province,haut-uele,Haut-Uélé,table,16,68,4,45.6,13,31,33,18,45.6,0,""
2026-08-01,79,1,province,ituri,Ituri,table,61,821,110,58,296,476,525,180,58,0,""
2026-08-01,79,1,province,nord-kivu,Nord-Kivu,table,44,141,44,128.4,23,181,181,158,128.4,0,""
2026-08-01,79,1,province,tshopo,Tshopo,table,1,20,0,10,1,2,1,1,10,0,carry_forward
2026-08-02,80,1,province,haut-uele,Haut-Uélé,table,16,68,4,45.6,13,31,33,18,45.6,0,carry_forward
2026-08-02,80,1,province,ituri,Ituri,table,70,821,78,57,296,468,476,172,57,0,""
2026-08-02,80,1,province,nord-kivu,Nord-Kivu,table,39,141,35,131.9,25,186,183,161,131.9,0,""
2026-08-02,80,1,province,sud-kivu,Sud-Kivu,table,22,,19,,0,20,17,20,,,""
2026-08-02,80,1,province,tshopo,Tshopo,table,,20,,10,1,2,2,1,10,0,carry_forward
2026-08-07,85,1,province,ituri,Ituri,prose,,860,73,,,,,,,,""
2026-08-11,89,1,province,ituri,Ituri,prose,,845,,,,,,,,,""
2026-08-11,89,1,province,nord-kivu,Nord-Kivu,prose,,,,,,19,,,,,""
2026-08-15,93,1,province,ituri,Ituri,prose,116,991,116,,,,,,,,""
2026-08-15,93,1,province,nord-kivu,Nord-Kivu,prose,32,206,42,,,170,,,82.5,,""
2026-08-15,93,1,province,tshopo,Tshopo,prose,,12,,,,8,,,66.7,,""
2026-08-17,94,1,province,haut-uele,Haut-Uélé,prose,3,78,,,,49,,,62.8,,""
2026-08-17,94,1,province,ituri,Ituri,prose,79,996,120,47.2,,470,,,47.2,0,""
2026-08-17,94,1,province,nord-kivu,Nord-Kivu,prose,20,206,12,,,181,,,87.9,,""
2026-08-19,96,1,province,haut-uele,Haut-Uélé,prose,,,,40.8,,53,,,,,""
2026-08-19,96,1,province,ituri,Ituri,prose,138,965,129,57.1,,551,,,57.1,0,""
2026-08-19,96,1,province,nord-kivu,Nord-Kivu,prose,46,206,55,,,196,,,95.1,,""
2026-08-19,96,1,province,sud-kivu,Sud-Kivu,prose,,,,95.1,,,,,,,""
2026-08-19,96,1,province,tshopo,Tshopo,prose,,14,,,,,,,,,""
2026-08-20,97,1,province,bas-uele,Bas-Uélé,prose,,3,,,,1,,,33.3,,""
2026-08-20,97,1,province,ituri,Ituri,prose,89,965,116,55.2,,536,,,55.5,0.299999999999997,""
2026-08-20,97,1,province,nord-kivu,Nord-Kivu,prose,41,206,60,,,169,,,82,,""
2026-08-20,97,1,province,tshopo,Tshopo,prose,,12,,,,,,,,,""
2026-08-22,99,1,province,haut-uele,Haut-Uélé,prose,11,130,,,,72,,,55.4,,""
2026-08-22,99,1,province,ituri,Ituri,prose,94,965,87,54.7,,528,,,54.7,0,""
2026-08-22,99,1,province,nord-kivu,Nord-Kivu,prose,19,206,28,,,167,,,81.1,,""
2026-08-22,99,1,province,tshopo,Tshopo,prose,,14,,,,,,,,,""
2026-08-24,101,1,province,haut-uele,Haut-Uélé,prose,12,130,3,,,81,,,62.3,,""
2026-08-24,101,1,province,ituri,Ituri,prose,76,978,109,53.4,,522,,,53.4,0,""
2026-08-24,101,1,province,nord-kivu,Nord-Kivu,prose,32,206,35,86.4,,178,,,86.4,0,""
2026-08-24,101,1,province,tshopo,Tshopo,prose,4,14,,,,,,,,,""
2026-08-25,102,1,province,haut-uele,Haut-Uélé,prose,9,120,6,,,79,,,65.8,,""
2026-08-25,102,1,province,ituri,Ituri,prose,88,978,97,49.9,,488,,,49.9,0,""
2026-08-25,102,1,province,nord-kivu,Nord-Kivu,prose,53,206,37,94.2,,194,,,94.2,0,""
2026-08-25,102,1,province,tshopo,Tshopo,prose,3,14,,,,,,,,,""
2026-08-26,104,1,province,haut-uele,Haut-Uélé,prose,17,142,15,,,68,,,47.9,,""
2026-08-26,104,1,province,ituri,Ituri,prose,111,978,85,56.1,,549,,,56.1,0,""
2026-08-26,104,1,province,nord-kivu,Nord-Kivu,prose,69,206,33,103.9,,214,,,103.9,0,""
2026-08-26,104,1,province,tshopo,Tshopo,prose,2,14,,,,,,,,,""
2026-08-28,106,1,province,bas-uele,Bas-Uélé,prose,,3,,33.3,,1,,,33.3,0,carry_forward
2026-08-28,106,1,province,haut-uele,Haut-Uélé,prose,11,120,7,58.3,,70,,,58.3,0,""
2026-08-28,106,1,province,ituri,Ituri,prose,113,978,97,56.4,,552,,,56.4,0,""
2026-08-28,106,1,province,nord-kivu,Nord-Kivu,prose,75,220,64,107.3,,236,,,107.3,0,""
2026-08-28,106,1,province,sud-kivu,Sud-Kivu,prose,,,,,,26,,,,,""
2026-08-28,106,1,province,tshopo,Tshopo,prose,3,25,4,44,,11,,,44,0,""
2026-08-30,108,1,province,ituri,Ituri,prose,75,978,81,53.6,,524,,,53.6,0,""
2026-08-30,108,1,province,nord-kivu,Nord-Kivu,prose,75,,54,128.2,,282,,,,,""
2026-08-30,108,1,province,tshopo,Tshopo,prose,,25,,32,,7,,,28,4,rate_disagrees
2026-08-31,109,1,province,ituri,Ituri,prose,97,978,82,55.1,,539,,,55.1,0,""
2026-08-31,109,1,province,nord-kivu,Nord-Kivu,prose,55,,54,128.6,,283,,,,,""
2026-08-31,109,1,province,sud-kivu,Sud-Kivu,prose,,25,,32,,8,,,32,0,""
2026-09-01,110,1,province,haut-uele,Haut-Uélé,prose,11,,,51.7,,,,,,,""
2026-09-01,110,1,province,ituri,Ituri,prose,112,978,87,57.7,,564,,,57.7,0,""
2026-09-01,110,1,province,nord-kivu,Nord-Kivu,prose,60,,62,105.5,,232,,,,,""
2026-09-01,110,1,province,sud-kivu,Sud-Kivu,prose,,25,,32,,8,,,32,0,carry_forward
2026-09-01,110,1,province,tshopo,Tshopo,prose,,25,3,12,,3,,,12,0,""
2026-09-02,111,1,province,haut-uele,Haut-Uélé,prose,9,,,46.7,,,,,,,""
2026-09-02,111,1,province,ituri,Ituri,prose,63,978,106,44.4,,434,,,44.4,0,""
2026-09-02,111,1,province,nord-kivu,Nord-Kivu,prose,73,220,50,118.6,,261,,,118.6,0,""
2026-09-02,111,1,province,tshopo,Tshopo,prose,3,25,,28,,7,,,28,0,""
2026-09-03,112,1,province,haut-uele,Haut-Uélé,prose,14,128,7,50.8,,62,,,48.4,2.4,rate_disagrees
2026-09-03,112,1,province,ituri,Ituri,prose,53,978,66,44.4,,434,,,44.4,0,carry_forward
2026-09-03,112,1,province,nord-kivu,Nord-Kivu,prose,70,220,78,102.7,,225,,,102.3,0.400000000000006,""
2026-09-03,112,1,province,tshopo,Tshopo,prose,,25,,24,,6,,,24,0,""
2026-09-04,113,1,province,haut-uele,Haut-Uélé,prose,10,128,7,48.4,,62,,,48.4,0,carry_forward
2026-09-04,113,1,province,ituri,Ituri,prose,96,978,110,50.6,,495,,,50.6,0,""
2026-09-04,113,1,province,nord-kivu,Nord-Kivu,prose,78,220,58,107.7,,237,,,107.7,0,""
2026-09-04,113,1,province,sud-kivu,Sud-Kivu,prose,5,25,,64,,16,,,64,0,""
2026-09-04,113,1,province,tshopo,Tshopo,prose,,25,,28,,7,,,28,0,""
2026-09-05,114,1,province,haut-uele,Haut-Uélé,prose,15,128,7,50.8,,65,,,50.8,0,""
2026-09-05,114,1,province,ituri,Ituri,prose,100,978,85,52.1,,510,,,52.1,0,""
2026-09-05,114,1,province,nord-kivu,Nord-Kivu,prose,54,220,38,115,,253,,,115,0,""
2026-09-05,114,1,province,sud-kivu,Sud-Kivu,prose,,25,,68,,17,,,68,0,""
2026-09-05,114,1,province,tshopo,Tshopo,prose,,25,,24,,6,,,24,0,""
2026-09-06,115,1,province,haut-uele,Haut-Uélé,prose,13,128,6,50.8,,68,,,53.1,2.3,rate_disagrees
2026-09-06,115,1,province,ituri,Ituri,prose,55,978,79,49.5,,484,,,49.5,0,""
2026-09-06,115,1,province,nord-kivu,Nord-Kivu,prose,67,220,58,123.2,,262,,,119.1,4.10000000000001,rate_disagrees
2026-09-06,115,1,province,tshopo,Tshopo,prose,,25,,20,,5,,,20,0,""
2026-09-07,116,1,province,haut-uele,Haut-Uélé,prose,11,128,6,48.4,,62,,,48.4,0,""
