province,health_zone,health_area,locality,facility_type,facility_name,grid3id
Bas-Uele,Ango,Baepulu,,Centre de Santé,Baepulu,Acasus_F0A9B08262
Bas-Uele,Ango,Banda,,Centre de Santé de Référence,Banda,Acasus_470217467B
Bas-Uele,Ango,Bandueli,,Centre de Santé,Bandueli,Acasus_E74BEF030B
Bas-Uele,Ango,Bayule,,Centre de Santé,Bayule,Acasus_E72F68AB79
Bas-Uele,Ango,Buye,,Centre de Santé,Buye,Acasus_8E7A54281B
Bas-Uele,Ango,Dakwa,,Centre de Santé de Référence,Dakwa,Acasus_6F254CB7EF
Bas-Uele,Ango,Digba,,Centre de Santé,Digba,Acasus_E02AD633BB
Bas-Uele,Ango,Disolo,,Centre de Santé,Disolo,Acasus_496D1FD115
Bas-Uele,Ango,Mainika,,Centre de Santé,Mainika,Acasus_B51F89AF74
Bas-Uele,Ango,Makpoyo,,Centre de Santé,Makpoyo,Acasus_5A03906861
Bas-Uele,Ango,Mbabi,,Centre de Santé,Mbabi,Acasus_79F68BF235
Bas-Uele,Ango,Mbibili,,Centre de Santé,Mbibili,Acasus_90F91CDC0D
Bas-Uele,Ango,Mboti,,Centre de Santé,Mboti,Acasus_75EB5E06F8
Bas-Uele,Ango,Mugalie,,Centre de Santé,Mugalie,Acasus_F9BB5B37C8
Bas-Uele,Ango,Ndamana,,Centre de Santé,Ndamana,Acasus_8756A8E1B5
Bas-Uele,Ango,Samungu,,Centre de Santé,Samungu,Acasus_479A80D6E2
Bas-Uele,Ango,Sangwa,,Centre de Santé,Sangwa,Acasus_A619EEDFE9
Bas-Uele,Ango,Yassa,,Centre de Santé,Yassa,Acasus_4EDC17F9D0
Bas-Uele,Ango,Zamoy,,Centre de Santé,Zamoy,Acasus_377BB6FD5B
Bas-Uele,Bili,Api 2,,Centre de Santé,Api 2,Acasus_3FF28C88B3
Bas-Uele,Bili,Bambilo,,Centre de Santé de Référence,Bambilo,Acasus_58F74E5A03
Bas-Uele,Bili,Basokpio,,Centre de Santé,Basokpio,Acasus_6BC6444E74
Bas-Uele,Bili,Bulumasi,,Centre de Santé de Référence,Bulumasi,Acasus_F6FF55AB32
Bas-Uele,Bili,Dumobata,,Centre de Santé,Dumobata,Acasus_8BBBF4CC9C
Bas-Uele,Bili,Gitalio,,Centre de Santé,Gitalio,Acasus_449F62BAA4
Bas-Uele,Bili,Gumbu,,Centre de Santé,Gum,Acasus_316837F859
Bas-Uele,Bili,Mangoli,,Centre de Santé,Mangoli,Acasus_6A4056E6FE
Bas-Uele,Bili,Mumbu,,Hôpital Général de Référence,Bili,DHIS2_8177CDC686
Bas-Uele,Bili,Mumbu,,Centre de Santé,Mum,Acasus_1D606CA389
Bas-Uele,Bili,Roa,,Centre de Santé,Roa,Acasus_0BB609E1BD
Bas-Uele,Bondo,Baye,,Centre de Santé de Référence,Baye,Acasus_7C10BAE47B
Bas-Uele,Bondo,Dekere,,Centre de Santé,Dekere,Acasus_2DCDEA33DC
Bas-Uele,Bondo,Dengu,,Centre de Santé,Dengu,Acasus_70F78FB2BB
Bas-Uele,Bondo,Gatanga,,Centre de Santé,Gatanga,Acasus_85DC456717
Bas-Uele,Bondo,Kpakana,,Centre de Santé,Kpakana,Acasus_DE6CFC873C
Bas-Uele,Bondo,Kule,,Centre de Santé,Kule,Acasus_9AFA648197
Bas-Uele,Bondo,Masabe,,Centre de Santé,Masabe,Acasus_33EA311CB3
Bas-Uele,Bondo,Ntongo Etan,,Centre Hopitalier,Ntongo Etani,Acasus_C5459B511C
Bas-Uele,Bondo,Nungba,,Centre de Santé,Nungba,Acasus_3B5D6867C9
Bas-Uele,Bondo,Panzaka,,Centre de Santé,Panzaka,Acasus_2E6E9A6EF0
Bas-Uele,Bondo,Sasa,,Centre Hopitalier,Sasa,Acasus_083FD03911
Bas-Uele,Bondo,Tomibikisa,,Centre de Santé,Tomibikisa,Acasus_E743ACFFDB
Bas-Uele,Bondo,Yakpa,,Centre de Santé,Sc Yapka,Acasus_EA2EFA2D09
Bas-Uele,Bondo,Yakpa,,Centre de Santé de Référence,Yakpa,Acasus_611EB117C1
Bas-Uele,Buta,Bale,,Centre de Santé,Bale,Acasus_D811CA5A1B
Bas-Uele,Buta,Bamaria,,Centre de Santé,Bamaria,Acasus_2FB50EFBA4
Bas-Uele,Buta,Baruti,,Poste de Santé,Baruti Aire De,Acasus_575DF42219
Bas-Uele,Buta,Bomea,,Centre de Santé,Bomea,Acasus_ABDB31B4CF
Bas-Uele,Buta,Du Congo,,Hôpital Général de Référence,Buta,DHIS2_D57CDB402B
Bas-Uele,Buta,Du Congo,,Poste de Santé,Du Congo Aire De,Acasus_A333090C2D
Bas-Uele,Buta,Koteli,,Centre de Santé de Référence,Koteli,Acasus_A28AD0D627
Bas-Uele,Buta,Makala,,Centre de Santé,Makala,Acasus_840830E1D3
Bas-Uele,Buta,Malikuta,,Centre de Santé,Malikuta,Acasus_6E7C9A8F58
Bas-Uele,Buta,Maselebende,,Centre de Santé,Maselebende,Acasus_5F424AE5D2
Bas-Uele,Buta,Mobenge,,Centre de Santé,Mobenge,Acasus_D1E9171248
Bas-Uele,Buta,Popoka,,Centre de Santé de Référence,Popoka,Acasus_EDC8725392
Bas-Uele,Buta,Rive Gauche,,Centre de Santé,Rive Gauche,Acasus_E5D332A3BD
Bas-Uele,Buta,Rubi Lisanga,,Centre Hopitalier,Rubi Lisanga,Acasus_0B416981C2
Bas-Uele,Buta,Sukisa,,Centre de Santé de Référence,Sukisa,Acasus_AAAF17263B
Bas-Uele,Buta,Triangle,,Centre de Santé,Triangle,Acasus_D338736B81
Bas-Uele,Buta,Yema,,Centre de Santé,Yema,Acasus_592FF24DA5
Bas-Uele,Buta,Yeme,,Centre de Santé,Yeme,Acasus_F3CFB6C324
Bas-Uele,Ganga,Agri Uele,,Centre de Santé,Tobola,Acasus_F5A1DC89B8
Bas-Uele,Ganga,Bambesa,,Centre de Santé de Référence,Bambesa,Acasus_B719ABBFE7
Bas-Uele,Ganga,Bambili,,Centre de Santé,Bambili,Acasus_A83B5C182F
Bas-Uele,Ganga,Bambili,,Hôpital Général de Référence,Dingila,DHIS2_423275C9AC
Bas-Uele,Ganga,Danga,,Centre de Santé,Danga,Acasus_C3B968134F
Bas-Uele,Ganga,Dembia,,Centre de Santé,Dembia,Acasus_1CE2AA5567
Bas-Uele,Ganga,Doromo,,Centre de Santé,Doromo,Acasus_678BA71C13
Bas-Uele,Ganga,Ganga,,Centre de Santé de Référence,Ganga,Acasus_1CCF5CB1B6
Bas-Uele,Ganga,Kana,,Centre de Santé,Kana,Acasus_660102B75C
Bas-Uele,Ganga,Kopi,,Centre de Santé,Kopi,Acasus_1E83507E0C
Bas-Uele,Ganga,Lebo,,Centre de Santé,Lebo,Acasus_D8ED0A2E4E
Bas-Uele,Ganga,Likandi,,Centre de Santé,Likandi,Acasus_B1BCADBE59
Bas-Uele,Ganga,Mabodho,,Centre de Santé,Mabodho,Acasus_D1639D69B6
Bas-Uele,Ganga,Makongo,,Centre de Santé de Référence,Makongo,Acasus_7606DACF08
Bas-Uele,Ganga,Molambi,,Centre de Santé,Molambi,Acasus_AFC2F1C7F1
Bas-Uele,Ganga,Mongbaya,,Centre de Santé,Mongbaya,Acasus_C8BF65AE62
Bas-Uele,Ganga,Nebanguma,,Centre de Santé,Nebanguma,Acasus_C36D2468A7
Bas-Uele,Ganga,Ngbandea,,Centre de Santé,Ngbandea,Acasus_0D1C05A3F2
Bas-Uele,Ganga,Ngwale,,Centre de Santé,Ngwale,Acasus_E98D0E7575
Bas-Uele,Ganga,Sopi,,Centre de Santé,Sopi,Acasus_A151D814F1
Bas-Uele,Ganga,Zobia,,Centre de Santé de Référence,Zobia,Acasus_71BD9004A4
Bas-Uele,Likati,Azande,,Centre de Santé,Azande,Acasus_0143B4B06D
Bas-Uele,Likati,Difongo,,Centre de Santé,Difongo,Acasus_FDD319A4D7
Bas-Uele,Likati,Kulu,,Centre de Santé,Kulu,Acasus_6A65895DF3
Bas-Uele,Likati,Mabangu,,Poste de Santé,Dendu,Acasus_F9484827E8
Bas-Uele,Likati,Mabangu,,Centre de Santé,Mabangu,Acasus_2FA59265F6
Bas-Uele,Likati,Mopendu,,Centre de Santé,Mopendu,Acasus_75D065CE37
Bas-Uele,Likati,Muma,,Centre de Santé de Référence,Muma,Acasus_2360FA6EBC
Bas-Uele,Likati,Nambwa,,Centre de Santé de Référence,Nambwa,Acasus_C3120C5534
Bas-Uele,Likati,Ngay,,Centre de Santé,Ngay,Acasus_56526F78C6
Bas-Uele,Likati,Ngbatala,,Centre de Santé,Ngbatala,Acasus_906DABAC43
Bas-Uele,Likati,Panzaka,,Centre de Santé,Panzaka,Acasus_6CB1368BA1
Bas-Uele,Likati,Tobongisa,,Centre de Santé,Tobongisa,Acasus_1A3250D71A
Bas-Uele,Monga,Bella,,Centre de Santé,Bella,Acasus_C58C40DC45
Bas-Uele,Monga,Biasu,,Centre de Santé,Biasu,Acasus_89F403BFD3
Bas-Uele,Monga,Bondeko,,Centre de Santé de Référence,Bondeko,Acasus_11C902254B
Bas-Uele,Monga,Bondeko,,Poste de Santé,Sahali,DHIS2_9031E53EDB
Bas-Uele,Monga,Kolo,,Centre de Santé,Kolo,Acasus_5A0A8662C0
Bas-Uele,Monga,Lobi,,Centre de Santé de Référence,Lobi,Acasus_7D21871512
Bas-Uele,Monga,Mengi,,Centre de Santé,Mengi,Acasus_1457164038
Bas-Uele,Monga,Monga 1,,Centre de Santé,Monga 1,Acasus_E17F948A39
Bas-Uele,Monga,Monga 2,,Centre de Santé,Monga 2,Acasus_7332616741
Bas-Uele,Monga,Nzerret,,Centre de Santé de Référence,Nzerret,Acasus_A5E05D805D
Bas-Uele,Monga,Sombe,,Centre de Santé,Sombe,Acasus_B80FFD5AB4
Bas-Uele,Poko,Amadi,,Centre de Santé de Référence,Amadi,Acasus_FC714ABF67
Bas-Uele,Poko,Azapana,,Centre de Santé,Azapana,Acasus_8813AC181E
Bas-Uele,Poko,Balele,,Centre de Santé,Balele,Acasus_5A9568E0DF
Bas-Uele,Poko,Balengolu,,Centre de Santé,Balengolu,Acasus_21E2E6BC1B
Bas-Uele,Poko,Kana,,Centre de Santé,Kana,Acasus_8C63B8246E
Bas-Uele,Poko,Kembisa,,Centre de Santé de Référence,Kembisa,Acasus_3854282CCA
Bas-Uele,Poko,Kisanga,,Centre de Santé,Kisanga,Acasus_4D19923903
Bas-Uele,Poko,Mangoro,,Centre de Santé,Mangoro,Acasus_18F1B092F4
Bas-Uele,Poko,Mawa Gare,,Centre de Santé de Référence,Mawagarre,Acasus_0938209AFE
Bas-Uele,Poko,Mawa Geito,,Centre de Santé,Mawa Ngeito,Acasus_02FB92D3F0
Bas-Uele,Poko,Mbiri,,Centre de Santé,Mbiri,Acasus_3CAA7ABAC7
Bas-Uele,Poko,Nangombie,,Poste de Santé,Nangombie Aire De,Acasus_7EAF4DE66F
Bas-Uele,Poko,Naumbate,,Centre de Santé,Naumbate,Acasus_4D4A3E3DFF
Bas-Uele,Poko,Nenzepida,,Centre de Santé,Nenzepida,Acasus_93B1A7B37C
Bas-Uele,Poko,Neza,,Centre de Santé,Neza,Acasus_80BD394B30
Bas-Uele,Poko,Nguma,,Centre de Santé,Nguma,Acasus_A48D5EFC8E
Bas-Uele,Poko,Niapu,,Centre de Santé de Référence,Nyapu,Acasus_A5E923EFA3
Bas-Uele,Poko,Poko Centre,,Centre de Santé,Poko,Acasus_696DB50B42
Bas-Uele,Poko,Poko Centre,,Hôpital Général de Référence,Poko,Acasus_FD3C512F39
Bas-Uele,Poko,Seki,,Poste de Santé,Seki Aire De,Acasus_6E41B33444
Bas-Uele,Poko,Yuma,,Centre de Santé,Yuma,Acasus_253EF963D6
Bas-Uele,Titule,Agemeto,,Centre de Santé,Agemeto,Acasus_86EB164807
Bas-Uele,Titule,Andoma,,Centre de Santé,Andoma,Acasus_C04DA1E658
Bas-Uele,Titule,Gasende,,Centre de Santé,Gasende,Acasus_F80A97C2E6
Bas-Uele,Titule,Gbangatana,,Centre de Santé,Gbangatana,Acasus_1D83FF0A29
Bas-Uele,Titule,Kumu,,Centre de Santé de Référence,Kumu,Acasus_C8D5B324CB
Bas-Uele,Titule,Liguga,,Centre de Santé,Liguga,Acasus_0B99E9724C
Bas-Uele,Titule,Malingwia,,Centre de Santé,Malingwia,Acasus_7BD16368CD
Bas-Uele,Titule,Mbenge,,Centre de Santé,Mbenge,Acasus_42B6661FAA
Bas-Uele,Titule,Ngume,,Centre de Santé,Ngume,Acasus_3A57B875A3
Bas-Uele,Titule,Titule 1,,Hôpital Général de Référence,Titule,DHIS2_6C2D63713F
Bas-Uele,Titule,Titule 1,,Centre de Santé,Titule 1,Acasus_3ED784578B
Bas-Uele,Titule,Titule 2,,Centre de Santé,Titule 2,Acasus_E1E84B81E4
Bas-Uele,Viadana,Akpudu,,Centre de Santé,Akpudu,Acasus_340E496A9B
Bas-Uele,Viadana,Diabandigba,,Centre de Santé,Diabandingba,Acasus_9468043DBB
Bas-Uele,Viadana,Kavio,,Poste de Santé,Kavio Aire De,Acasus_C9872DBF9A
Bas-Uele,Viadana,Limba,,Centre de Santé de Référence,Limba,Acasus_66D2023BB9
Bas-Uele,Viadana,Lokando,,Centre de Santé,Lokando,Acasus_E4394AA5A1
Bas-Uele,Viadana,Manziada,,Centre de Santé,Manziada,Acasus_6D38E187F8
Bas-Uele,Viadana,Mazulu,,Centre de Santé,Mazulu,Acasus_37F97354F9
Bas-Uele,Viadana,Mbana,,Centre de Santé,Mbana,Acasus_635A6A4811
Bas-Uele,Viadana,Nagbongbo,,Centre de Santé,Nagbongbo,Acasus_0919B9B7EA
Bas-Uele,Viadana,Nalamu,,Centre de Santé,Nalamu,Acasus_CF780D9758
Bas-Uele,Viadana,Nawiwi,,Centre de Santé,Nawiwi,Acasus_CAFEFAF06E
Bas-Uele,Viadana,Neru,,Centre de Santé de Référence,Neru,Acasus_2BFC480A79
Bas-Uele,Viadana,Viadana,,Centre de Santé,Kobokobo,Acasus_CA46197A68
Bas-Uele,Viadana,Vungba,,Centre de Santé,Vungba,Acasus_8C94EA354D
Haut-Uele,Aba,Aba,,Centre de Santé,Aba,DHIS2_CA194D40AA
Haut-Uele,Aba,Aba,,Hôpital Général de Référence,Adjubha,DSNIS_8CF6C1FE8A
Haut-Uele,Aba,Aba,,Centre de Santé,Avo,DSNIS_6E476CC027
Haut-Uele,Aba,Atadra,,Centre de Santé,Atadra,Acasus_E3CAC57E68
Haut-Uele,Aba,Atadra,,Site Soin Communautaire,Bhia 2,DSNIS_B609347992
Haut-Uele,Aba,Atadra,,Site Soin Communautaire,Dudu,DSNIS_51C467F4DE
Haut-Uele,Aba,Atadra,,Site Soin Communautaire,Kendre,DSNIS_37C80A3B6F
Haut-Uele,Aba,Atadra,,Poste de Santé,Kitambala,DSNIS_B1E60B7537
Haut-Uele,Aba,Ataki,,Centre de Santé,Ataki,Acasus_AD61A547F5
Haut-Uele,Aba,Ataki,,Poste de Santé,Loka,DHIS2_9A673E1542
Haut-Uele,Aba,Ataki,,Poste de Santé,Missa,DSNIS_EE19CFB6CC
Haut-Uele,Aba,Ataki,,Poste de Santé,Rudu 1,DHIS2_2D58D71C0A
Haut-Uele,Aba,Baki,,Centre de Santé,Baki,Acasus_089C5A4373
Haut-Uele,Aba,Bele,,Centre de Santé,Bele Patarua,Acasus_7D634A6B88
Haut-Uele,Aba,Bele,,Poste de Santé,Ep 2 Baki,DSNIS_108F03350E
Haut-Uele,Aba,Bele,,Centre de Santé,Gaga,DSNIS_F2157E0B2B
Haut-Uele,Aba,Bele,,Centre Médical,Lipara,DSNIS_B2B779FD17
Haut-Uele,Aba,Bele,,Poste de Santé,Loka,DSNIS_463194419A
Haut-Uele,Aba,Bele,,Poste de Santé,Ndiri,DSNIS_1EBD6A0C02
Haut-Uele,Aba,Dramba,,Site Soin Communautaire,Bhia 1,DSNIS_76A67767EF
Haut-Uele,Aba,Dramba,,Centre de Santé,Dramba,Acasus_F439EA80EB
Haut-Uele,Aba,Dramba,,Poste de Santé,Gbulu,DSNIS_6FBA50EC81
Haut-Uele,Aba,Kamiru,,Centre de Santé,Kamiru,Acasus_6A652A3DC9
Haut-Uele,Aba,Kamiru,,Poste de Santé,Sinyawa,DSNIS_89DDBC6AC0
Haut-Uele,Aba,Kitambala,,Poste de Santé,Abhana,DSNIS_930C326340
Haut-Uele,Aba,Kitambala,,Site Soin Communautaire,Andiri,DSNIS_D90778BF9E
Haut-Uele,Aba,Kitambala,,Site Soin Communautaire,Ape,DSNIS_64BC4C4BEB
Haut-Uele,Aba,Kitambala,,Centre de Santé de Référence,Kitambala,Acasus_A231FBAB80
Haut-Uele,Aba,Kitambala,,Site Soin Communautaire,Lumery,DSNIS_6FEB609737
Haut-Uele,Aba,Kitambala,,Site Soin Communautaire,S Upipi,DSNIS_0000725C46
Haut-Uele,Aba,Kurukwata,,Centre de Santé,Kurukwata,Acasus_328D8DD460
Haut-Uele,Aba,Lagabe,,Centre de Santé,Lagabe,Acasus_E17992AB0D
Haut-Uele,Aba,Lagabe,,Site Soin Communautaire,Massabe,DSNIS_42616A6C3E
Haut-Uele,Aba,Lipara,,Site Soin Communautaire,Kozoba,DSNIS_A7D9F80A02
Haut-Uele,Aba,Lipara,,Poste de Santé,Lipara,DSNIS_43D4787420
Haut-Uele,Aba,Lipara,,Centre de Santé,Lipara,Acasus_755D390934
Haut-Uele,Aba,Lipara,,Site Soin Communautaire,Lugubi,DSNIS_F5EFC14BB7
Haut-Uele,Aba,Massabe,,Poste de Santé,Adrau,DSNIS_54A72439AB
Haut-Uele,Aba,Massabe,,Centre de Santé,Dudu,DSNIS_C26EE4B95D
Haut-Uele,Aba,Massabe,,Site Soin Communautaire,Marche Abhanva,DSNIS_E08BAEC7B1
Haut-Uele,Aba,Massabe,,Centre de Santé,Massabe,Acasus_555DA97ACB
Haut-Uele,Aba,Massabe,,Site Soin Communautaire,Route Aru,DSNIS_8ECCF0C2F9
Haut-Uele,Aba,Nyalanya,,Bureau Central de la Zone de Santé,Aba,DSNIS_6A39BD4292
Haut-Uele,Aba,Nyalanya,,Centre de Santé,Nyalanya,Acasus_013A347F2E
Haut-Uele,Aba,Nyari,,Centre de Santé,Nyari,Acasus_0D380B6D2C
Haut-Uele,Aba,Tayo,,Site Soin Communautaire,Liwadhi,DSNIS_60CB3CB3D8
Haut-Uele,Aba,Tayo,,Site Soin Communautaire,Sagu,DSNIS_6B3B0C9AF5
Haut-Uele,Aba,Tayo,,Site Soin Communautaire,Tayo,DSNIS_34E2DCC683
Haut-Uele,Aba,Tayo,,Centre de Santé,Tayo,Acasus_52C2EE99E8
Haut-Uele,Aba,Todro,,Centre de Santé de Référence,Piri,DSNIS_47BAC376B6
Haut-Uele,Aba,Todro,,Site Soin Communautaire,Tayo 2,DSNIS_40DA1AB8A0
Haut-Uele,Aba,Todro,,Centre de Santé,Todro,Acasus_F5944A9307
Haut-Uele,Aba,Todro,,Site Soin Communautaire,Upipi,DSNIS_7A313018C0
Haut-Uele,Boma Mangbetu,Adedo,,Hôpital,Adedo,Acasus_D3A4615F45
Haut-Uele,Boma Mangbetu,Adedo,,Poste de Santé,Juhudi,DSNIS_F526532E39
Haut-Uele,Boma Mangbetu,Adedo,,Centre de Santé,Mandele,Acasus_A17902BABD
Haut-Uele,Boma Mangbetu,Adjangwe,,Centre de Santé,Adjandwe,Acasus_EEAE493EAB
Haut-Uele,Boma Mangbetu,Adjangwe,,Site Soin Communautaire,Babodo,DSNIS_5D3A334572
Haut-Uele,Boma Mangbetu,Adjangwe,,Poste de Santé,Badebugo,DSNIS_513069BCA3
Haut-Uele,Boma Mangbetu,Adjangwe,,Site Soin Communautaire,Gongo,DSNIS_4611AF440F
Haut-Uele,Boma Mangbetu,Adjangwe,,Poste de Santé,Masanga,DSNIS_F71F55C647
Haut-Uele,Boma Mangbetu,Badamoni,,Centre de Santé,Badamoni,Acasus_E29925FDEA
Haut-Uele,Boma Mangbetu,Badamoni,,Poste de Santé,Bakana,DSNIS_7727F17BF2
Haut-Uele,Boma Mangbetu,Badamoni,,Poste de Santé,Bakapele,DHIS2_D25552C1A5
Haut-Uele,Boma Mangbetu,Badamoni,,Poste de Santé,Bakese,DSNIS_46D9321B3D
Haut-Uele,Boma Mangbetu,Badamoni,,Poste de Santé,Basakawa,DHIS2_331A617823
Haut-Uele,Boma Mangbetu,Badamoni,,Poste de Santé,Bawoya,DHIS2_36E12F45CC
Haut-Uele,Boma Mangbetu,Badamoni,,Poste de Santé,Bayabo,DSNIS_FF2F36D3A0
Haut-Uele,Boma Mangbetu,Badamoni,,Site Soin Communautaire,Masongwe,DSNIS_87B27593E5
Haut-Uele,Boma Mangbetu,Badamoni,,Poste de Santé,Ngbondo,DSNIS_BED4BDDA7B
Haut-Uele,Boma Mangbetu,Bafwabaka,,Poste de Santé,Amange,DHIS2_E7621A40EE
Haut-Uele,Boma Mangbetu,Bafwabaka,,Centre de Santé,Bafabaka,DSNIS_6B6627D378
Haut-Uele,Boma Mangbetu,Bafwabaka,,Centre de Santé de Référence,Bafwabaka,DHIS2_5EE95E62EB
Haut-Uele,Boma Mangbetu,Bafwabaka,,Poste de Santé,Bavadangba,DSNIS_88659450D4
Haut-Uele,Boma Mangbetu,Bafwabaka,,Site Soin Communautaire,Bavagbango,DSNIS_A3CEE3FFC5
Haut-Uele,Boma Mangbetu,Bafwabaka,,Poste de Santé,Bavapibu,DSNIS_033E5445F4
Haut-Uele,Boma Mangbetu,Bafwabaka,,Site Soin Communautaire,Bovongilangwe,DSNIS_6B2C6BCAD3
Haut-Uele,Boma Mangbetu,Bakangi,,Centre de Santé,Bakangi,Acasus_5BC8462FBB
Haut-Uele,Boma Mangbetu,Bakangi,,Site Soin Communautaire,Bakwanza,DSNIS_50113D2C1C
Haut-Uele,Boma Mangbetu,Bakangi,,Site Soin Communautaire,Bangima,DSNIS_7E208F1930
Haut-Uele,Boma Mangbetu,Bakangi,,Poste de Santé,Bangululu,DSNIS_79175DDC51
Haut-Uele,Boma Mangbetu,Bakangi,,Poste de Santé,Budu,DHIS2_9B2CF18723
Haut-Uele,Boma Mangbetu,Bakangi,,Poste de Santé,Makangangwe,DSNIS_52F6EF8BCF
Haut-Uele,Boma Mangbetu,Bakangi,,Poste de Santé,Makelele,DSNIS_E460B61C00
Haut-Uele,Boma Mangbetu,Bavamasia,,Centre de Santé,Bavamasia,Acasus_B3E0F342C4
Haut-Uele,Boma Mangbetu,Bavamasia,,Poste de Santé,Bavanasane,DSNIS_C2F769F7C0
Haut-Uele,Boma Mangbetu,Bavamasia,,Poste de Santé,Beveguku,DSNIS_417AE13064
Haut-Uele,Boma Mangbetu,Bavamasia,,Poste de Santé,Bovoputoningwe,DSNIS_99F1AB1560
Haut-Uele,Boma Mangbetu,Bavamasia,,Poste de Santé,Gbae Gbae,DHIS2_C94BA11D9D
Haut-Uele,Boma Mangbetu,Bevesieni,,Poste de Santé,Alima,DSNIS_8DBDF93290
Haut-Uele,Boma Mangbetu,Bevesieni,,Site Soin Communautaire,Bahati,DSNIS_06DCA2CA1C
Haut-Uele,Boma Mangbetu,Bevesieni,,Site Soin Communautaire,Bakpee,DSNIS_FFAA7FA578
Haut-Uele,Boma Mangbetu,Bevesieni,,Centre de Santé,Bevesieni,Acasus_707392A347
Haut-Uele,Boma Mangbetu,Bevesieni,,Poste de Santé,Maika,DSNIS_F4EE7D50EE
Haut-Uele,Boma Mangbetu,Boma Mangbetu,,Poste de Santé,Bapalay,DHIS2_B456AC464B
Haut-Uele,Boma Mangbetu,Boma Mangbetu,,Site Soin Communautaire,Basakuma,DSNIS_6A82A50852
Haut-Uele,Boma Mangbetu,Boma Mangbetu,,Site Soin Communautaire,Basatu,DSNIS_D387E82C08
Haut-Uele,Boma Mangbetu,Boma Mangbetu,,Centre de Santé,Boma Mangbetu,Acasus_F61B747C8C
Haut-Uele,Boma Mangbetu,Boma Mangbetu,,Hôpital Général de Référence,Boma Mangbetu,DHIS2_C6716DCCDE
Haut-Uele,Boma Mangbetu,Boma Mangbetu,,Poste de Santé,Ibiatoku,DHIS2_0B41A7337E
Haut-Uele,Boma Mangbetu,Boma Mangbetu,,Poste de Santé,Monzambe,DSNIS_9C8D270E65
Haut-Uele,Boma Mangbetu,Gombe,,Centre Hopitalier,Abetane Nangaa,DSNIS_795B4E3BD3
Haut-Uele,Boma Mangbetu,Gombe,,Poste de Santé,Bagomba,DSNIS_53F6DEC7DA
Haut-Uele,Boma Mangbetu,Gombe,,Poste de Santé,Banyama,DSNIS_C4B99127E2
Haut-Uele,Boma Mangbetu,Gombe,,Poste de Santé,Faradja,DSNIS_A655E9D9A8
Haut-Uele,Boma Mangbetu,Gombe,,Centre de Santé,Gombe,Acasus_87E4B2E87A
Haut-Uele,Boma Mangbetu,Gombe,,Site Soin Communautaire,Igbende,DSNIS_7020B14A4A
Haut-Uele,Boma Mangbetu,Legu,,Poste de Santé,Baboe E Sanga,DSNIS_33C5744209
Haut-Uele,Boma Mangbetu,Legu,,Poste de Santé,Bianaka,Acasus_0681BCAB3F
Haut-Uele,Boma Mangbetu,Legu,,Centre de Santé,Legu,Acasus_3950770462
Haut-Uele,Boma Mangbetu,Mataku,,Site Soin Communautaire,Bafewaka,DSNIS_05202BD9AD
Haut-Uele,Boma Mangbetu,Mataku,,Site Soin Communautaire,Bangbuka,DSNIS_B9E4CF5DDD
Haut-Uele,Boma Mangbetu,Mataku,,Poste de Santé,Kezo,DSNIS_8251BC37B5
Haut-Uele,Boma Mangbetu,Mataku,,Centre de Santé,Mataku,Acasus_8F763146B2
