province,osm_type,osm_id,name,amenity,healthcare,operator,lat,lon
Ituri,node,7375058140,Centre de Santé Gobiri,doctors,"","",3.2269133,30.770565
Ituri,node,13848829640,Centre de Santé Gobiri,doctors,"","",3.2269133,30.770565
Ituri,node,8047586614,Centre de Santé Itendey,doctors,doctor,"",1.78907,30.08637
Ituri,node,13848835753,Centre de Santé Itendey,doctors,centre,"",1.78907,30.08637
Ituri,node,8047586601,Centre de Santé Kaba-Kaba,doctors,centre,"",1.75748,30.11655
Ituri,node,13848835672,Centre de Santé Kaba-Kaba,doctors,centre,"",1.75748,30.11655
Ituri,node,6374000524,Centre de Santé Kasenyi,doctors,centre,"",1.396024,30.443042
Ituri,way,791693868,Centre de Santé Kikia,hospital,hospital,"",3.0578746,30.6755658
Ituri,node,8047586604,Centre de Santé Kilo-Mission,doctors,centre,"",1.8300756,30.1548676
Ituri,node,13848835751,Centre de Santé Kilo-Mission,doctors,centre,"",1.8300756,30.1548676
Ituri,node,8047586612,Centre de Santé Kobu Matumaini,doctors,centre,"",1.8292867,30.1970488
Ituri,node,13848835761,Centre de Santé Kobu Matumaini,doctors,centre,"",1.8292867,30.1970488
Ituri,way,1516960733,Centre de Santé Kunda CST,hospital,hospital,"",1.6204519,30.1605309
Ituri,node,8047586599,Centre de Santé Lalo,doctors,centre,"",1.936524,30.2797005
Ituri,node,13848835747,Centre de Santé Lalo,doctors,centre,"",1.936524,30.2797005
Ituri,node,8047586609,Centre de Santé Lisey,doctors,centre,"",1.7513193,30.0859665
Ituri,node,13848835671,Centre de Santé Lisey,doctors,centre,"",1.7513193,30.0859665
Ituri,node,8014547601,Centre de Santé Lolwa,doctors,centre,"",1.3513617,29.4971783
Ituri,node,13848835608,Centre de Santé Lolwa,doctors,centre,"",1.3513617,29.4971783
Ituri,node,8014547600,Centre de Santé Mabangifo,doctors,centre,"",1.4049017,29.5951867
Ituri,node,13848829644,Centre de Santé Mabangifo,doctors,centre,"",1.4049017,29.5951867
Ituri,node,8014547599,Centre de Santé Mabukulu,doctors,centre,"",1.3451549,29.2160133
Ituri,node,13848835607,Centre de Santé Mabukulu,doctors,centre,"",1.3451549,29.2160133
Ituri,node,8014547598,Centre de Santé Manya,doctors,centre,"",1.3529174,29.1538313
Ituri,node,13848835605,Centre de Santé Manya,doctors,centre,"",1.3529174,29.1538313
Ituri,node,7862174098,Centre de Santé Marabo,doctors,centre,public,1.442646,30.0047519
Ituri,node,13848835634,Centre de Santé Marabo,doctors,centre,public,1.442646,30.0047519
Ituri,way,963644899,Centre de Santé NDCM,doctors,doctor,public,1.9501036,30.0491937
Ituri,node,6374000342,Centre de Santé Nana,doctors,centre,"",1.431893,30.472483
Ituri,node,8047586618,Centre de Santé Ngabulo,doctors,centre,"",1.7972334,30.19453
Ituri,node,13848835755,Centre de Santé Ngabulo,doctors,centre,"",1.7972334,30.19453
Ituri,way,533385164,Centre de Santé Nono,hospital,hospital,"",3.0028629,30.6867
Ituri,node,9326426816,Centre de Santé Nyakasanza,doctors,centre,"",1.557735,30.2602318
Ituri,node,6374000335,Centre de Santé Nyamamba,doctors,centre,"",1.526531,30.520312
Ituri,node,6374000334,Centre de Santé Nyamavi,doctors,centre,"",1.329314,30.38092
Ituri,node,13848829676,Centre de Santé Nyamavi,doctors,centre,"",1.329314,30.38092
Ituri,node,6374000333,Centre de Santé Nyamuasi,doctors,centre,"",1.424141,30.455277
Ituri,node,8047586607,Centre de Santé Nyangaray,doctors,centre,"",1.7143519,30.1386878
Ituri,node,13848835670,Centre de Santé Nyangaray,doctors,centre,"",1.7143519,30.1386878
Ituri,node,8047586615,Centre de Santé Nyarada,doctors,centre,"",1.7372623,30.2508139
Ituri,node,13848835735,Centre de Santé Nyarada,doctors,centre,"",1.7372623,30.2508139
Ituri,way,1516960724,Centre de Santé Okapi,clinic,"",Okapi Conservation Project,1.4025714,28.5749609
Ituri,node,7375058134,Centre de Santé Ovoa,doctors,"","",3.01283,30.7454733
Ituri,node,13848829629,Centre de Santé Ovoa,doctors,"","",3.01283,30.7454733
Ituri,node,13848835752,Centre de Santé Petsi,doctors,centre,"",1.7685633,30.2166181
Ituri,node,8479519310,Centre de Santé Pluto,doctors,doctor,"",1.9812264,30.0303589
Ituri,node,7375058131,Centre de Santé Rogale,doctors,"","",3.2703283,30.8211617
Ituri,node,8047586605,Centre de Santé Tchangana,doctors,centre,"",1.8224995,30.0575339
Ituri,node,13848835757,Centre de Santé Tchangana,doctors,doctor,"",1.8224995,30.0575339
Ituri,node,8047586616,Centre de Santé Tchudja,doctors,centre,"",1.8581972,30.2199165
Ituri,node,13848835754,Centre de Santé Tchudja,doctors,centre,"",1.8581972,30.2199165
Ituri,node,8014547597,Centre de Santé Toly Toly,doctors,centre,"",1.3903533,29.4094183
Ituri,node,13848829689,Centre de Santé Toly Toly,doctors,centre,"",1.3903533,29.4094183
Ituri,node,6374000323,Centre de Santé Torges,doctors,centre,"",1.650195,30.645129
Ituri,node,8047586613,Centre de Santé Tsili - Lipri,doctors,centre,"",1.7079438,30.2152072
Ituri,node,13848835667,Centre de Santé Tsili - Lipri,doctors,centre,"",1.7079438,30.2152072
Ituri,way,533384990,Centre de Santé Yetsu,doctors,hospital,"",3.0198806,30.6461444
Ituri,way,1516960722,Centre de Santé Yetsu,doctors,hospital,"",3.0198806,30.6461444
Ituri,node,8047586600,Centre de Santé Zengo,doctors,centre,"",1.9537445,30.2112477
Ituri,node,13848835758,Centre de Santé Zengo,doctors,centre,"",1.9537445,30.2112477
Ituri,node,3381333457,Centre de Santé de Bandisende,hospital,"","",1.398482,28.69788
Ituri,node,13848835603,Centre de Santé de Bandisende,hospital,"","",1.398482,28.69788
Ituri,node,3381333458,Centre de Santé de Binase,hospital,"","",1.355057,29.031503
Ituri,node,3381333459,Centre de Santé de Butiaba,hospital,"","",1.338366,29.037878
Ituri,node,3381333461,Centre de Santé de Lwemba,hospital,"","",0.998991,29.171076
Ituri,node,3381333462,Centre de Santé de Mayuano,hospital,"","",1.1366368,29.1462811
Ituri,node,3381333463,Centre de Santé de Molokay,hospital,"","",1.4043052,28.3902987
Ituri,node,13848835604,Centre de Santé de Molokay,hospital,"","",1.4043052,28.3902987
Ituri,node,7862174105,Centre de Santé de Référence Bwanasura,doctors,centre,public,1.0739711,29.5871171
Ituri,node,13848829682,Centre de Santé de Référence Bwanasura,doctors,centre,public,1.0739711,29.5871171
Ituri,node,6374000288,Centre de Santé de Référence Kasenyi,doctors,centre,"",1.388799,30.431817
Ituri,node,7862174106,Centre de Santé de Référence Kombokabo,doctors,centre,public,1.4691401,30.0998899
Ituri,node,13848835631,Centre de Santé de Référence Kombokabo,doctors,centre,public,1.4691401,30.0998899
Ituri,node,7919697509,Centre de Santé de Référence Tchabi,doctors,"","",0.98075,29.87805
Ituri,node,3381333466,Centre de Santé de Teturi,hospital,"","",1.0555869,29.1461403
Ituri,node,13848835736,Centre de Santé de Tsiku,clinic,"","",1.7310528,30.3427531
Ituri,node,11626244730,Centre de Santé de référence,doctors,centre,"",1.8189691,30.1263686
Ituri,node,13848835763,Centre de Santé de référence,doctors,centre,"",1.8189691,30.1263686
Ituri,node,10075012012,Centre de santé Akungu médicale,doctors,centre,"",1.5523437,30.2157155
Ituri,node,7375058145,Centre de santé Angiria,doctors,"","",3.1022767,30.6730617
Ituri,node,7375044279,Centre de santé Ariwara,doctors,"","",3.1371,30.68819
Ituri,node,13848829639,Centre de santé Ariwara,doctors,"","",3.1371,30.68819
Ituri,node,7375058143,Centre de santé Ayiforo,doctors,"","",3.1994267,30.7881533
Ituri,node,10019486412,Centre de santé Bankoko,doctors,centre,"",1.5531897,30.2337675
Ituri,node,10224672519,Centre de santé Baraka,doctors,centre,"",1.5701376,30.2188812
Ituri,node,8046569869,Centre de santé Croix verte,doctors,centre,privé,1.5563875,30.2565859
Ituri,node,7375058142,Centre de santé Edipi,doctors,"","",3.266875,30.7212783
Ituri,node,13848829637,Centre de santé Edipi,doctors,"","",3.266875,30.7212783
Ituri,node,10221681649,Centre de santé Gloria,doctors,centre,"",1.5338392,30.2390139
Ituri,node,10222392302,Centre de santé Hoho,doctors,centre,public,1.5380488,30.2410987
Ituri,node,7375058137,Centre de santé Lea,doctors,"","",3.176445,30.6502167
Ituri,node,13848829636,Centre de santé Lea,doctors,"","",3.176445,30.6502167
Ituri,node,7375058136,Centre de santé Nderi,doctors,"","",3.1040133,30.7729
Ituri,node,13848829635,Centre de santé Nderi,doctors,"","",3.1040133,30.7729
Ituri,node,10313897398,Centre de santé Ngezi,doctors,centre,"",1.5749577,30.2439743
Ituri,node,7375058128,Centre de santé Ombayi,doctors,"","",3.0797783,30.76938
Ituri,node,13848829627,Centre de santé Ombayi,doctors,"","",3.0797783,30.76938
Ituri,node,7375058135,Centre de santé Omundatsi,doctors,"","",3.09845,30.6187417
Ituri,node,13848829631,Centre de santé Omundatsi,doctors,"","",3.09845,30.6187417
Ituri,node,10075012011,Centre de santé Opas,doctors,centre,"",1.5464222,30.2129321
Ituri,node,7375058133,Centre de santé Ovutsiri,doctors,"","",3.1256133,30.6896583
Ituri,node,13848829643,Centre de santé Ovutsiri,doctors,"","",3.1256133,30.6896583
Ituri,node,7375058132,Centre de santé Pabiri,doctors,"","",3.1507667,30.7864117
Ituri,node,7375058130,Centre de santé Titi,doctors,"","",3.2542407,30.8218241
Ituri,node,7375058129,Centre de santé Witsiri,doctors,"","",3.2251517,30.7101983
Ituri,node,13848835688,Centre de santé adventiste,doctors,centre,private,1.5575453,30.2458428
Ituri,node,10068842249,Centre de santé d'Aéroport Espace sûr,doctors,centre,"",1.574516,30.2203403
Ituri,node,5881283887,Centre de santé de Bikima,clinic,"","",1.0731535,29.928292
Ituri,node,5881246052,Centre de santé de Blukwa NBI,clinic,"","",1.771786,30.6120548
Ituri,node,5881335947,Centre de santé de Burasi,clinic,"","",1.0233049,30.2212161
Ituri,node,8007228798,Centre de santé de Commune,doctors,centre,"",1.5531272,30.2563113
Ituri,node,5881271255,Centre de santé de Heritage,doctors,centre,"",1.7288686,30.3234297
Ituri,node,13848835733,Centre de santé de Kambe,clinic,"","",1.6992541,30.352824
Ituri,node,5881319970,Centre de santé de Kyabyohe,clinic,"","",0.917883,30.1383204
Ituri,node,13848835732,Centre de santé de Loga,clinic,"","",1.6830184,30.4053068
Ituri,node,5881300180,Centre de santé de Mugwanga,doctors,"","",0.9753341,29.9731051
Ituri,node,5881283885,Centre de santé de Rubingo,doctors,"","",1.0440149,29.9363574
Ituri,node,13848835739,Centre de santé de Salibokho,clinic,"","",1.6890709,30.4830024
Ituri,node,13848835740,Centre de santé de Tche,clinic,"","",1.6674602,30.5152506
Ituri,node,5881312037,Centre de santé de Tondoli,doctors,"","",0.932583,29.9232616
Ituri,node,13848835717,Centre hospitalier La charité,clinic,clinic,"",1.5653784,30.2503068
Ituri,node,10222392281,Centre hospitalier Mere-enfant Elikya,clinic,clinic,"",1.5305003,30.2530901
Ituri,node,10223807870,Centre hospitalier des sœurs,clinic,clinic,"",1.5557422,30.2145696
Ituri,node,10222392274,Centre médical Gloire à Dieu,clinic,clinic,"",1.5446198,30.2525989
Ituri,node,10226545725,Centre médical Siloe,clinic,clinic,"",1.5594818,30.2297053
Ituri,node,9221250420,Centre médical Tegra,clinic,clinic,"",1.5219069,30.2600957
Ituri,node,11349463136,Centre médical Ushindi,clinic,clinic,"",1.5616036,30.225746
Ituri,node,10221681653,Centre médico chirurgical Emmanuel,clinic,clinic,"",1.5352763,30.2272645
Ituri,node,8121168556,Cesop,doctors,doctor,"",1.549495,30.24962
Ituri,node,7375044282,Clinique Bon Samaritain Ariwara,clinic,"","",3.1300219,30.6981642
Ituri,node,11369022182,Clinique Bondeko,clinic,clinic,"",1.5384996,30.2352064
Ituri,node,13848835712,Clinique Bénédicte,clinic,clinic,"",1.5524067,30.2422486
Ituri,node,8194398196,Clinique Codemuco,clinic,"","",1.2040378,29.1180312
Ituri,node,13848835623,Clinique Codemuco,clinic,"","",1.2040378,29.1180312
Ituri,node,7375058089,Clinique Croire A La Vie,clinic,"","",3.1300317,30.69514
Ituri,node,8039136548,Clinique Espoir,clinic,clinic,"",1.5270767,30.2553703
Ituri,node,8194398192,Clinique EzeCentre Hospitalieriel,clinic,"","",1.1341698,29.14659
Ituri,node,8194398191,Clinique In God We Trust,clinic,"","",1.1355609,29.1475585
Ituri,node,7375058093,Clinique Jehova Rapha,clinic,"","",3.1298117,30.703535
Ituri,node,10226706192,Clinique Karibuni,clinic,clinic,"",1.5474331,30.2423995
Ituri,node,8194398199,Clinique La Sagesse,clinic,"","",1.0133144,29.1643215
Ituri,node,8194398198,Clinique La Victoire,clinic,"","",1.1503567,29.1412283
Ituri,node,13848835689,Clinique Maternité Maman Marie Claire Vandekerckhove,clinic,clinic,"",1.5539585,30.249732
Ituri,node,11343870435,Clinique Mont Horeb,clinic,clinic,"",1.5559973,30.235567
Ituri,node,13848835696,Clinique Mont Horeb,clinic,clinic,"",1.5524684,30.2394973
Ituri,node,13848835633,Clinique Oui pour la santé,clinic,clinic,Oui Pour la Santé - OPSa asbl,1.5460706,30.2322658
Ituri,node,13848835691,Clinique Panvitalisme Sanitas,clinic,clinic,"",1.5647725,30.2434627
Ituri,node,11367595728,Clinique Pendo la mungu,clinic,clinic,"",1.5444101,30.2421722
Ituri,node,8194411450,Clinique Saint Valentin,clinic,"","",0.8514483,29.2537467
Ituri,node,10222392285,Clinique Saint Valentin,clinic,clinic,"",1.523771,30.2445942
Ituri,node,10222392296,Clinique Shalom,clinic,clinic,"",1.5449978,30.2437332
Ituri,node,11727455463,Clinique Shalom,clinic,clinic,"",1.5550129,30.2447739
Ituri,node,10550761828,Clinique Shekina de Bunia,clinic,clinic,"",1.5735802,30.2204812
Ituri,node,10226611511,Clinique Source de vie,clinic,clinic,"",1.5475363,30.2370518
Ituri,node,13848835715,Clinique Top Santé,clinic,clinic,"",1.5597385,30.2470324
Ituri,node,8194411423,Clinique Tropical,clinic,"","",0.7505142,29.2296285
Ituri,node,13848835706,Clinique Vanti Vanti,clinic,clinic,"",1.5620149,30.2426885
Ituri,node,13848835693,Clinique du Mémorial André Mandoboy,clinic,clinic,"",1.5612245,30.2400544
Ituri,node,13848835639,Clinique gynéco-obstétricale La providence,clinic,clinic,"",1.545768,30.2249685
Ituri,node,8007435155,Clinique universelle,clinic,clinic,"",1.5448952,30.2492111
Ituri,node,7375058091,Dispensaire Expérience de Dieu,clinic,clinic,"",3.1458983,30.7181767
Ituri,way,791750271,Hopital General Adja,hospital,hospital,"",3.016183,30.4778157
Ituri,node,3678715093,Hopital Général de Référence de Gety,hospital,"","",1.2183992,30.1561276
Ituri,node,13848829668,Hopital Général de Référence de Gety,hospital,"","",1.2183992,30.1561276
Ituri,way,679831300,Hôpital Général Ariwara,hospital,"","",3.1353106,30.7106168
Ituri,way,619402141,Hôpital Général de Mambasa,hospital,hospital,"",1.349633,29.074475
Ituri,way,619402140,Hôpital Général de Mandima,hospital,hospital,"",1.3555392,29.0825617
Ituri,node,3381333470,Hôpital Général de Nia-Nia,hospital,hospital,"",1.4041571,27.6031149
Ituri,node,8014547596,Hôpital Général de Référence Lolwa,hospital,"","",1.3517183,29.495525
Ituri,node,13848835611,Hôpital Général de Référence Lolwa,hospital,"","",1.3517183,29.495525
Ituri,way,611897245,Hôpital Général de Référence de Bunia,hospital,hospital,"",1.5717995,30.2385696
Ituri,way,963644927,Hôpital Général de Référence de Mongbwalu,hospital,hospital,"",1.9468031,30.0445359
Ituri,node,8007344941,Hôpital Salama,clinic,clinic,"",1.5341075,30.2522268
Ituri,node,4033718613,Hôpital de Geti Maternité,clinic,"","",1.208351,30.174193
Ituri,node,13848829681,Hôpital de Geti Maternité,clinic,"","",1.208351,30.174193
Ituri,node,9303507511,Hôpital général de réference de Nizi,hospital,"","",1.7554733,30.3030659
Ituri,node,13848835738,Hôpital général de réference de Nizi,hospital,"","",1.7554733,30.3030659
Ituri,node,13848835719,Hôpital provincial PNC de l'Ituri,hospital,hospital,"",1.5610629,30.2428693
Ituri,node,10222381215,Ituri Medical Center,clinic,clinic,"",1.5449697,30.2505031
Ituri,node,11054959859,KULUBA HC II,hospital,"","",3.5055417,30.9417637
Ituri,node,8397100266,Katanga Centre de Santé,doctors,"","",0.7847479,29.2341092
Ituri,node,11363192786,La MONUC,clinic,clinic,"",1.534502,30.2480359
Ituri,node,6403584615,MSF,clinic,clinic,Médecins sans frontières,1.5464571,30.2496086
Ituri,way,1516960732,MSF - Bon marché,hospital,hospital,Médecins sans frontières,1.5690493,30.228631
Ituri,way,962915504,Medical Hope Center of Dr.Pay,clinic,clinic,private,1.9281802,30.059513
Ituri,way,662837977,Nyankunde,hospital,hospital,"",1.4315442,30.0328613
Ituri,node,7919697510,PS Kabugeja,doctors,"","",0.9466143,30.0366104
Ituri,node,10224671196,Point de secours du comité de redynamisation de la Croix rouge Ituri,clinic,clinic,"",1.5698306,30.2109741
Ituri,node,8194411465,Poste de Sante Cbca Alima,clinic,"","",0.9071517,29.2346767
Ituri,node,5333865323,Rotiko,doctors,"",None,2.9676383,30.84389
Ituri,node,8121287886,Shekinah,clinic,clinic,"",1.5771153,30.2217759
Nord-Kivu,node,13440255101,Air de santé mangodomu,hospital,"","",0.578052,29.3291386
Nord-Kivu,node,12206729268,CBCA,clinic,"",Ministère de la santé,-1.0840735,29.2239439
Nord-Kivu,node,13846862705,CBCA,clinic,"",Ministère de la santé,-1.0840735,29.2239439
Nord-Kivu,node,12206729311,CEBCE,clinic,"",Ministère de la santé,-1.0824658,29.2289409
Nord-Kivu,node,13846862703,CEBCE,clinic,"",Ministère de la santé,-1.0824658,29.2289409
Nord-Kivu,node,13846863292,CH Adrenaline,clinic,"","",0.0406133,29.714405
Nord-Kivu,way,788816818,CH BITUMBI,hospital,hospital,"",0.0699592,29.0983401
Nord-Kivu,node,13846863298,CH De La Rmscepromen,clinic,"","",0.0403816,29.7146777
Nord-Kivu,node,13846862912,CH Espoir,clinic,"","",0.0897395,29.2910917
Nord-Kivu,node,13846863303,CH Gloria Divina,clinic,"","",0.0522117,29.690285
Nord-Kivu,node,13846863294,CH Joseph Dawa,clinic,"","",0.0489456,29.709368
Nord-Kivu,node,13846863068,CH La Charité II,clinic,"","",0.1441068,29.2694557
Nord-Kivu,way,1516636693,CH La Gazelle,clinic,"","",0.4911316,29.4744324
Nord-Kivu,node,13846863297,CH Madi,clinic,"","",0.0517503,29.7114149
Nord-Kivu,node,13846863084,CH Maison Medicale Lulengo,clinic,"","",0.1526462,29.3246435
Nord-Kivu,node,6374053871,CH Mukongo,hospital,hospital,"",0.021776,29.102094
Nord-Kivu,node,13846862961,CH Mulenzi,clinic,"","",0.1313619,29.3356868
Nord-Kivu,way,796919244,CH SAINTE STELLA,hospital,hospital,"",-0.1539103,29.2442568
Nord-Kivu,node,13846862907,CH Saint Gabriel,clinic,"","",0.0883938,29.2946057
Nord-Kivu,node,13846863293,CH Shalom,clinic,"","",0.0549911,29.7051225
Nord-Kivu,node,13846863301,CH Socidec,clinic,"","",0.0448789,29.7116473
Nord-Kivu,way,809575787,CH TUMAINI,hospital,hospital,"",0.0605097,29.0518876
Nord-Kivu,node,13846863300,CH Umoja,clinic,"","",0.0458359,29.7151741
Nord-Kivu,way,809218755,CH WALIHYA,hospital,hospital,"",0.0353018,29.0959106
Nord-Kivu,node,13846863066,CH Ziada,clinic,"","",0.144074,29.2787392
Nord-Kivu,way,615333191,CH de l'Unité,hospital,yes,"",0.4893463,29.4733684
Nord-Kivu,node,13846862908,CH saint Gabriel,clinic,"","",0.0883903,29.2945989
Nord-Kivu,node,13846863023,CLIN LA MERVEILLE,clinic,clinic,"",0.1265067,29.29177
Nord-Kivu,node,6374102978,CLIN STE CROIX,clinic,clinic,"",-0.1861959,29.2930525
Nord-Kivu,node,6374102977,CLIN UNILUK,clinic,clinic,"",-0.116766,29.2441002
Nord-Kivu,node,13846863304,CLIN Umoja,clinic,"","",0.3313617,29.6758067
Nord-Kivu,node,13846863223,CLinic la Famille,clinic,"","",0.4990844,29.4730997
Nord-Kivu,node,13846863299,CM Joseph Dawa,clinic,"","",0.3284196,29.6767114
Nord-Kivu,node,13846863296,CM La Guerison,clinic,"","",0.3361617,29.67726
Nord-Kivu,node,13846863302,CM Tumaini Letu,clinic,"","",0.3335186,29.6843215
Nord-Kivu,node,13846863290,CM Usalama,clinic,"","",0.0432047,29.7121552
Nord-Kivu,node,6374000558,CS BARAKA,doctors,centre,"",-0.237123,29.29162
Nord-Kivu,node,13846862768,CS BARAKA,doctors,centre,"",-0.237123,29.29162
Nord-Kivu,node,13846862847,CS BIKINDWE,doctors,centre,"",0.011577,29.283363
Nord-Kivu,node,6374000554,CS BUKONDI,doctors,centre,"",-0.1163421,29.317211
Nord-Kivu,node,13846862789,CS BUKONDI,doctors,centre,"",-0.1163421,29.317211
